RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,28237,Rory McIlroy,198.643,2582.363
2,0,21209,Sergio Garcia,130.776,1700.083
3,0,25804,Bubba Watson,127.799,2172.583
4,0,24502,Adam Scott,113.795,1479.334
5,0,10809,Jim Furyk,108.866,1850.717
6,0,25632,Jimmy Walker,108.371,2492.530
7,0,30925,Dustin Johnson,104.032,1768.550
8,0,27408,Martin Kaymer,101.656,1524.833
9,0,23108,Matt Kuchar,96.032,1920.633
10,0,28089,Jason Day,93.459,1028.050
11,0,22405,Justin Rose,90.424,1446.780
12,0,01666,Bernhard Langer,80.167,80.167
13,0,34046,Jordan Spieth,73.562,1691.916
14,0,29221,Webb Simpson,73.130,1535.720
15,0,24024,Zach Johnson,70.561,1552.350
16,0,34360,Patrick Reed,69.412,1665.896
17,0,26596,Ryan Moore,68.047,1428.980
18,0,32102,Rickie Fowler,66.883,1471.423
19,0,30926,Chris Kirk,65.471,1571.297
20,0,32839,Hideki Matsuyama,64.357,1287.146
21,0,25572,Graeme McDowell,63.222,948.333
22,0,30927,Brendon Todd,61.692,1542.306
23,0,25396,Kevin Na,61.449,1413.336
24,0,21528,Henrik Stenson,59.989,719.863
25,0,34099,Harris English,58.780,1469.493
26,0,23320,Ryan Palmer,56.228,1068.333
27,0,33141,Keegan Bradley,55.582,1278.396
28,0,28307,Matt Every,54.346,1249.963
29,0,26851,Marc Leishman,54.146,1137.071
30,0,27436,Graham DeLaet,52.983,1112.637
31,0,24924,Bill Haas,52.829,1267.896
32,0,26331,Charl Schwartzel,52.178,782.663
33,0,01810,Phil Mickelson,51.191,921.433
34,0,31323,Gary Woodland,50.443,1059.293
35,0,20645,John Senden,50.299,1156.867
36,0,23983,Luke Donald,49.533,743.000
37,0,27141,J.B. Holmes,47.952,1006.990
38,0,06527,Steve Stricker,47.182,519.000
39,0,25686,Jason Dufner,46.912,797.500
40,0,12716,Charley Hoffman,46.652,1026.333
41,0,27644,Brian Harman,46.503,1348.583
42,0,26679,Kevin Stadler,46.410,1067.437
43,0,23135,Tim Clark,46.312,1111.490
44,0,27214,Kevin Streelman,46.285,971.980
45,0,24490,George McNeill,45.829,962.417
46,0,26300,Matt Jones,44.071,969.567
47,0,24138,Ian Poulter,43.767,656.500
48,0,33418,Shawn Stefani,42.659,639.886
49,0,21731,Freddie Jacobson,41.116,986.781
50,0,24357,K.J. Choi,40.717,814.333
51,0,20848,Ángel Cabrera,40.366,807.321
52,0,21961,Charles Howell III,40.064,1041.667
53,0,29289,S.Y. Noh,39.563,949.523
54,0,27770,Camilo Villegas,38.547,1002.210
55,0,33122,Russell Knox,38.481,885.066
56,0,24912,Will MacKenzie,38.329,919.900
57,0,08075,Jerry Kelly,38.274,765.483
58,0,27963,Chris Stroud,37.916,834.146
59,0,30944,Jason Kokrak,37.157,631.666
