RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,28237,Rory McIlroy,35.87,2582,7200,3,9
2,0,25804,Bubba Watson,23.62,2173,9200,2,7
3,0,21209,Sergio Garcia,23.61,1700,7200,0,8
4,0,24502,Adam Scott,20.84,1479,7100,1,8
5,0,25632,Jimmy Walker,20.43,2493,12200,3,9
6,0,10809,Jim Furyk,20.23,1851,9150,0,8
7,0,30925,Dustin Johnson,19.54,1769,9050,1,7
8,0,27408,Martin Kaymer,18.60,1525,8200,2,3
9,0,23108,Matt Kuchar,18.21,1921,10550,1,10
10,0,28089,Jason Day,17.13,1028,6000,1,3
11,0,22405,Justin Rose,16.63,1447,8700,1,7
12,0,34046,Jordan Spieth,13.87,1692,12200,0,7
13,0,29221,Webb Simpson,13.77,1536,11150,1,8
14,0,01666,Bernhard Langer,13.36,80,600,0,1
15,0,24024,Zach Johnson,13.32,1552,11650,1,5
16,0,34360,Patrick Reed,13.17,1666,12650,2,3
17,0,26596,Ryan Moore,12.76,1429,11200,1,7
18,0,32102,Rickie Fowler,12.58,1471,11700,0,7
19,0,30926,Chris Kirk,12.42,1571,12650,1,3
20,0,32839,Hideki Matsuyama,12.03,1287,10700,1,4
21,0,30927,Brendon Todd,12.00,1542,12850,1,7
22,0,25396,Kevin Na,11.83,1413,11950,0,5
23,0,25572,Graeme McDowell,11.57,948,8200,0,8
24,0,34099,Harris English,11.17,1469,13150,1,7
25,0,23320,Ryan Palmer,10.79,1068,9900,0,6
26,0,21528,Henrik Stenson,10.74,720,6700,0,3
27,0,33141,Keegan Bradley,10.48,1278,12200,0,6
28,0,28307,Matt Every,10.37,1250,12050,1,6
29,0,26851,Marc Leishman,10.34,1137,11000,0,6
30,0,24924,Bill Haas,9.98,1268,12700,0,4
31,0,27436,Graham DeLaet,9.93,1113,11200,0,7
32,0,26331,Charl Schwartzel,9.60,783,8150,0,5
32,0,20645,John Senden,9.60,1157,12050,1,4
34,0,01810,Phil Mickelson,9.55,921,9650,0,1
35,0,31323,Gary Woodland,9.50,1059,11150,0,4
36,0,27141,J.B. Holmes,9.20,1007,10950,1,2
37,0,23135,Tim Clark,9.15,1111,12150,1,3
38,0,27644,Brian Harman,9.08,1349,14850,1,6
38,0,12716,Charley Hoffman,9.08,1026,11300,0,5
38,0,24490,George McNeill,9.08,962,10600,0,4
41,0,23983,Luke Donald,9.06,743,8200,0,3
42,0,26679,Kevin Stadler,8.79,1067,12150,1,3
43,0,27214,Kevin Streelman,8.68,972,11200,1,2
44,0,25686,Jason Dufner,8.67,798,9200,0,4
45,0,06527,Steve Stricker,8.58,519,6050,0,2
46,0,26300,Matt Jones,8.54,970,11350,1,1
47,0,33418,Shawn Stefani,8.20,640,7800,0,2
48,0,21731,Freddie Jacobson,8.02,987,12300,0,4
49,0,24138,Ian Poulter,8.01,657,8200,0,2
50,0,21961,Charles Howell III,7.89,1042,13200,0,6
51,0,24357,K.J. Choi,7.83,814,10400,0,2
52,0,29289,S.Y. Noh,7.82,950,12150,1,2
53,0,20848,Ángel Cabrera,7.65,807,10550,1,1
53,0,08075,Jerry Kelly,7.65,765,10000,0,4
53,0,27770,Camilo Villegas,7.65,1002,13100,1,1
56,0,33122,Russell Knox,7.56,885,11700,0,3
57,0,24912,Will MacKenzie,7.54,920,12200,0,5
58,0,27963,Chris Stroud,7.51,834,11100,0,4
59,0,30944,Jason Kokrak,7.26,632,8700,0,2
60,0,01320,Bob Estes,7.25,73,1000,0,1
61,0,25834,Daniel Summerhays,7.13,869,12200,0,2
62,0,24507,Jason Bohn,7.00,784,11200,0,3
63,0,34431,Robert Streb,6.98,635,9100,0,1
64,0,24781,Hunter Mahan,6.96,776,11150,0,5
65,0,31560,Brian Stuard,6.90,891,12900,0,4
66,0,23541,Ben Crane,6.88,774,11250,1,2
67,0,27649,Brandt Snedeker,6.66,812,12200,0,3
68,0,25444,Justin Hicks,6.64,923,13900,0,3
69,0,34098,Russell Henley,6.60,864,13100,1,2
