RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,25274,Steven Bowditch,7.94,10,126,+0.50
2,0,30711,Colt Knost,5.49,9,164,-0.11
3,0,32876,Martin Piller,5.26,6,114,+0.33
4,0,24357,K.J. Choi,4.11,6,146,+0.50
5,0,23621,Rory Sabbatini,4.00,4,100,+0.50
6,0,20472,Alex Cejka,3.97,5,126,+0.60
7,0,26329,Louis Oosthuizen,3.85,4,104,E
8,0,06527,Steve Stricker,3.77,4,106,E
9,0,25720,Chad Collins,3.42,5,146,+0.60
10,0,21878,Mark Wilson,3.23,4,124,+0.75
11,0,24494,Erik Compton,3.17,4,126,+0.75
11,0,27942,Rob Oppenheim,3.17,4,126,E
13,0,29745,Tyler Aldridge,3.16,5,158,+0.40
14,0,25632,Jimmy Walker,3.05,5,164,-0.20
15,0,10885,Robert Allenby,2.94,3,102,+0.33
15,0,25240,D.A. Points,2.94,3,102,+0.33
15,0,25349,Tim Wilkinson,2.94,4,136,+0.75
18,0,21731,Freddie Jacobson,2.91,5,172,+0.20
19,0,10809,Jim Furyk,2.88,3,104,E
20,0,29221,Webb Simpson,2.86,4,140,+0.50
21,0,10213,Dicky Pride,2.83,3,106,-0.67
22,0,24846,Ricky Barnes,2.69,5,186,E
23,0,35300,Andrew Loupe,2.67,4,150,+0.25
24,0,34262,Jon Curran,2.63,5,190,+0.60
25,0,27747,Hiroshi Iwata,2.53,4,158,+0.50
25,0,27770,Camilo Villegas,2.53,4,158,-0.25
27,0,32448,James Hahn,2.47,4,162,+0.75
27,0,30926,Chris Kirk,2.47,4,162,+1.00
29,0,02206,David Toms,2.42,3,124,E
30,0,34466,Peter Malnati,2.35,4,170,+0.50
30,0,25396,Kevin Na,2.35,4,170,+0.25
32,0,12510,Chad Campbell,2.33,4,172,+0.50
32,0,29478,Kevin Kisner,2.33,4,172,+0.75
34,0,33448,Justin Thomas,2.27,4,176,+0.50
35,0,22371,Aaron Baddeley,2.25,4,178,-0.25
35,0,31557,Jim Herman,2.25,4,178,E
35,0,32757,Patton Kizzire,2.25,4,178,+0.75
38,0,22892,Jason Gore,2.14,3,140,+0.33
38,0,28114,Dawie van der Walt,2.14,3,140,+0.33
40,0,36801,Mark Hubbard,2.06,4,194,-0.50
41,0,23983,Luke Donald,2.05,3,146,E
42,0,20572,Rod Pampling,2.00,2,100,E
43,0,34098,Russell Henley,1.97,3,152,+0.33
44,0,29720,Andres Gonzales,1.92,3,156,+0.33
45,0,28679,Fabián Gómez,1.90,3,158,E
46,0,35545,Blayne Barber,1.88,3,160,+0.33
46,0,29518,Brendan Steele,1.88,3,160,+0.67
48,0,29479,Scott Brown,1.79,3,168,+0.67
48,0,29926,Danny Lee,1.79,3,168,-0.67
50,0,37273,Derek Ernst,1.75,2,114,+0.50
51,0,27974,Sung Kang,1.72,3,174,+0.33
52,0,46440,Smylie Kaufman,1.70,3,176,E
53,0,35879,Kelly Kraft,1.69,2,118,+1.00
54,0,25572,Graeme McDowell,1.67,2,120,+1.00
55,0,26758,David Hearn,1.65,3,182,+0.67
56,0,24461,Thomas Aiken,1.61,2,124,E
56,0,33399,Adam Hadwin,1.61,3,186,+0.33
58,0,31416,Derek Fathauer,1.60,3,188,+0.33
59,0,33461,Morgan Hoffmann,1.59,2,126,E
59,0,34261,Scott Langley,1.59,2,126,+0.50
61,0,28475,Jeff Overton,1.54,2,130,+0.50
61,0,29223,Sam Saunders,1.54,2,130,-0.50
61,0,34265,Will Wilcox,1.54,2,130,E
64,0,23353,J.J. Henry,1.52,2,132,+0.50
65,0,24507,Jason Bohn,1.49,2,134,E
