RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,27141,J.B. Holmes,307.2,262656,855
2,0,30925,Dustin Johnson,306.5,270921,884
3,0,25804,Bubba Watson,305.7,219478,718
4,0,28237,Rory McIlroy,301.8,202815,672
5,0,35300,Andrew Loupe,300.3,280791,935
6,0,29725,Tony Finau,298.4,325300,1090
7,0,28089,Jason Day,297.3,225946,760
8,0,27129,Luke List,295.3,268152,908
9,0,36689,Brooks Koepka,295.1,249039,844
10,0,29461,Jamie Lovemark,294.8,340207,1154
10,0,24502,Adam Scott,294.8,231138,784
12,0,46440,Smylie Kaufman,294.6,298155,1012
13,0,36699,Patrick Rodgers,294.5,292153,992
14,0,32102,Rickie Fowler,294.4,264933,900
15,0,31323,Gary Woodland,294.3,318388,1082
16,0,23320,Ryan Palmer,293.9,319746,1088
17,0,22405,Justin Rose,293.8,201539,686
18,0,33448,Justin Thomas,293.6,308286,1050
19,0,30944,Jason Kokrak,293.0,306440,1046
20,0,24358,Robert Garrigus,292.7,225059,769
21,0,25632,Jimmy Walker,292.1,289752,992
22,0,21961,Charles Howell III,292.0,321781,1102
23,0,27064,Jhonattan Vegas,291.9,329602,1129
24,0,34264,Hudson Swafford,291.7,373089,1279
25,0,24140,Sean O'Hair,291.1,342073,1175
25,0,25818,Scott Piercy,291.1,264565,909
27,0,12716,Charley Hoffman,291.0,288073,990
28,0,34360,Patrick Reed,290.8,317537,1092
29,0,34046,Jordan Spieth,290.6,235993,812
30,0,26331,Charl Schwartzel,290.5,226602,780
31,0,01810,Phil Mickelson,290.3,239771,826
32,0,21209,Sergio Garcia,290.2,125941,434
32,0,37189,Harold Varner III,290.2,324147,1117
34,0,29518,Brendan Steele,290.1,280236,966
35,0,33667,Carlos Ortiz,289.7,246234,850
36,0,35451,Scott Pinckney,289.6,287265,992
37,0,33204,Shane Lowry,289.5,149940,518
38,0,27936,Martin Laird,289.3,286147,989
39,0,32618,Rhein Gibson,289.2,178157,616
40,0,40026,Daniel Berger,288.7,289811,1004
40,0,32839,Hideki Matsuyama,288.7,234401,812
42,0,33141,Keegan Bradley,288.1,253522,880
43,0,34099,Harris English,288.0,292632,1016
43,0,24781,Hunter Mahan,288.0,200440,696
45,0,37455,Si Woo Kim,287.7,398113,1384
45,0,20691,Greg Owen,287.7,277905,966
47,0,29974,Branden Grace,287.6,167958,584
48,0,25364,Paul Casey,287.3,229253,798
48,0,37273,Derek Ernst,287.3,172959,602
48,0,31646,Emiliano Grillo,287.3,294756,1026
48,0,30692,Scott Stallings,287.3,252796,880
52,0,25493,Nick Taylor,287.2,264767,922
53,0,34563,Chesson Hadley,287.1,267590,932
54,0,06522,Ernie Els,287.0,224454,782
55,0,31420,Anirban Lahiri,286.8,192742,672
56,0,33410,Andrew Landry,286.7,132475,462
57,0,27436,Graham DeLaet,286.6,234146,817
58,0,28158,Steve Marino,286.4,223418,780
59,0,33461,Morgan Hoffmann,286.1,235778,824
60,0,28114,Dawie van der Walt,286.0,224243,784
61,0,27649,Brandt Snedeker,285.9,301360,1054
62,0,25686,Jason Dufner,285.7,314848,1102
62,0,34431,Robert Streb,285.7,263406,922
64,0,25274,Steven Bowditch,285.6,220478,772
64,0,29485,Brett Stegmaier,285.6,298777,1046
66,0,34098,Russell Henley,285.5,275229,964
66,0,26300,Matt Jones,285.5,251563,881
66,0,26329,Louis Oosthuizen,285.5,166755,584
69,0,32366,Kevin Chappell,285.3,310396,1088
70,0,20229,Stewart Cink,285.2,195043,684
70,0,25900,Lucas Glover,285.2,266973,936
70,0,32448,James Hahn,285.2,278605,977
73,0,20848,Ángel Cabrera,285.0,195542,686
74,0,26851,Marc Leishman,284.9,259246,910
74,0,35732,Wes Roach,284.9,171496,602
76,0,29720,Andres Gonzales,284.7,254539,894
76,0,29420,Billy Horschel,284.7,227205,798
78,0,29478,Kevin Kisner,284.5,291914,1026
79,0,27644,Brian Harman,284.4,364902,1283
79,0,32150,Michael Thompson,284.4,213850,752
81,0,35879,Kelly Kraft,284.3,178800,629
82,0,27214,Kevin Streelman,284.2,253253,891
83,0,29289,S.Y. Noh,284.0,273237,962
84,0,33418,Shawn Stefani,283.9,304888,1074
84,0,26289,Boo Weekley,283.9,281678,992
86,0,20572,Rod Pampling,283.6,146895,518
87,0,31557,Jim Herman,283.3,281068,992
87,0,37454,Whee Kim,283.3,256667,906
89,0,23621,Rory Sabbatini,283.2,153500,542
90,0,29479,Scott Brown,283.0,274465,970
90,0,23108,Matt Kuchar,283.0,303937,1074
92,0,29268,Bronson Burgoon,282.9,256343,906
92,0,27974,Sung Kang,282.9,287993,1018
94,0,24924,Bill Haas,282.8,253369,896
94,0,29221,Webb Simpson,282.8,229037,810
94,0,34265,Will Wilcox,282.8,224529,794
97,0,06567,Vijay Singh,282.7,256090,906
98,0,22046,Geoff Ogilvy,282.6,197244,698
98,0,32876,Martin Piller,282.6,185983,658
100,0,28679,Fabián Gómez,282.5,289836,1026
100,0,29926,Danny Lee,282.5,281088,995
102,0,29223,Sam Saunders,282.4,200513,710
102,0,20645,John Senden,282.4,310629,1100
104,0,35532,Tom Hoge,282.3,248399,880
105,0,25834,Daniel Summerhays,282.1,310866,1102
106,0,33399,Adam Hadwin,282.0,345725,1226
107,0,22892,Jason Gore,281.8,235586,836
108,0,33122,Russell Knox,281.7,256338,910
109,0,31202,William McGirt,281.6,346922,1232
110,0,23353,J.J. Henry,281.5,241550,858
111,0,31416,Derek Fathauer,281.4,298247,1060
111,0,34409,David Lingmerth,281.4,237536,844
111,0,30110,Kyle Stanley,281.4,309807,1101
114,0,35545,Blayne Barber,281.3,290298,1032
114,0,20766,Padraig Harrington,281.3,173273,616
114,0,32757,Patton Kizzire,281.3,293714,1044
117,0,30163,Henrik Norlander,281.2,208392,741
118,0,22371,Aaron Baddeley,281.1,294609,1048
118,0,24494,Erik Compton,281.1,200136,712
120,0,33413,Ben Martin,281.0,314688,1120
121,0,26951,Johnson Wagner,280.9,298903,1064
122,0,23325,Vaughn Taylor,280.7,262740,936
123,0,29745,Tyler Aldridge,280.5,261942,934
123,0,20157,Retief Goosen,280.5,187371,668
123,0,25198,Francesco Molinari,280.5,223246,796
126,0,27747,Hiroshi Iwata,280.4,260525,929
126,0,32640,Troy Merritt,280.4,255739,912
128,0,29476,Kyle Reifers,280.3,378909,1352
128,0,27963,Chris Stroud,280.3,270228,964
130,0,39975,Michael Kim,280.2,335067,1196
131,0,27895,Jonas Blixt,280.1,263829,942
131,0,23638,Brendon de Jonge,280.1,254286,908
131,0,28475,Jeff Overton,280.1,226915,810
131,0,27770,Camilo Villegas,280.1,277296,990
131,0,25892,Steve Wheatcroft,280.1,273401,976
136,0,28132,Tyrone Van Aswegen,280.0,343022,1225
137,0,30926,Chris Kirk,279.9,289995,1036
137,0,24912,Will MacKenzie,279.9,257506,920
139,0,35891,Cameron Smith,279.8,179044,640
140,0,35539,Luke Guthrie,279.7,176213,630
141,0,20472,Alex Cejka,279.4,200644,718
142,0,32200,Roberto Castro,279.3,343531,1230
143,0,26476,Chez Reavie,279.0,295779,1060
144,0,12510,Chad Campbell,278.9,311805,1118
144,0,34261,Scott Langley,278.9,206972,742
146,0,24461,Thomas Aiken,278.2,185861,668
147,0,26596,Ryan Moore,278.0,251874,906
148,0,24846,Ricky Barnes,277.8,310579,1118
149,0,36801,Mark Hubbard,277.2,321009,1158
150,0,33419,Cameron Tringale,277.0,270932,978
151,0,34466,Peter Malnati,276.8,287306,1038
152,0,20098,Stuart Appleby,276.7,255159,922
153,0,28092,D.H. Lee,276.2,177845,644
153,0,25572,Graeme McDowell,276.2,174544,632
155,0,20104,Ken Duke,276.0,184398,668
155,0,24024,Zach Johnson,276.0,283129,1026
157,0,10885,Robert Allenby,275.5,157589,572
157,0,45526,Abraham Ancer,275.5,146553,532
157,0,21731,Freddie Jacobson,275.5,275726,1001
160,0,27942,Rob Oppenheim,275.4,196391,713
161,0,29222,Billy Hurley III,275.3,226842,824
162,0,27466,Spencer Levin,275.1,315244,1146
162,0,25349,Tim Wilkinson,275.1,192554,700
164,0,26758,David Hearn,275.0,315128,1146
165,0,24490,George McNeill,274.7,175788,640
166,0,25240,D.A. Points,274.5,149899,546
167,0,23541,Ben Crane,274.4,251923,918
168,0,10809,Jim Furyk,274.3,168988,616
168,0,34174,John Huh,274.3,300883,1097
170,0,23800,Bryce Molder,273.6,256066,936
170,0,25396,Kevin Na,273.6,263237,962
172,0,08075,Jerry Kelly,273.3,228473,836
