RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,48084,Wesley Bryan,2.708,307.488,113.563,166,0197703496
2,0,49960,Sepp Straka,2.694,300.097,111.389,283,0207303655
3,0,45609,Tyler Duncan,2.688,301.634,112.215,247,0196303329
4,1,34076,Joel Dahmen,2.683,297.859,111.034,315,0170203346
5,-1,34021,Bud Cauley,2.682,301.517,112.418,259,0224403214
6,0,29908,C.T. Pan,2.679,295.807,110.398,257,0214403362
7,0,33948,Byeong Hun An,2.678,319.141,119.193,291,0183703616
7,0,23108,Matt Kuchar,2.678,289.183,107.974,298,0204703208
7,0,59143,Mac Meissner,2.678,304.742,113.810,280,0199703402
10,1,34587,Chan Kim,2.677,305.130,113.995,293,0170703400
10,-3,51890,Greyson Sigg,2.677,296.284,110.676,316,0195903176
12,0,34563,Chesson Hadley,2.676,307.008,114.720,296,0216403326
13,0,47806,Raul Pereda,2.675,293.358,109.669,183,0197003139
14,-1,52375,Doug Ghim,2.674,300.124,112.235,315,0218803371
15,-2,32640,Troy Merritt,2.673,296.799,111.018,293,0195103403
15,2,23320,Ryan Palmer,2.673,300.494,112.432,178,0221003405
17,1,26476,Chez Reavie,2.669,288.296,108.030,286,0218903487
17,-1,50095,Austin Smotherman,2.669,302.433,113.312,179,0209803135
19,0,29535,Brice Garnett,2.668,290.875,109.022,199,0187603417
20,-1,27644,Brian Harman,2.667,294.525,110.421,377,0223203637
21,4,33141,Keegan Bradley,2.665,307.978,115.573,306,0216403563
22,-1,27330,Josh Teater,2.664,300.173,112.697,193,0205503191
23,-1,35461,Beau Hossler,2.663,304.252,114.245,367,0219803354
23,-1,36326,David Lipsky,2.663,294.008,110.407,274,0213803396
25,-3,52513,Carson Young,2.662,297.729,111.825,343,0219903276
26,0,34098,Russell Henley,2.659,294.434,110.745,295,0219703768
27,0,26596,Ryan Moore,2.658,290.437,109.265,328,0209203246
27,0,46340,Alex Smalley,2.658,309.894,116.600,255,0202203234
27,2,33448,Justin Thomas,2.658,313.047,117.794,229,0187203524
30,0,46717,Viktor Hovland,2.656,308.259,116.070,207,0203503448
31,1,48319,Tom Whitney,2.652,300.159,113.162,245,0178403294
32,-1,60767,Blaine Hale Jr.,2.651,309.525,116.774,187,0206603227
33,0,25493,Nick Taylor,2.650,296.526,111.901,340,0212003643
34,1,24024,Zach Johnson,2.647,286.976,108.406,218,0224903255
35,-1,51287,Ryo Hisatsune,2.646,298.505,112.811,295,0214803115
36,1,34374,Erik Barnes,2.645,304.898,115.270,210,0210003159
36,-1,39975,Michael Kim,2.645,304.892,115.272,307,0188703305
38,1,25900,Lucas Glover,2.644,294.084,111.247,342,0212003521
39,0,40026,Daniel Berger,2.643,304.172,115.070,280,0223003263
39,2,57900,Chandler Phillips,2.643,296.874,112.325,334,0002803273
39,-2,27770,Camilo Villegas,2.643,294.333,111.360,201,0192003537
42,1,29420,Billy Horschel,2.642,301.906,114.278,299,0154503482
43,10,45157,Cam Davis,2.641,307.961,116.616,271,0173603769
43,-1,32757,Patton Kizzire,2.641,304.185,115.169,250,0219703256
43,0,58168,Davis Thompson,2.641,309.444,117.191,330,0189303800
46,0,32366,Kevin Chappell,2.640,305.494,115.736,203,0209403237
46,-3,40162,Justin Lower,2.640,298.765,113.162,366,0214103454
46,0,27214,Kevin Streelman,2.640,300.493,113.842,278,0206703354
46,0,51634,Sahith Theegala,2.640,309.849,117.365,368,0174203781
50,4,32102,Rickie Fowler,2.639,302.531,114.622,257,0173103585
50,-4,49771,J.T. Poston,2.639,298.290,113.051,366,0198803596
50,0,48119,Ben Taylor,2.639,304.836,115.514,230,0199003239
53,6,48117,Kurt Kitayama,2.638,316.673,120.040,209,0196703464
53,-3,47993,Denny McCarthy,2.638,295.341,111.936,360,0184503521
53,-1,39324,J.J. Spaun,2.638,305.017,115.615,336,0206303192
56,0,31646,Emiliano Grillo,2.637,297.809,112.941,328,0216203814
56,5,29221,Webb Simpson,2.637,300.399,113.924,231,0217903096
58,-4,47988,Nick Hardy,2.636,308.447,117.017,357,0190203458
59,-3,57975,Harry Hall,2.635,306.550,116.349,291,0197803412
60,-4,51349,Nico Echavarria,2.634,299.599,113.740,322,0213403628
60,2,34046,Jordan Spieth,2.634,309.862,117.619,282,0204803483
62,-3,28775,Nate Lashley,2.633,294.613,111.877,297,0220003262
63,-1,37212,Paul Barjon,2.632,317.981,120.795,189,0210803296
63,-1,12716,Charley Hoffman,2.632,303.492,115.289,248,0216903204
63,-1,30926,Chris Kirk,2.632,302.129,114.778,317,0201603632
66,4,30911,Tommy Fleetwood,2.631,303.316,115.298,271,0229403704
