RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,06004,Stephen Ames,100.00,4,4
1,0,24227,Justin Bolli,100.00,5,5
1,0,01116,Michael Bradley,100.00,2,2
1,0,23983,Luke Donald,100.00,1,1
1,0,21209,Sergio Garcia,100.00,1,1
1,0,22792,Peter Hanson,100.00,3,3
1,0,21731,Freddie Jacobson,100.00,2,2
1,0,23108,Matt Kuchar,100.00,5,5
1,0,26851,Marc Leishman,100.00,6,6
1,0,24781,Hunter Mahan,100.00,4,4
1,0,06527,Steve Stricker,100.00,2,2
1,0,23325,Vaughn Taylor,100.00,3,3
1,0,28135,Aaron Watkins,100.00,1,1
1,0,26497,Casey Wittenberg,100.00,4,4
1,0,08793,Tiger Woods,100.00,6,6
16,0,20593,Greg Chalmers,90.00,9,10
16,0,22806,Doug LaBelle II,90.00,9,10
18,0,24357,K.J. Choi,87.50,7,8
18,0,28500,Martin Flores,87.50,7,8
18,0,30750,Tommy Gainey,87.50,7,8
18,0,19846,Brian Gay,87.50,7,8
18,0,22056,Cameron Percy,87.50,7,8
23,0,06522,Ernie Els,85.71,6,7
23,0,28307,Matt Every,85.71,6,7
23,0,30944,Jason Kokrak,85.71,6,7
23,0,35139,Richard Lee,85.71,6,7
23,0,25336,Alistair Presnell,85.71,6,7
23,0,22405,Justin Rose,85.71,6,7
23,0,34046,Jordan Spieth,85.71,6,7
23,0,33419,Cameron Tringale,85.71,6,7
31,0,28089,Jason Day,83.33,5,6
31,0,10860,Justin Leonard,83.33,5,6
31,0,33869,Eric Meierdierks,83.33,5,6
31,0,22913,John Rollins,83.33,5,6
31,0,33418,Shawn Stefani,83.33,5,6
36,0,28780,Nicholas Thompson,81.82,9,11
37,0,23409,James Driscoll,80.00,4,5
37,0,10809,Jim Furyk,80.00,4,5
37,0,31202,William McGirt,80.00,4,5
37,0,25562,Andres Romero,80.00,4,5
37,0,20645,John Senden,80.00,4,5
37,0,27770,Camilo Villegas,80.00,4,5
37,0,26289,Boo Weekley,80.00,4,5
44,0,28310,Lee Williams,77.78,7,9
45,0,25274,Steven Bowditch,75.00,3,4
45,0,22621,Ben Curtis,75.00,3,4
45,0,19970,Robert Karlsson,75.00,6,8
45,0,25240,D.A. Points,75.00,6,8
45,0,23497,Tag Ridings,75.00,6,8
45,0,30692,Scott Stallings,75.00,3,4
45,0,25804,Bubba Watson,75.00,3,4
52,0,10885,Robert Allenby,71.43,5,7
52,0,32200,Roberto Castro,71.43,5,7
52,0,34098,Russell Henley,71.43,5,7
52,0,27330,Josh Teater,71.43,5,7
52,0,25632,Jimmy Walker,71.43,5,7
57,0,27895,Jonas Blixt,66.67,4,6
57,0,24507,Jason Bohn,66.67,4,6
57,0,32102,Rickie Fowler,66.67,2,3
57,0,29740,Brad Fritsch,66.67,4,6
57,0,12782,Tim Herron,66.67,2,3
57,0,06573,Brandt Jobe,66.67,4,6
57,0,28092,D.H. Lee,66.67,4,6
57,0,30163,Henrik Norlander,66.67,4,6
57,0,24140,Sean O'Hair,66.67,4,6
57,0,25818,Scott Piercy,66.67,6,9
57,0,10213,Dicky Pride,66.67,4,6
57,0,26476,Chez Reavie,66.67,6,9
57,0,30110,Kyle Stanley,66.67,4,6
70,0,27649,Brandt Snedeker,63.64,7,11
71,0,23541,Ben Crane,62.50,5,8
71,0,24490,George McNeill,62.50,5,8
71,0,20691,Greg Owen,62.50,5,8
71,0,26331,Charl Schwartzel,62.50,5,8
71,0,26951,Johnson Wagner,62.50,5,8
76,0,37273,Derek Ernst,60.00,3,5
76,0,08725,Tom Gillis,60.00,6,10
76,0,30852,Ryo Ishikawa,60.00,3,5
76,0,30926,Chris Kirk,60.00,6,10
76,0,27933,John Merrick,60.00,3,5
76,0,26596,Ryan Moore,60.00,3,5
76,0,29289,S.Y. Noh,60.00,3,5
76,0,20572,Rod Pampling,60.00,3,5
76,0,20443,Jin Park,60.00,3,5
76,0,22295,Darron Stiles,60.00,3,5
76,0,32150,Michael Thompson,60.00,3,5
76,0,20396,Lee Westwood,60.00,3,5
88,0,21753,Brian Davis,57.14,4,7
88,0,34099,Harris English,57.14,4,7
88,0,01320,Bob Estes,57.14,4,7
88,0,23353,J.J. Henry,57.14,4,7
88,0,33461,Morgan Hoffmann,57.14,4,7
88,0,21961,Charles Howell III,57.14,4,7
88,0,26300,Matt Jones,57.14,4,7
88,0,01724,Jeff Maggert,57.14,4,7
88,0,34360,Patrick Reed,57.14,4,7
88,0,06567,Vijay Singh,57.14,4,7
98,0,30711,Colt Knost,55.56,5,9
98,0,27963,Chris Stroud,55.56,5,9
100,0,20098,Stuart Appleby,50.00,2,4
100,0,28259,Sangmoon Bae,50.00,3,6
100,0,32334,Charlie Beljan,50.00,2,4
100,0,33141,Keegan Bradley,50.00,4,8
100,0,23135,Tim Clark,50.00,2,4
100,0,23638,Brendon de Jonge,50.00,3,6
100,0,25686,Jason Dufner,50.00,1,2
100,0,24358,Robert Garrigus,50.00,1,2
100,0,25900,Lucas Glover,50.00,4,8
100,0,35539,Luke Guthrie,50.00,4,8
100,0,27644,Brian Harman,50.00,5,10
100,0,34174,John Huh,50.00,3,6
100,0,22378,Trevor Immelman,50.00,1,2
100,0,30925,Dustin Johnson,50.00,3,6
100,0,24024,Zach Johnson,50.00,2,4
100,0,27408,Martin Kaymer,50.00,2,4
100,0,27936,Martin Laird,50.00,3,6
100,0,34409,David Lingmerth,50.00,2,4
100,0,27120,Troy Matteson,50.00,2,4
100,0,28237,Rory McIlroy,50.00,3,6
100,0,23320,Ryan Palmer,50.00,3,6
100,0,24138,Ian Poulter,50.00,1,2
100,0,23621,Rory Sabbatini,50.00,6,12
100,0,29221,Webb Simpson,50.00,2,4
100,0,21528,Henrik Stenson,50.00,2,4
100,0,34431,Robert Streb,50.00,7,14
100,0,02206,David Toms,50.00,2,4
100,0,10423,Mike Weir,50.00,2,4
100,0,21878,Mark Wilson,50.00,2,4
100,0,31323,Gary Woodland,50.00,2,4
