RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,32839,Hideki Matsuyama,5.4903,258.0448,-69.5851,241.9268
2,0,39971,Sungjae Im,3.3644,174.9510,-94.8400,131.3290
3,0,24502,Adam Scott,3.3629,161.4187,-56.7129,127.2991
4,0,55182,Tom Kim,3.3061,171.9164,-121.9917,95.3190
5,0,28089,Jason Day,2.9676,136.5076,-72.8774,83.4103
6,0,33948,Byeong Hun An,2.8301,147.1641,-52.9084,124.1945
7,0,39997,Corey Conners,2.5972,129.8594,-70.3987,89.1413
8,0,45157,Cam Davis,2.5370,131.9266,-58.3387,85.2766
9,0,37378,Min Woo Lee,2.4822,129.0746,-62.5421,75.1753
10,0,45522,Christiaan Bezuidenhout,2.3571,122.5691,-45.5092,112.6260
11,0,40250,Taylor Pendrith,2.2873,118.9410,-34.3251,105.2455
12,0,25493,Nick Taylor,2.2538,114.9419,-62.9234,86.2691
13,0,33399,Adam Hadwin,2.2527,112.6358,-54.7988,81.0726
14,0,37455,Si Woo Kim,2.2511,117.0565,-65.8605,81.7074
15,0,35506,Mackenzie Hughes,1.8617,96.8095,-45.8339,68.5255
16,0,40006,Erik van Rooyen,1.8178,94.5264,-32.5200,67.6724
17,0,31646,Emiliano Grillo,1.7883,92.9911,-69.9105,46.5026
18,0,29936,Ryan Fox,1.7367,90.3084,-78.8235,36.1881
19,0,45523,Thriston Lawrence,1.6540,86.0094,-42.2149,63.0758
20,0,51287,Ryo Hisatsune,1.4708,76.4821,-38.2095,47.6040
21,0,27064,Jhonattan Vegas,1.4394,57.5758,-8.9280,55.2270
22,0,40115,Adam Svensson,1.2772,66.4120,-54.2037,39.8867
23,0,29908,C.T. Pan,1.2423,49.6924,-17.0487,39.2901
24,0,49228,Keita Nakajima,1.2054,59.0645,-25.0440,33.1349
25,0,51696,Rico Hoey,1.0673,50.1625,-16.2288,33.7477
26,0,47056,Rikuya Hoshino,1.0237,53.2335,-33.6010,26.9182
27,0,45242,Kevin Yu,1.0145,48.6955,-23.6499,47.3048
28,0,32791,K.H. Lee,1.0065,52.3402,-49.7712,35.5238
29,0,39327,Ben Silverman,.9841,41.3342,-17.4903,28.5998
30,0,38991,Alejandro Tosti,.9615,48.0740,-21.9210,27.9293
31,0,50188,S.H. Kim,.9602,49.9315,-30.3098,33.3186
32,0,47917,Takumi Kanaya,.8966,44.8303,-26.5093,21.4959
33,0,37447,Zander Lombard,.8025,41.7301,-25.1380,22.3446
34,0,54218,Yuta Sugiura,.7735,30.9398,-5.8720,22.8373
35,0,39859,Cristobal Del Solar,.7596,38.7379,-12.2742,32.2919
36,0,39113,Shubhankar Sharma,.7553,39.2737,-18.1897,23.7242
37,0,33921,Ben Campbell,.7193,28.7701,-8.8743,16.2013
38,0,55454,Carl Yuan,.7029,36.5526,-24.4266,27.2445
39,0,49813,Daniel Hillier,.6883,35.7908,-22.8169,13.8639
40,0,47888,Taiga Semikawa,.6772,35.2162,-23.4527,15.9640
41,0,48632,Yuto Katsuragawa,.6352,32.3944,-18.7244,26.5325
42,0,49120,Kensei Hirata,.6133,31.8923,-11.8121,17.2077
43,0,54304,Karl Vilips,.6111,24.4446,.0000,24.4446
44,0,27770,Camilo Villegas,.6075,31.5898,-15.6429,5.8788
45,0,47102,David Micheluzzi,.5860,25.7841,-8.6359,19.2395
46,0,36521,Young-han Song,.5761,29.9578,-12.6179,11.5509
47,0,30852,Ryo Ishikawa,.5626,27.0064,-15.6341,11.5267
48,0,56100,Ren Yonezawa,.5559,26.1274,-5.0018,19.5232
49,0,22371,Aaron Baddeley,.5554,25.5503,-16.1525,15.2720
50,0,32686,Takahiro Hataji,.5296,25.4224,-6.7800,20.2817
51,0,33486,Roger Sloan,.5075,21.8246,-9.1433,10.6447
52,0,51190,Guntaek Koh,.5064,26.3331,-9.0951,16.7517
53,0,51349,Nico Echavarria,.4913,25.5485,-13.1400,21.2387
54,0,35557,Aaron Cockerill,.4863,24.3144,-15.8168,16.1565
55,0,30978,Kiradech Aphibarnrat,.4628,24.0656,-11.0507,20.4965
56,0,31273,Gavin Green,.4606,23.9505,-19.8816,11.4161
57,0,31109,Richard Lee,.4596,23.4404,-11.1628,13.2374
58,0,54421,Garrick Higgo,.4585,23.8424,-22.7632,11.3384
59,0,55623,Kaito Onishi,.4570,23.7639,-13.3755,20.3636
60,0,29970,Dylan Frittelli,.4535,23.5844,-14.6469,22.8085
61,0,32797,Sanghyun Park,.4413,21.6240,-16.1241,7.9052
62,0,63343,Aldrich Potgieter,.4406,17.6224,-3.4916,19.1166
63,0,56555,Myles Creighton,.4386,18.8601,-6.6845,15.1615
64,0,28697,Gaganjeet Bhullar,.4190,16.7587,-14.1485,4.1818
65,0,26328,Shaun Norris,.4186,21.7685,-10.4390,15.7661
66,0,32775,Shugo Imahira,.4100,20.4979,-19.9990,7.8770
67,0,27747,Hiroshi Iwata,.4079,21.2107,-16.3110,12.1455
68,0,29289,S.Y. Noh,.4058,19.8837,-6.2606,16.7007
69,0,57737,Jayden Schaper,.4033,20.9726,-10.7554,9.9299
70,0,46368,Stuart Macdonald,.3987,15.9482,-5.2407,11.5560
71,0,59629,Ryan van Velzen,.3950,20.5415,-7.9898,14.6247
