RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,02239,Scott Verplank,7.52,68,904,+0.09
2,0,01766,Billy Mayfair,7.59,100,1317,+0.13
3,0,01677,Tom Lehman,8.54,45,527,+0.07
4,0,27963,Chris Stroud,8.55,78,912,+0.26
5,0,20105,Jeff Gove,8.70,53,609,+0.23
6,0,01928,Corey Pavin,8.91,69,774,+0.26
7,0,21753,Brian Davis,9.10,129,1417,+0.13
8,0,08385,Omar Uresti,9.27,81,874,+0.02
9,0,01142,Bart Bryant,9.33,87,932,+0.20
10,0,24449,Parker McLachlin,9.41,102,1084,+0.02
10,0,21878,Mark Wilson,9.41,136,1446,+0.14
12,0,19803,Ryan Armour,9.56,100,1046,+0.25
12,0,24024,Zach Johnson,9.56,95,994,+0.07
14,0,01388,Robert Gamez,9.62,94,977,+0.22
15,0,26476,Chez Reavie,9.66,120,1242,+0.20
16,0,10809,Jim Furyk,9.69,102,1053,+0.13
17,0,19913,Ron Whittaker,9.77,55,563,+0.15
18,0,22293,Heath Slocum,9.92,119,1199,+0.13
19,0,06012,Greg Kraft,10.09,70,694,+0.30
20,0,01139,Olin Browne,10.11,98,969,+0.29
21,0,10425,Jay Williamson,10.17,113,1111,+0.31
22,0,01797,Rocco Mediate,10.33,99,958,+0.16
23,0,10733,Kent Jones,10.37,79,762,+0.06
23,0,27933,John Merrick,10.37,110,1061,+0.13
25,0,06621,Joe Durant,10.41,114,1095,+0.21
26,0,22371,Aaron Baddeley,10.42,87,835,+0.03
27,0,12826,Paul Claxton,10.45,72,689,+0.38
28,0,12309,Bob Sowards,10.52,75,713,+0.24
29,0,01473,Todd Hamilton,10.57,108,1022,+0.19
30,0,22621,Ben Curtis,10.59,93,878,+0.18
31,0,22913,John Rollins,10.67,117,1097,+0.06
32,0,23614,Rich Beem,10.95,120,1096,+0.06
33,0,06643,Paul Goydos,11.03,103,934,+0.27
34,0,07867,Woody Austin,11.09,136,1226,+0.02
35,0,08537,J.P. Hayes,11.16,97,869,+0.09
36,0,23621,Rory Sabbatini,11.19,98,876,+0.08
37,0,06197,Michael Allen,11.21,121,1079,+0.18
38,0,25190,Jeff Quinney,11.22,113,1007,+0.15
39,0,23541,Ben Crane,11.29,117,1036,+0.09
40,0,21633,Steve Allan,11.31,74,654,+0.14
41,0,01320,Bob Estes,11.37,135,1187,+0.04
42,0,23788,D.J. Trahan,11.38,122,1072,+0.11
43,0,28089,Jason Day,11.45,120,1048,+0.19
44,0,20160,Charlie Wi,11.48,140,1219,+0.10
45,0,27060,John Mallinger,11.53,134,1162,+0.16
46,0,24925,Jonathan Byrd,11.55,123,1065,+0.19
47,0,22892,Jason Gore,11.56,136,1176,+0.09
48,0,02206,David Toms,11.60,90,776,+0.08
49,0,27095,Nick Watney,11.62,135,1162,+0.21
50,0,07547,Craig Kanada,11.68,89,762,+0.24
50,0,10423,Mike Weir,11.68,108,925,+0.10
52,0,25396,Kevin Na,11.80,149,1263,+0.09
53,0,20127,Chris Riley,11.82,65,550,+0.14
54,0,26668,Marc Turnesa,11.84,124,1047,+0.13
55,0,27936,Martin Laird,11.86,138,1164,+0.20
56,0,20498,Briny Baird,11.88,157,1322,+0.08
56,0,22548,Patrick Sheehan,11.88,171,1440,+0.18
58,0,11032,Frank Lickliter II,11.94,165,1382,+0.08
59,0,10885,Robert Allenby,11.96,142,1187,+0.06
60,0,08845,Scott Sterling,11.97,122,1019,+0.10
61,0,01313,Steve Elkington,12.04,122,1013,-0.02
62,0,22348,Nick O'Hern,12.07,119,986,+0.16
63,0,28780,Nicholas Thompson,12.11,161,1330,+0.19
63,0,24663,Y.E. Yang,12.11,133,1098,+0.18
65,0,01553,John Huston,12.15,82,675,+0.21
65,0,02002,John Riegger,12.15,108,889,+0.15
67,0,27613,David Lutterus,12.16,84,691,+0.25
68,0,10505,Shane Bertsch,12.18,152,1248,+0.20
69,0,20443,Jin Park,12.19,117,960,+0.12
70,0,27120,Troy Matteson,12.23,149,1218,+0.12
71,0,01948,Tim Petrovic,12.32,138,1120,+0.16
72,0,12652,Cameron Beckman,12.35,126,1020,+0.21
72,0,19846,Brian Gay,12.35,148,1198,+0.18
74,0,24138,Ian Poulter,12.38,62,501,+0.11
75,0,26289,Boo Weekley,12.39,110,888,+0.23
76,0,10585,Scott McCarron,12.40,93,750,+0.14
77,0,20645,John Senden,12.44,140,1125,+0.25
78,0,24227,Justin Bolli,12.45,126,1012,+0.17
79,0,12510,Chad Campbell,12.47,146,1171,+0.15
80,0,06573,Brandt Jobe,12.52,81,647,+0.05
81,0,01941,Tom Pernice Jr.,12.56,170,1353,+0.20
82,0,20104,Ken Duke,12.60,183,1452,+0.06
82,0,24361,Pat Perez,12.60,138,1095,+0.12
84,0,21461,Kenneth Ferrie,12.61,104,825,+0.20
85,0,21731,Freddie Jacobson,12.67,112,884,+0.10
85,0,26596,Ryan Moore,12.67,110,868,+0.10
87,0,24781,Hunter Mahan,12.75,127,996,+0.08
88,0,01161,Mark Calcavecchia,12.77,96,752,+0.04
88,0,22378,Trevor Immelman,12.77,95,744,+0.26
90,0,01035,Tommy Armour III,12.79,116,907,+0.14
91,0,12716,Charley Hoffman,12.86,153,1190,+0.12
92,0,26679,Kevin Stadler,12.89,129,1001,+0.09
93,0,20623,Gavin Coles,12.95,79,610,+0.06
94,0,21805,Harrison Frazar,13.00,110,846,-0.05
94,0,20382,Stephen Leaney,13.00,81,623,+0.28
96,0,01226,Fred Couples,13.07,91,696,+0.04
97,0,12782,Tim Herron,13.09,156,1192,+0.13
98,0,22046,Geoff Ogilvy,13.11,88,671,+0.18
99,0,10649,Tom Scherrer,13.12,79,602,+0.11
100,0,27214,Kevin Streelman,13.14,176,1339,+0.05
100,0,25349,Tim Wilkinson,13.14,146,1111,+0.14
102,0,12660,Jesper Parnevik,13.19,134,1016,+0.08
103,0,06251,Chris DiMarco,13.23,139,1051,+0.10
104,0,27561,Nick Flanagan,13.35,147,1101,+0.16
105,0,07749,Brett Quigley,13.37,134,1002,+0.09
105,0,23623,Bo Van Pelt,13.37,173,1294,+0.12
107,0,30750,Tommy Gainey,13.38,84,628,+0.27
108,0,06522,Ernie Els,13.39,66,493,+0.18
109,0,20574,Mathew Goggin,13.43,152,1132,+0.09
109,0,24140,Sean O'Hair,13.43,126,938,+0.07
109,0,20572,Rod Pampling,13.43,126,938,+0.13
109,0,02223,Bob Tway,13.43,106,789,+0.08
113,0,24912,Will MacKenzie,13.46,105,780,+0.22
114,0,26695,Michael Letzig,13.49,138,1023,+0.08
115,0,23135,Tim Clark,13.51,137,1014,+0.05
116,0,08931,Glen Day,13.53,105,776,+0.16
117,0,23797,Brett Rumford,13.54,111,820,+0.12
118,0,20472,Alex Cejka,13.56,112,826,+0.18
119,0,06595,Kevin Sutherland,13.57,165,1216,+0.11
120,0,20229,Stewart Cink,13.59,117,861,+0.06
121,0,23778,Brad Adamonis,13.65,142,1040,+0.06
122,0,01707,Steve Lowery,13.68,126,921,+0.06
123,0,01724,Jeff Maggert,13.76,150,1090,+0.15
124,0,22582,Kyle Thompson,13.78,108,784,+0.25
125,0,08075,Jerry Kelly,13.79,142,1030,+0.16
126,0,21959,Ted Purdy,13.87,113,815,+0.17
127,0,25720,Chad Collins,13.89,120,864,+0.25
128,0,24490,George McNeill,13.90,172,1237,+0.16
129,0,25594,Travis Perkins,13.92,76,546,+0.08
130,0,01024,Billy Andrade,13.95,118,846,+0.19
131,0,20098,Stuart Appleby,13.98,129,923,+0.04
