RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,24024,Zach Johnson,.60,6,994,+0.17
2,0,20623,Gavin Coles,.66,4,610,+1.50
3,0,22293,Heath Slocum,.75,9,1199,+1.00
4,0,08385,Omar Uresti,.80,7,874,+0.86
5,0,06197,Michael Allen,.83,9,1079,+0.67
6,0,01142,Bart Bryant,.86,8,932,+0.75
7,0,19913,Ron Whittaker,.89,5,563,+0.80
8,0,10809,Jim Furyk,.95,10,1053,+0.10
9,0,01766,Billy Mayfair,1.06,14,1317,+0.64
10,0,12652,Cameron Beckman,1.08,11,1020,+1.18
11,0,01313,Steve Elkington,1.09,11,1013,+0.36
12,0,01139,Olin Browne,1.14,11,969,+1.18
13,0,20105,Jeff Gove,1.15,7,609,+1.00
14,0,08931,Glen Day,1.16,9,776,+0.78
14,0,01928,Corey Pavin,1.16,9,774,+0.33
16,0,10860,Justin Leonard,1.17,12,1023,+0.83
17,0,02239,Scott Verplank,1.22,11,904,+0.55
18,0,26596,Ryan Moore,1.27,11,868,+0.55
19,0,06012,Greg Kraft,1.30,9,694,+1.22
20,0,07867,Woody Austin,1.31,16,1226,+0.25
20,0,12826,Paul Claxton,1.31,9,689,+0.89
20,0,07547,Craig Kanada,1.31,10,762,+1.40
23,0,21753,Brian Davis,1.34,19,1417,+0.37
23,0,19846,Brian Gay,1.34,16,1198,+0.75
25,0,22913,John Rollins,1.37,15,1097,+0.33
26,0,24138,Ian Poulter,1.40,7,501,+1.14
27,0,21461,Kenneth Ferrie,1.45,12,825,+0.58
28,0,06621,Joe Durant,1.46,16,1095,+0.81
29,0,28158,Steve Marino,1.47,21,1432,+0.57
30,0,22046,Geoff Ogilvy,1.49,10,671,+0.80
31,0,23125,Brad Elder,1.50,11,732,E
32,0,10885,Robert Allenby,1.52,18,1187,+0.39
32,0,01677,Tom Lehman,1.52,8,527,+0.88
34,0,26476,Chez Reavie,1.53,19,1242,+0.95
34,0,10425,Jay Williamson,1.53,17,1111,+0.82
36,0,12510,Chad Campbell,1.54,18,1171,+0.61
36,0,23541,Ben Crane,1.54,16,1036,+0.56
38,0,02002,John Riegger,1.57,14,889,+0.86
38,0,08845,Scott Sterling,1.57,16,1019,+0.75
40,0,01945,Kenny Perry,1.58,20,1268,+0.55
