RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01139,Olin Browne,5.47,53,969,+0.28
2,0,22348,Nick O'Hern,8.11,80,986,+0.19
3,0,22806,Doug LaBelle II,9.08,64,705,E
4,0,19846,Brian Gay,9.85,118,1198,+0.11
5,0,01388,Robert Gamez,10.24,100,977,+0.18
6,0,10860,Justin Leonard,10.26,105,1023,+0.14
7,0,19913,Ron Whittaker,10.30,58,563,+0.40
8,0,22293,Heath Slocum,10.34,124,1199,+0.18
9,0,01577,Lee Janzen,10.42,107,1027,+0.12
10,0,09011,David Duval,10.47,56,535,+0.20
11,0,06621,Joe Durant,10.68,117,1095,+0.09
12,0,23353,J.J. Henry,10.70,146,1365,+0.08
13,0,01313,Steve Elkington,10.76,109,1013,+0.11
13,0,08385,Omar Uresti,10.76,94,874,+0.18
15,0,26476,Chez Reavie,10.79,134,1242,+0.18
16,0,27060,John Mallinger,10.93,127,1162,+0.11
17,0,20623,Gavin Coles,10.98,67,610,+0.09
18,0,10733,Kent Jones,11.02,84,762,+0.29
19,0,02223,Bob Tway,11.15,88,789,+0.05
20,0,23349,Charles Warren,11.25,115,1022,+0.05
21,0,20645,John Senden,11.29,127,1125,+0.20
22,0,08075,Jerry Kelly,11.36,117,1030,+0.06
23,0,10505,Shane Bertsch,11.38,142,1248,+0.10
24,0,20443,Jin Park,11.56,111,960,+0.14
25,0,10875,Todd Demsey,11.58,113,976,+0.18
26,0,10585,Scott McCarron,11.60,87,750,+0.08
27,0,21461,Kenneth Ferrie,11.64,96,825,+0.16
28,0,06643,Paul Goydos,11.67,109,934,+0.17
29,0,07547,Craig Kanada,11.68,89,762,+0.20
30,0,01142,Bart Bryant,11.70,109,932,+0.19
30,0,23108,Matt Kuchar,11.70,114,974,+0.11
32,0,20382,Stephen Leaney,11.72,73,623,+0.19
33,0,21753,Brian Davis,11.79,167,1417,+0.16
34,0,20572,Rod Pampling,11.83,111,938,+0.20
35,0,06012,Greg Kraft,11.96,83,694,+0.17
36,0,23320,Ryan Palmer,11.97,99,827,+0.09
37,0,10425,Jay Williamson,12.06,134,1111,+0.11
38,0,24024,Zach Johnson,12.07,120,994,+0.21
39,0,12705,Cliff Kresge,12.12,122,1007,+0.17
40,0,20634,Peter Lonard,12.13,134,1105,+0.03
41,0,25396,Kevin Na,12.27,155,1263,+0.08
42,0,12652,Cameron Beckman,12.35,126,1020,+0.13
43,0,25345,Carl Pettersson,12.38,165,1333,+0.12
44,0,07457,Steve Flesch,12.40,138,1113,+0.12
45,0,22892,Jason Gore,12.50,147,1176,+0.16
45,0,02239,Scott Verplank,12.50,113,904,+0.03
47,0,01473,Todd Hamilton,12.52,128,1022,+0.19
48,0,01724,Jeff Maggert,12.57,137,1090,+0.24
49,0,25349,Tim Wilkinson,12.60,140,1111,+0.16
50,0,08931,Glen Day,12.76,99,776,+0.15
51,0,06575,Dudley Hart,12.85,119,926,+0.16
51,0,22548,Patrick Sheehan,12.85,185,1440,+0.05
53,0,22621,Ben Curtis,12.87,113,878,+0.03
54,0,24925,Jonathan Byrd,12.96,138,1065,+0.13
55,0,06197,Michael Allen,12.97,140,1079,+0.18
56,0,07867,Woody Austin,13.05,160,1226,+0.06
57,0,10809,Jim Furyk,13.11,138,1053,+0.10
58,0,20105,Jeff Gove,13.14,80,609,+0.16
59,0,28158,Steve Marino,13.20,189,1432,+0.12
60,0,23541,Ben Crane,13.22,137,1036,+0.02
61,0,12823,Carlos Franco,13.23,113,854,+0.12
62,0,01945,Kenny Perry,13.25,168,1268,+0.10
63,0,21949,Joe Ogilvie,13.28,160,1205,+0.13
64,0,01948,Tim Petrovic,13.30,149,1120,+0.18
65,0,23135,Tim Clark,13.31,135,1014,+0.12
66,0,23614,Rich Beem,13.32,146,1096,+0.21
67,0,24357,K.J. Choi,13.33,106,795,-0.08
68,0,12826,Paul Claxton,13.35,92,689,+0.16
68,0,20378,Mathias Grönberg,13.35,145,1086,+0.18
70,0,20574,Mathew Goggin,13.43,152,1132,+0.03
71,0,20127,Chris Riley,13.45,74,550,+0.09
72,0,06090,Jim McGovern,13.53,117,865,+0.18
73,0,01161,Mark Calcavecchia,13.56,102,752,+0.04
73,0,20472,Alex Cejka,13.56,112,826,+0.15
75,0,28780,Nicholas Thompson,13.68,182,1330,+0.10
76,0,24663,Y.E. Yang,13.75,151,1098,+0.19
77,0,19803,Ryan Armour,13.77,144,1046,+0.25
78,0,26596,Ryan Moore,13.82,120,868,+0.28
78,0,23325,Vaughn Taylor,13.82,179,1295,+0.10
80,0,20498,Briny Baird,13.84,183,1322,+0.08
81,0,10885,Robert Allenby,13.90,165,1187,+0.16
82,0,02002,John Riegger,13.95,124,889,+0.13
82,0,10649,Tom Scherrer,13.95,84,602,+0.26
84,0,06004,Stephen Ames,13.96,128,917,+0.08
85,0,21878,Mark Wilson,13.97,202,1446,+0.17
86,0,12680,Shigeki Maruyama,13.99,80,572,+0.19
87,0,12510,Chad Campbell,14.01,164,1171,+0.11
88,0,01766,Billy Mayfair,14.05,185,1317,+0.11
89,0,24781,Hunter Mahan,14.06,140,996,+0.17
90,0,26679,Kevin Stadler,14.09,141,1001,+0.08
91,0,20433,Mark Hensby,14.11,124,879,+0.14
92,0,24227,Justin Bolli,14.13,143,1012,+0.18
93,0,22582,Kyle Thompson,14.16,111,784,+0.12
94,0,25364,Paul Casey,14.23,70,492,+0.19
94,0,08845,Scott Sterling,14.23,145,1019,+0.09
96,0,11032,Frank Lickliter II,14.25,197,1382,+0.19
97,0,06595,Kevin Sutherland,14.31,174,1216,+0.09
98,0,20160,Charlie Wi,14.36,175,1219,+0.08
99,0,06527,Steve Stricker,14.38,114,793,+0.18
100,0,26695,Michael Letzig,14.47,148,1023,+0.12
101,0,06034,Marco Dawson,14.52,106,730,+0.28
101,0,24361,Pat Perez,14.52,159,1095,+0.06
103,0,20157,Retief Goosen,14.66,85,580,+0.13
104,0,01553,John Huston,14.67,99,675,+0.06
105,0,27561,Nick Flanagan,14.71,162,1101,+0.12
106,0,01797,Rocco Mediate,14.72,141,958,+0.16
107,0,02206,David Toms,14.82,115,776,+0.04
108,0,01320,Bob Estes,14.83,176,1187,+0.02
109,0,22913,John Rollins,14.86,163,1097,+0.14
110,0,25900,Lucas Glover,14.88,171,1149,+0.14
110,0,23718,Nathan Green,14.88,186,1250,+0.01
112,0,23125,Brad Elder,14.89,109,732,+0.09
113,0,01035,Tommy Armour III,14.99,136,907,+0.13
114,0,26951,Johnson Wagner,15.05,141,937,+0.15
115,0,12602,Dean Wilson,15.06,192,1275,+0.17
116,0,26420,Richard Johnson,15.17,103,679,+0.20
117,0,01706,Davis Love III,15.18,136,896,+0.02
118,0,21959,Ted Purdy,15.21,124,815,+0.15
119,0,07749,Brett Quigley,15.27,153,1002,+0.05
120,0,27770,Camilo Villegas,15.31,134,875,-0.01
121,0,27120,Troy Matteson,15.35,187,1218,+0.09
122,0,26668,Marc Turnesa,15.47,162,1047,+0.10
123,0,24912,Will MacKenzie,15.51,121,780,+0.19
124,0,20766,Padraig Harrington,15.70,68,433,-0.06
125,0,01707,Steve Lowery,15.74,145,921,+0.17
126,0,12660,Jesper Parnevik,15.85,161,1016,+0.21
127,0,26500,Alejandro Cañizares,15.87,90,567,+0.11
128,0,24140,Sean O'Hair,15.88,149,938,+0.12
129,0,01928,Corey Pavin,15.89,123,774,+0.24
130,0,27963,Chris Stroud,15.90,145,912,+0.13
131,0,28089,Jason Day,15.94,167,1048,+0.13
132,0,23788,D.J. Trahan,15.95,171,1072,+0.24
133,0,01941,Tom Pernice Jr.,15.96,216,1353,+0.10
134,0,27933,John Merrick,16.02,170,1061,+0.12
135,0,06251,Chris DiMarco,16.18,170,1051,+0.11
135,0,21731,Freddie Jacobson,16.18,143,884,+0.15
137,0,12782,Tim Herron,16.19,193,1192,+0.08
138,0,27613,David Lutterus,16.21,112,691,+0.24
139,0,26289,Boo Weekley,16.22,144,888,+0.08
140,0,25842,Jon Mills,16.23,173,1066,+0.18
141,0,01810,Phil Mickelson,16.32,133,815,+0.12
142,0,25190,Jeff Quinney,16.39,165,1007,+0.21
143,0,01024,Billy Andrade,16.43,139,846,+0.10
143,0,10423,Mike Weir,16.43,152,925,-0.02
145,0,12716,Charley Hoffman,16.47,196,1190,+0.07
146,0,27214,Kevin Streelman,16.58,222,1339,+0.15
147,0,27141,J.B. Holmes,16.61,155,933,+0.04
148,0,23540,Jason Allred,16.62,112,674,+0.17
149,0,24490,George McNeill,16.65,206,1237,+0.11
150,0,23048,Eric Axley,16.67,220,1320,+0.19
151,0,21209,Sergio Garcia,16.80,130,774,+0.07
152,0,29718,Anthony Kim,16.85,152,902,-0.03
153,0,23157,Richard Johnson,16.86,156,925,+0.04
154,0,24924,Bill Haas,16.87,209,1239,+0.06
155,0,27649,Brandt Snedeker,16.88,157,930,+0.08
156,0,01677,Tom Lehman,16.89,89,527,+0.19
157,0,27936,Martin Laird,17.10,199,1164,+0.10
158,0,22046,Geoff Ogilvy,17.14,115,671,+0.09
159,0,20663,Brenden Pappas,17.26,130,753,+0.01
160,0,24358,Robert Garrigus,17.32,202,1166,+0.07
161,0,21805,Harrison Frazar,17.38,147,846,+0.07
161,0,08537,J.P. Hayes,17.38,151,869,+0.22
163,0,20104,Ken Duke,17.42,253,1452,+0.13
164,0,23621,Rory Sabbatini,17.47,153,876,+0.14
164,0,23623,Bo Van Pelt,17.47,226,1294,+0.08
166,0,23497,Tag Ridings,17.50,193,1103,+0.13
167,0,23409,James Driscoll,17.53,182,1038,+0.17
168,0,21350,Ryuji Imada,17.59,165,938,+0.12
169,0,06522,Ernie Els,17.65,87,493,+0.25
170,0,30925,Dustin Johnson,17.72,194,1095,+0.12
171,0,25720,Chad Collins,17.94,155,864,+0.07
172,0,12309,Bob Sowards,18.09,129,713,+0.15
173,0,26631,Cody Freeman,18.10,135,746,+0.13
174,0,30750,Tommy Gainey,18.15,114,628,+0.11
175,0,23778,Brad Adamonis,18.17,189,1040,+0.17
176,0,22378,Trevor Immelman,18.28,136,744,+0.17
177,0,20098,Stuart Appleby,18.31,169,923,+0.07
178,0,06567,Vijay Singh,18.36,161,877,+0.02
179,0,21961,Charles Howell III,18.51,221,1194,+0.04
180,0,22371,Aaron Baddeley,18.56,155,835,+0.10
180,0,25804,Bubba Watson,18.56,204,1099,+0.05
182,0,27095,Nick Watney,18.67,217,1162,+0.02
183,0,24138,Ian Poulter,18.76,94,501,+0.11
184,0,23797,Brett Rumford,18.78,154,820,+0.05
185,0,26300,Matt Jones,18.82,214,1137,+0.18
186,0,25632,Jimmy Walker,18.92,157,830,+0.11
187,0,28475,Jeff Overton,19.30,241,1249,+0.09
188,0,24502,Adam Scott,19.54,94,481,+0.13
189,0,21633,Steve Allan,19.88,130,654,E
190,0,20229,Stewart Cink,20.09,173,861,+0.04
190,0,06573,Brandt Jobe,20.09,130,647,+0.10
192,0,20850,Daniel Chopra,20.13,189,939,+0.01
193,0,01226,Fred Couples,20.83,145,696,+0.08
194,0,24449,Parker McLachlin,20.94,227,1084,+0.04
195,0,25562,Andres Romero,21.04,142,675,+0.11
196,0,25594,Travis Perkins,21.06,115,546,+0.10
197,0,20848,Ángel Cabrera,21.87,117,535,+0.20
