RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,28237,Rory McIlroy,68.81,3303,48
2,0,36689,Brooks Koepka,68.86,2961,43
3,0,37275,Sam Ryder,69.14,2005,29
4,0,35450,Patrick Cantlay,69.34,3051,44
5,0,33448,Justin Thomas,69.37,2844,41
6,0,45526,Abraham Ancer,69.44,2708,39
6,0,51766,Wyndham Clark,69.44,2986,43
8,0,25818,Scott Piercy,69.45,2917,42
8,0,27330,Josh Teater,69.45,2292,33
10,0,29221,Webb Simpson,69.48,2779,40
11,0,47959,Bryson DeChambeau,69.53,2503,36
12,0,35732,Wes Roach,69.54,1947,28
13,0,26476,Chez Reavie,69.61,3411,49
13,0,23621,Rory Sabbatini,69.61,3411,49
15,0,46970,Jon Rahm,69.62,3272,47
16,0,46402,Talor Gooch,69.64,1741,25
16,0,23325,Vaughn Taylor,69.64,3134,45
18,0,40009,Dominic Bozzelli,69.65,2368,34
19,0,48081,Xander Schauffele,69.67,3135,45
20,0,22405,Justin Rose,69.68,2787,40
21,0,23108,Matt Kuchar,69.69,3136,45
22,0,30944,Jason Kokrak,69.70,3067,44
23,0,34098,Russell Henley,69.74,2371,34
24,0,32333,Kevin Tway,69.78,2582,37
25,0,39997,Corey Conners,69.80,2862,41
26,0,28775,Nate Lashley,69.83,2514,36
27,0,25900,Lucas Glover,69.85,3283,47
28,0,30911,Tommy Fleetwood,69.86,2515,36
29,0,32839,Hideki Matsuyama,69.87,3144,45
30,0,47993,Denny McCarthy,69.88,2795,40
31,0,24502,Adam Scott,69.89,2656,38
32,0,26951,Johnson Wagner,69.93,2028,29
33,0,33410,Andrew Landry,69.97,2309,33
33,0,35891,Cameron Smith,69.97,2169,31
35,0,34466,Peter Malnati,70.00,2940,42
35,0,26596,Ryan Moore,70.00,2590,37
35,0,25493,Nick Taylor,70.00,3150,45
35,0,31323,Gary Woodland,70.00,3150,45
