RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,30911,Tommy Fleetwood,22.71,47,207
2,0,25240,D.A. Points,21.24,41,193
3,0,28237,Rory McIlroy,20.12,33,164
4,0,26851,Marc Leishman,20.00,53,265
5,0,25572,Graeme McDowell,19.79,38,192
6,0,39954,Cody Gribble,19.72,42,213
7,0,34466,Peter Malnati,19.64,54,275
8,0,31416,Derek Fathauer,19.25,51,265
9,0,01810,Phil Mickelson,18.78,46,245
10,0,19846,Brian Gay,18.77,61,325
11,0,29479,Scott Brown,18.71,64,342
12,0,32102,Rickie Fowler,18.63,49,263
13,0,24846,Ricky Barnes,18.62,35,188
14,0,47959,Bryson DeChambeau,18.60,56,301
15,0,24024,Zach Johnson,18.37,54,294
16,0,32448,James Hahn,18.34,53,289
17,0,29484,Peter Uihlein,18.26,44,241
18,0,35891,Cameron Smith,18.22,39,214
19,0,26476,Chez Reavie,18.18,42,231
20,0,26331,Charl Schwartzel,18.07,30,166
21,0,35544,Andrew Yun,18.05,24,133
22,0,30925,Dustin Johnson,18.04,35,194
23,0,35879,Kelly Kraft,18.00,54,300
24,0,27936,Martin Laird,17.95,49,273
24,0,22405,Justin Rose,17.95,35,195
26,0,27649,Brandt Snedeker,17.86,50,280
27,0,27095,Nick Watney,17.85,58,325
28,0,27963,Chris Stroud,17.84,38,213
29,0,40058,Zac Blair,17.79,29,163
29,0,31646,Emiliano Grillo,17.79,53,298
31,0,46501,Ollie Schniederjans,17.72,56,316
32,0,25396,Kevin Na,17.71,48,271
33,0,30110,Kyle Stanley,17.67,47,266
34,0,35450,Patrick Cantlay,17.62,37,210
35,0,31560,Brian Stuard,17.60,60,341
36,0,20593,Greg Chalmers,17.50,28,160
36,0,29478,Kevin Kisner,17.50,42,240
38,0,27958,Ryan Blaum,17.42,50,287
39,0,34174,John Huh,17.27,62,359
40,0,34021,Bud Cauley,17.22,26,151
40,0,36689,Brooks Koepka,17.22,31,180
40,0,29461,Jamie Lovemark,17.22,52,302
43,0,49964,Aaron Wise,17.20,48,279
44,0,29725,Tony Finau,17.15,47,274
45,0,34213,Grayson Murray,17.09,34,199
46,0,37454,Whee Kim,17.08,55,322
47,0,20229,Stewart Cink,17.06,43,252
48,0,19803,Ryan Armour,17.03,62,364
49,0,27556,Ted Potter Jr.,16.97,46,271
50,0,39327,Ben Silverman,16.96,49,289
51,0,32839,Hideki Matsuyama,16.88,39,231
52,0,34360,Patrick Reed,16.81,39,232
53,0,37275,Sam Ryder,16.79,46,274
54,0,12716,Charley Hoffman,16.67,46,276
55,0,27644,Brian Harman,16.60,41,247
