RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
135,0,50525,Collin Morikawa,-73,4.59,890
135,0,29289,S.Y. Noh,-73,4.68,1145
140,0,46435,Austin Cook,-72,4.69,1170
140,0,33667,Carlos Ortiz,-72,4.65,1040
140,0,27770,Camilo Villegas,-72,4.68,1140
143,0,31420,Anirban Lahiri,-71,4.69,1140
143,0,22056,Cameron Percy,-71,4.52,740
143,0,29221,Webb Simpson,-71,4.59,860
143,0,45540,Jared Wolfe,-71,4.64,980
147,0,45526,Abraham Ancer,-70,4.62,930
147,0,30911,Tommy Fleetwood,-70,4.59,860
147,0,21961,Charles Howell III,-70,4.60,870
147,0,48117,Kurt Kitayama,-70,4.68,1110
147,0,51950,Max McGreevy,-70,4.70,1160
147,0,34360,Patrick Reed,-70,4.69,1120
147,0,23621,Rory Sabbatini,-70,4.57,820
154,0,24980,Scott Gutschewski,-69,4.64,970
155,0,47988,Nick Hardy,-68,4.64,940
155,0,33490,Bo Hoag,-68,4.58,800
155,0,32816,Satoshi Kodaira,-68,4.57,785
155,0,10381,Curtis Thompson,-68,4.69,1090
155,0,40006,Erik van Rooyen,-68,4.55,760
160,0,35506,Mackenzie Hughes,-67,4.73,1240
161,0,24925,Jonathan Byrd,-64,4.66,950
161,0,20229,Stewart Cink,-64,4.72,1130
161,0,36884,Ben Kohles,-64,4.69,1040
161,0,27649,Brandt Snedeker,-64,4.67,960
165,0,23320,Ryan Palmer,-63,4.69,1020
166,0,32366,Kevin Chappell,-62,4.66,920
166,0,27095,Nick Watney,-62,4.75,1230
166,0,32139,Danny Willett,-62,4.69,990
169,0,31560,Brian Stuard,-61,4.79,1440
169,0,47128,Richy Werenski,-61,4.71,1050
171,0,48887,Matt Wallace,-60,4.66,890
172,0,24024,Zach Johnson,-59,4.70,970
172,0,23325,Vaughn Taylor,-59,4.65,850
174,0,36689,Brooks Koepka,-57,4.60,710
175,0,39058,Lucas Herbert,-56,4.66,830
176,0,25686,Jason Dufner,-55,4.66,820
177,0,36852,Jim Knous,-54,4.68,850
178,0,29974,Branden Grace,-53,4.69,850
179,0,22405,Justin Rose,-52,4.69,830
180,0,35110,Brett Drewitt,-51,4.73,930
181,0,30978,Kiradech Aphibarnrat,-50,4.72,890
182,0,25198,Francesco Molinari,-49,4.71,855
182,0,39953,Chase Seiffert,-49,4.70,810
184,0,48084,Wesley Bryan,-47,4.71,810
184,0,31557,Jim Herman,-47,4.72,830
186,0,28114,Dawie van der Walt,-45,4.78,1040
187,0,23983,Luke Donald,-44,4.79,1030
188,0,54421,Garrick Higgo,-42,4.76,880
189,0,24138,Ian Poulter,-37,4.73,680
190,0,27895,Jonas Blixt,-35,4.78,810
191,0,56278,Matthew Wolff,-33,4.78,760
192,0,39436,Joshua Creel,-30,4.81,770
193,0,19803,Ryan Armour,-24,4.85,780
