RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,08793,Tiger Woods,69.05,58,84
2,0,22293,Heath Slocum,65.31,128,196
3,0,23623,Bo Van Pelt,64.86,144,222
4,0,06527,Steve Stricker,64.79,92,142
5,0,01313,Steve Elkington,63.68,128,201
5,0,12602,Dean Wilson,63.68,135,212
7,0,10809,Jim Furyk,63.50,87,137
8,0,23718,Nathan Green,63.25,148,234
9,0,22348,Nick O'Hern,63.23,98,155
10,0,20127,Chris Riley,62.69,84,134
11,0,27060,John Mallinger,62.60,164,262
12,0,22913,John Rollins,62.23,145,233
13,0,23621,Rory Sabbatini,62.09,113,182
14,0,01941,Tom Pernice Jr.,62.01,142,229
15,0,01810,Phil Mickelson,61.84,94,152
16,0,01945,Kenny Perry,61.76,105,170
17,0,07363,Craig Bowden,61.54,112,182
18,0,10860,Justin Leonard,60.77,127,209
19,0,06595,Kevin Sutherland,60.63,97,160
20,0,25396,Kevin Na,60.62,137,226
21,0,20104,Ken Duke,60.53,161,266
22,0,01142,Bart Bryant,60.24,100,166
23,0,22371,Aaron Baddeley,60.21,115,191
24,0,06643,Paul Goydos,60.13,92,153
25,0,20623,Gavin Coles,60.00,135,225
25,0,23108,Matt Kuchar,60.00,111,185
25,0,20628,Arron Oberholser,60.00,96,160
25,0,27649,Brandt Snedeker,60.00,129,215
29,0,24138,Ian Poulter,59.69,77,129
30,0,06515,Shaun Micheel,59.68,111,186
31,0,20766,Padraig Harrington,59.57,84,141
32,0,24024,Zach Johnson,59.06,88,149
33,0,08075,Jerry Kelly,59.04,111,188
34,0,07867,Woody Austin,58.85,113,192
35,0,01132,Mark Brooks,58.82,60,102
35,0,20382,Stephen Leaney,58.82,100,170
35,0,22212,Craig Lile,58.82,120,204
38,0,22378,Trevor Immelman,58.65,78,133
39,0,02214,Kirk Triplett,58.64,95,162
40,0,20850,Daniel Chopra,58.53,151,258
41,0,24357,K.J. Choi,58.33,105,180
42,0,02239,Scott Verplank,58.22,85,146
43,0,25345,Carl Pettersson,58.20,142,244
44,0,23325,Vaughn Taylor,58.19,103,177
45,0,27095,Nick Watney,58.15,107,184
46,0,20645,John Senden,57.87,103,178
47,0,08931,Glen Day,57.73,112,194
48,0,08123,Jeff Brehaut,57.72,71,123
49,0,01928,Corey Pavin,57.67,124,215
50,0,21660,Jason Schultz,57.58,95,165
50,0,21878,Mark Wilson,57.58,114,198
52,0,01948,Tim Petrovic,57.54,145,252
53,0,19972,José Coceres,57.45,54,94
54,0,25900,Lucas Glover,57.44,112,195
55,0,01766,Billy Mayfair,57.40,97,169
56,0,11032,Frank Lickliter II,57.33,133,232
57,0,01707,Steve Lowery,57.22,103,180
58,0,24925,Jonathan Byrd,57.14,88,154
58,0,22892,Jason Gore,57.14,108,189
60,0,23135,Tim Clark,57.03,73,128
61,0,21350,Ryuji Imada,57.02,134,235
