RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,23108,Matt Kuchar,67.86,950,14
2,0,24024,Zach Johnson,68.45,753,11
3,0,10809,Jim Furyk,68.59,1166,17
4,0,01941,Tom Pernice Jr.,68.75,550,8
5,0,25364,Paul Casey,68.80,344,5
6,0,23135,Tim Clark,69.00,828,12
7,0,23673,Michael Connell,69.06,1105,16
8,0,06527,Steve Stricker,69.14,968,14
9,0,28158,Steve Marino,69.15,899,13
10,0,21961,Charles Howell III,69.19,1107,16
11,0,01810,Phil Mickelson,69.29,1178,17
12,0,27436,Graham DeLaet,69.33,1040,15
13,0,30925,Dustin Johnson,69.36,763,11
14,0,23983,Luke Donald,69.38,555,8
15,0,23788,D.J. Trahan,69.40,1041,15
16,0,25900,Lucas Glover,69.45,764,11
16,0,20766,Padraig Harrington,69.45,764,11
18,0,06004,Stephen Ames,69.56,626,9
19,0,10860,Justin Leonard,69.64,975,14
20,0,12510,Chad Campbell,69.67,1045,15
21,0,01313,Steve Elkington,69.69,906,13
21,0,26596,Ryan Moore,69.69,906,13
23,0,28089,Jason Day,69.73,767,11
23,0,10423,Mike Weir,69.73,767,11
25,0,21731,Freddie Jacobson,69.75,1116,16
26,0,20593,Greg Chalmers,69.78,1256,18
27,0,21350,Ryuji Imada,69.80,698,10
28,0,29285,Brent Delahoussaye,69.83,838,12
28,0,19846,Brian Gay,69.83,838,12
30,0,06643,Paul Goydos,69.87,1048,15
30,0,22405,Justin Rose,69.87,1048,15
30,0,06567,Vijay Singh,69.87,1048,15
33,0,10885,Robert Allenby,69.88,559,8
34,0,22371,Aaron Baddeley,69.89,1258,18
35,0,28307,Matt Every,69.90,699,10
35,0,27141,J.B. Holmes,69.90,1398,20
37,0,08375,Paul Stankowski,69.93,979,14
38,0,01116,Michael Bradley,70.00,1050,15
38,0,22621,Ben Curtis,70.00,1120,16
38,0,23623,Bo Van Pelt,70.00,1400,20
38,0,23349,Charles Warren,70.00,840,12
38,0,21878,Mark Wilson,70.00,1190,17
43,0,27936,Martin Laird,70.06,1191,17
44,0,24912,Will MacKenzie,70.07,981,14
44,0,22056,Cameron Percy,70.07,981,14
46,0,27770,Camilo Villegas,70.09,771,11
47,0,27466,Spencer Levin,70.10,1472,21
48,0,01161,Mark Calcavecchia,70.11,631,9
48,0,01706,Davis Love III,70.11,1332,19
48,0,06595,Kevin Sutherland,70.11,1262,18
48,0,20436,Garrett Willis,70.11,1262,18
52,0,30946,Alex Prugh,70.12,1192,17
53,0,23320,Ryan Palmer,70.13,1122,16
53,0,25345,Carl Pettersson,70.13,1122,16
53,0,29221,Webb Simpson,70.13,1683,24
53,0,02206,David Toms,70.13,1052,15
57,0,28237,Rory McIlroy,70.17,421,6
57,0,23322,Brett Wetterich,70.17,421,6
59,0,25562,Andres Romero,70.18,1193,17
60,0,20645,John Senden,70.20,702,10
61,0,06522,Ernie Els,70.21,983,14
62,0,25190,Jeff Quinney,70.22,1264,18
63,0,10425,Jay Williamson,70.26,1335,19
64,0,25632,Jimmy Walker,70.28,1265,18
65,0,12716,Charley Hoffman,70.31,1125,16
65,0,24361,Pat Perez,70.31,1125,16
