RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,01553,John Huston,37' 11",72736,160,6061.333,+19.00
2,0,26679,Kevin Stadler,38' 2",116449,254,9704.083,+34.00
3,0,21633,Steve Allan,38' 3",88074,192,7339.500,+15.00
4,0,24140,Sean O'Hair,38' 4",108985,237,9082.083,+30.00
5,0,01313,Steve Elkington,38' 5",97671,212,8139.250,+16.00
6,0,07867,Woody Austin,38' 9",129365,278,10780.417,+36.00
7,0,06643,Paul Goydos,39' 0",92121,197,7676.750,+43.00
8,0,20623,Gavin Coles,39' 1",61420,131,5118.333,+12.00
9,0,24502,Adam Scott,39' 8",72287,152,6023.917,+8.00
10,0,02239,Scott Verplank,39' 9",80542,169,6711.833,+12.00
11,0,26695,Michael Letzig,40' 2",131076,272,10923.000,+32.00
11,0,06567,Vijay Singh,40' 2",129230,268,10769.167,+9.00
13,0,22348,Nick O'Hern,40' 7",87647,180,7303.917,+33.00
14,0,23541,Ben Crane,40' 8",114140,234,9511.667,+13.00
15,0,21961,Charles Howell III,40' 9",171549,351,14295.750,+13.00
15,0,22293,Heath Slocum,40' 9",102191,209,8515.917,+28.00
17,0,06197,Michael Allen,40' 10",113592,232,9466.000,+38.00
18,0,23135,Tim Clark,40' 11",119206,243,9933.833,+29.00
19,0,24227,Justin Bolli,41' 0",109167,222,9097.250,+42.00
19,0,07457,Steve Flesch,41' 0",147553,300,12296.083,+49.00
19,0,22046,Geoff Ogilvy,41' 0",95037,193,7919.750,+29.00
19,0,20645,John Senden,41' 0",118520,241,9876.667,+43.00
23,0,06004,Stephen Ames,41' 1",110485,224,9207.083,+21.00
23,0,20850,Daniel Chopra,41' 1",161773,328,13481.083,+18.00
23,0,21805,Harrison Frazar,41' 1",108430,220,9035.833,+22.00
23,0,26631,Cody Freeman,41' 1",110459,224,9204.917,+36.00
23,0,11032,Frank Lickliter II,41' 1",161729,328,13477.417,+60.00
23,0,22582,Kyle Thompson,41' 1",104020,211,8668.333,+47.00
29,0,19803,Ryan Armour,41' 3",114232,231,9519.333,+57.00
30,0,21949,Joe Ogilvie,41' 4",158259,319,13188.250,+29.00
31,0,23788,D.J. Trahan,41' 6",129941,261,10828.417,+62.00
32,0,20766,Padraig Harrington,41' 7",62911,126,5242.583,+8.00
33,0,20229,Stewart Cink,41' 8",124979,250,10414.917,+24.00
33,0,06573,Brandt Jobe,41' 8",92460,185,7705.000,+28.00
33,0,24024,Zach Johnson,41' 8",94016,188,7834.667,+15.00
33,0,01945,Kenny Perry,41' 8",171947,344,14328.917,+39.00
37,0,01035,Tommy Armour III,41' 9",112625,225,9385.417,+44.00
37,0,20472,Alex Cejka,41' 9",98768,197,8230.667,+37.00
39,0,06575,Dudley Hart,41' 10",120453,240,10037.750,+46.00
40,0,21959,Ted Purdy,41' 11",107711,214,8975.917,+38.00
40,0,25562,Andres Romero,41' 11",118757,236,9896.417,+41.00
40,0,12309,Bob Sowards,41' 11",95553,190,7962.750,+40.00
43,0,01320,Bob Estes,42' 0",144556,287,12046.333,+23.00
43,0,26476,Chez Reavie,42' 0",114903,228,9575.250,+36.00
45,0,01161,Mark Calcavecchia,42' 1",88870,176,7405.833,+7.00
45,0,06251,Chris DiMarco,42' 1",145957,289,12163.083,+43.00
45,0,12716,Charley Hoffman,42' 1",154885,307,12907.083,+41.00
45,0,25345,Carl Pettersson,42' 1",178103,353,14841.917,+16.00
45,0,22913,John Rollins,42' 1",124621,247,10385.083,+27.00
50,0,22621,Ben Curtis,42' 2",89610,177,7467.500,+21.00
50,0,06621,Joe Durant,42' 2",109401,216,9116.750,+35.00
52,0,10860,Justin Leonard,42' 3",112030,221,9335.833,+28.00
52,0,28158,Steve Marino,42' 3",179033,353,14919.417,+39.00
52,0,25842,Jon Mills,42' 3",143374,283,11947.833,+33.00
52,0,20663,Brenden Pappas,42' 3",109022,215,9085.167,+24.00
52,0,25190,Jeff Quinney,42' 3",121159,239,10096.583,+50.00
52,0,06595,Kevin Sutherland,42' 3",162815,321,13567.917,+40.00
52,0,24663,Y.E. Yang,42' 3",138402,273,11533.500,+58.00
59,0,24924,Bill Haas,42' 4",180449,355,15037.417,+25.00
59,0,23797,Brett Rumford,42' 4",120360,237,10030.000,+27.00
61,0,20498,Briny Baird,42' 5",159919,314,13326.583,+34.00
61,0,23157,Richard Johnson,42' 5",154865,304,12905.417,+42.00
63,0,23108,Matt Kuchar,42' 6",119327,234,9943.917,+37.00
