RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,27929,Shiv Kapur,297,Reno-Tahoe Open,2,9 - Par 5 -
2,0,26951,Johnson Wagner,257,Viking Classic,1,7 - Par 5 -
3,0,25892,Steve Wheatcroft,243,St. Jude,2,3 - Par 5 -
4,0,10885,Robert Allenby,232,WGC-CA Champ,2,13 - Par 3
5,0,29221,Webb Simpson,232,J. Timberlake,1,8 - Par 3 -
6,0,06567,Vijay Singh,229,Deutsche Bank,3,2 - Par 5 -
7,0,01797,Rocco Mediate,219,John Deere Clas,3,7 - Par 3 -
8,0,27120,Troy Matteson,213,Frys.com Open,1,5 - Par 4 -
9,0,24140,Sean O'Hair,212,BMW Champ,3,2 - Par 3 -
10,0,08931,Glen Day,212,Canadian Open,4,8 - Par 3 -
11,0,27936,Martin Laird,211,THE PLAYERS,2,5 - Par 4 -
12,0,25686,Jason Dufner,210,Deutsche Bank,3,14 - Par 4
13,0,25562,Andres Romero,208,Deutsche Bank,2,8 - Par 3 -
15,0,12714,Chris Tidland,204,J. Timberlake,4,17 - Par 3
16,0,23800,Bryce Molder,203,Phoenix Open,4,11 - Par 4
17,0,01706,Davis Love III,202,Heritage,3,4 - Par 3 -
19,0,25900,Lucas Glover,199,Shell Houston,2,16 - Par 3
20,0,21959,Ted Purdy,198,Zurich Classic,4,14 - Par 3
21,0,25720,Chad Collins,198,Crowne Plaza,2,1 - Par 5 -
22,0,06643,Paul Goydos,195,Crowne Plaza,3,13 - Par 3
23,0,20472,Alex Cejka,194,St. Jude,1,7 - Par 4 -
24,0,08075,Jerry Kelly,193,Heritage,1,4 - Par 3 -
26,0,20104,Ken Duke,191,HP Byron Nelson,2,2 - Par 3 -
27,0,24490,George McNeill,189,Northern Trust,3,12 - Par 4
28,0,27095,Nick Watney,188,Quail Hollow,1,12 - Par 4
29,0,06621,Joe Durant,180,HP Byron Nelson,1,8 - Par 4 -
30,0,26476,Chez Reavie,180,Shell Houston,2,6 - Par 4 -
32,0,02245,Grant Waite,178,Texas Open,2,15 - Par 4
33,0,27141,J.B. Holmes,178,AT&T Pebble,1,8 - Par 4 -
34,0,01945,Kenny Perry,177,WGC-Bridgestone,4,6 - Par 4 -
35,0,29910,Blake Adams,176,Heritage,2,3 - Par 4 -
36,0,10860,Justin Leonard,175,Transitions Chp,2,13 - Par 3
37,0,06522,Ernie Els,174,Deutsche Bank,1,17 - Par 4
38,0,01766,Billy Mayfair,170,St. Jude,1,8 - Par 3 -
39,0,24912,Will MacKenzie,170,St. Jude,1,8 - Par 3 -
40,0,21528,Henrik Stenson,170,Crowne Plaza,3,18 - Par 4
41,0,25345,Carl Pettersson,168,Honda Classic,2,8 - Par 4 -
43,0,01707,Steve Lowery,167,Heritage,4,18 - Par 4
44,0,12510,Chad Campbell,167,Travelers Champ,1,16 - Par 3
45,0,20160,Charlie Wi,166,AT&T National,2,12 - Par 4
46,0,24502,Adam Scott,166,WGC-Bridgestone,4,4 - Par 4 -
47,0,34448,Brendan Gielow,165,Wyndham Champ.,1,3 - Par 3 -
48,0,23325,Vaughn Taylor,164,The Barclays,4,9 - Par 4 -
49,0,20645,John Senden,164,Memorial Tourn,4,8 - Par 3 -
51,0,06197,Michael Allen,161,Frys.com Open,2,8 - Par 4 -
53,0,23541,Ben Crane,161,Crowne Plaza,2,13 - Par 3
55,0,23718,Nathan Green,159,AT&T National,1,5 - Par 3 -
56,0,12755,Vance Veazey,158,The McGladrey,1,9 - Par 4 -
58,0,21753,Brian Davis,156,BMW Champ,4,7 - Par 4 -
59,0,26420,Richard Johnson,155,St. Jude,2,15 - Par 4
60,0,20127,Chris Riley,155,Travelers Champ,4,14 - Par 4
61,0,30925,Dustin Johnson,152,Northern Trust,2,6 - Par 3 -
62,0,21350,Ryuji Imada,151,THE PLAYERS,1,10 - Par 4
63,0,27330,Josh Teater,151,John Deere Clas,1,15 - Par 4
64,0,19846,Brian Gay,151,HP Byron Nelson,3,10 - Par 4
65,0,07457,Steve Flesch,150,Texas Open,3,6 - Par 4 -
66,0,23814,Edoardo Molinari,149,WGC-CA Champ,1,17 - Par 4
68,0,07867,Woody Austin,145,Shell Houston,2,7 - Par 3 -
69,0,01157,Tom Byrum,144,Texas Open,1,11 - Par 4
71,0,10423,Mike Weir,144,Heritage,1,1 - Par 4 -
73,0,12705,Cliff Kresge,143,The McGladrey,1,5 - Par 4 -
74,0,10585,Scott McCarron,142,AT&T National,1,2 - Par 4 -
75,0,22378,Trevor Immelman,138,Canadian Open,3,15 - Par 5
77,0,23135,Tim Clark,137,Deutsche Bank,3,10 - Par 4
80,0,28475,Jeff Overton,136,Northern Trust,2,9 - Par 4 -
81,0,20121,Todd Fischer,136,Reno-Tahoe Open,1,5 - Par 4 -
82,0,01161,Mark Calcavecchia,135,Honda Classic,2,8 - Par 4 -
83,0,27649,Brandt Snedeker,135,Travelers Champ,1,12 - Par 4
85,0,01810,Phil Mickelson,134,Arnold Palmer,2,8 - Par 4 -
86,0,20498,Briny Baird,134,Viking Classic,2,3 - Par 4 -
87,0,24227,Justin Bolli,131,Disney,1,1 - Par 4 -
89,0,20572,Rod Pampling,130,Northern Trust,1,7 - Par 4 -
91,0,10425,Jay Williamson,129,Disney,1,16 - Par 4
92,0,20229,Stewart Cink,129,Arnold Palmer,1,3 - Par 4 -
93,0,32495,Rob Grube,128,Canadian Open,1,14 - Par 4
94,0,06251,Chris DiMarco,127,AT&T Pebble,3,11 - Par 4
95,0,06595,Kevin Sutherland,124,Zurich Classic,1,8 - Par 4 -
97,0,30852,Ryo Ishikawa,120,Northern Trust,2,17 - Par 5
98,0,01116,Michael Bradley,119,The Greenbrier,2,1 - Par 4 -
102,0,20213,Katsumasa Miyamoto,116,WGC-Bridgestone,3,17 - Par 4
103,0,12782,Tim Herron,116,AT&T National,1,10 - Par 4
109,0,25493,Nick Taylor,113,Canadian Open,1,1 - Par 4 -
110,0,25240,D.A. Points,113,Turning Stone,2,8 - Par 5 -
112,0,20686,Jeev Milkha Singh,113,Frys.com Open,4,15 - Par 5
113,0,24357,K.J. Choi,111,Crowne Plaza,3,6 - Par 4 -
115,0,06004,Stephen Ames,110,Canadian Open,2,15 - Par 5
116,0,24663,Y.E. Yang,110,Phoenix Open,4,10 - Par 4
118,0,08725,Tom Gillis,109,AT&T Pebble,2,11 - Par 4
119,0,23613,Rich Barcelo,108,AT&T Pebble,3,2 - Par 5 -
120,0,24846,Ricky Barnes,108,Memorial Tourn,3,11 - Par 5
122,0,01724,Jeff Maggert,107,AT&T Pebble,4,16 - Par 4
126,0,01473,Todd Hamilton,103,Canadian Open,1,15 - Par 5
128,0,26695,Michael Letzig,102,Phoenix Open,1,1 - Par 4 -
130,0,26851,Marc Leishman,100,Heritage,1,15 - Par 5
131,0,32102,Rickie Fowler,100,Phoenix Open,2,2 - Par 4 -
132,0,27447,John Ellis,99,Frys.com Open,1,9 - Par 5 -
134,0,12663,Phil Tataurangi,97,Texas Open,1,5 - Par 4 -
135,0,22122,Andrew McLardy,96,Frys.com Open,2,12 - Par 5
136,0,23322,Brett Wetterich,95,Memorial Tourn,3,15 - Par 5
138,0,21209,Sergio Garcia,95,Transitions Chp,4,5 - Par 5 -
142,0,26881,Jarrod Lyle,92,Zurich Classic,2,10 - Par 4
143,0,02214,Kirk Triplett,92,Texas Open,2,11 - Par 4
144,0,20593,Greg Chalmers,92,John Deere Clas,4,10 - Par 5
146,0,26300,Matt Jones,89,John Deere Clas,1,10 - Par 5
150,0,22946,Henrik Bjornstad,87,Sony Open,2,9 - Par 5 -
151,0,22056,Cameron Percy,85,Zurich Classic,1,2 - Par 5 -
153,0,01577,Lee Janzen,85,Zurich Classic,4,13 - Par 4
155,0,27214,Kevin Streelman,82,Canadian Open,1,15 - Par 5
156,0,22405,Justin Rose,81,The Barclays,2,17 - Par 5
157,0,22913,John Rollins,81,Arnold Palmer,1,10 - Par 4
159,0,01619,Skip Kendall,79,Travelers Champ,1,4 - Par 4 -
160,0,26289,Boo Weekley,78,Memorial Tourn,2,5 - Par 5 -
161,0,22621,Ben Curtis,77,Honda Classic,2,4 - Par 4 -
163,0,23673,Michael Connell,76,Disney,4,8 - Par 5 -
165,0,23409,James Driscoll,74,Canadian Open,1,9 - Par 5 -
167,0,26497,Casey Wittenberg,70,St. Jude,3,3 - Par 5 -
170,0,10809,Jim Furyk,64,WGC-Bridgestone,4,2 - Par 5 -
172,0,22371,Aaron Baddeley,63,Wyndham Champ.,1,8 - Par 4 -
174,0,31560,Brian Stuard,57,Sony Open,3,15 - Par 4
177,0,21961,Charles Howell III,53,J. Timberlake,1,13 - Par 5
180,0,07749,Brett Quigley,51,The McGladrey,4,7 - Par 5 -
181,0,25818,Scott Piercy,50,Quail Hollow,2,8 - Par 4 -
182,0,34097,Tyson Shinaut,49,Zurich Classic,1,13 - Par 4
183,0,26301,James Nitties,48,The Greenbrier,1,10 - Par 4
185,0,01249,John Daly,46,Transitions Chp,4,14 - Par 5
186,0,23048,Eric Axley,45,Texas Open,2,14 - Par 5
193,0,08375,Paul Stankowski,41,Wyndham Champ.,2,14 - Par 4
194,0,08537,J.P. Hayes,41,Transitions Chp,1,1 - Par 5 -
195,0,27797,Derek Lamely,41,Wyndham Champ.,2,15 - Par 5
196,0,28158,Steve Marino,41,WGC-CA Champ,1,10 - Par 5
197,0,01978,Fran Quinn,41,Zurich Classic,4,8 - Par 4 -
198,0,24358,Robert Garrigus,41,AT&T Pebble,4,18 - Par 5
199,0,06515,Shaun Micheel,41,Turning Stone,2,12 - Par 5
202,0,23788,D.J. Trahan,39,Turning Stone,2,12 - Par 5
203,0,20070,Matt Bettencourt,39,Reno-Tahoe Open,2,11 - Par 5
204,0,24449,Parker McLachlin,38,Phoenix Open,4,11 - Par 4
205,0,20766,Padraig Harrington,38,AT&T Pebble,2,6 - Par 5 -
208,0,01941,Tom Pernice Jr.,37,HP Byron Nelson,2,8 - Par 4 -
209,0,27613,David Lutterus,36,Travelers Champ,2,7 - Par 4 -
212,0,28620,Aron Price,35,The Greenbrier,1,12 - Par 5
215,0,32640,Troy Merritt,35,Quail Hollow,2,18 - Par 4
216,0,12823,Carlos Franco,35,Quail Hollow,4,4 - Par 4 -
218,0,27436,Graham DeLaet,34,J. Timberlake,1,13 - Par 5
221,0,28307,Matt Every,33,Farmers Ins.,2,15 - Par 4
222,0,23983,Luke Donald,33,THE TOUR Champ,4,17 - Par 4
224,0,23108,Matt Kuchar,32,WGC-CA Champ,1,10 - Par 5
228,0,23320,Ryan Palmer,31,Texas Open,4,1 - Par 4 -
231,0,21949,Joe Ogilvie,30,Phoenix Open,3,15 - Par 5
234,0,27963,Chris Stroud,30,Viking Classic,2,7 - Par 5 -
235,0,27466,Spencer Levin,30,Disney,2,1 - Par 4 -
243,0,22293,Heath Slocum,29,The McGladrey,3,14 - Par 4
248,0,09011,David Duval,29,Turning Stone,1,15 - Par 4
249,0,01457,Jay Haas,29,THE PLAYERS,2,1 - Par 4 -
251,0,12652,Cameron Beckman,29,Sony Open,1,5 - Par 4 -
255,0,26882,Michael Sim,28,Deutsche Bank,4,2 - Par 5 -
256,0,30946,Alex Prugh,28,Farmers Ins.,4,12 - Par 4
257,0,01948,Tim Petrovic,28,Deutsche Bank,4,17 - Par 4
264,0,28089,Jason Day,27,Quail Hollow,3,10 - Par 5
265,0,06527,Steve Stricker,27,WGC-CA Champ,4,1 - Par 5 -
