RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,55789,Taylor Montgomery,50.88%,174,342
2,0,35506,Mackenzie Hughes,45.51%,213,468
3,0,28089,Jason Day,45.03%,154,342
4,0,51977,Max Greyserman,44.69%,185,414
5,0,47504,Sam Burns,44.44%,160,360
6,0,35532,Tom Hoge,44.25%,223,504
7,0,48081,Xander Schauffele,43.89%,158,360
8,0,40098,Matt Fitzpatrick,43.61%,157,360
9,0,60004,Jacob Bridgeman,43.52%,188,432
10,0,35461,Beau Hossler,43.33%,195,450
11,0,50525,Collin Morikawa,43.12%,163,378
12,0,51766,Wyndham Clark,43.06%,155,360
12,0,46717,Viktor Hovland,43.06%,124,288
14,0,33408,Tyson Alexander,42.95%,201,468
15,0,57900,Chandler Phillips,42.89%,193,450
16,0,46442,Maverick McNealy,42.74%,200,468
17,0,29221,Webb Simpson,42.71%,123,288
18,0,27349,Alex Noren,42.69%,146,342
19,0,45157,Cam Davis,42.68%,169,396
20,0,54783,Dylan Wu,42.67%,192,450
21,0,35450,Patrick Cantlay,42.48%,130,306
22,0,50188,S.H. Kim,42.47%,237,558
23,0,39977,Max Homa,42.42%,168,396
23,0,33486,Roger Sloan,42.42%,168,396
25,0,33448,Justin Thomas,42.40%,145,342
26,0,59866,Nick Dunlap,42.33%,160,378
27,0,33948,Byeong Hun An,42.06%,159,378
27,0,57366,Cameron Young,42.06%,159,378
29,0,40250,Taylor Pendrith,41.92%,166,396
30,0,30927,Brendon Todd,41.87%,211,504
31,0,29420,Billy Horschel,41.80%,158,378
32,0,36801,Mark Hubbard,41.77%,203,486
33,0,34099,Harris English,41.67%,195,468
33,0,55182,Tom Kim,41.67%,165,396
33,0,33204,Shane Lowry,41.67%,135,324
33,0,32333,Kevin Tway,41.67%,135,324
37,0,33653,Thomas Detry,41.52%,142,342
38,0,47591,Eric Cole,41.49%,239,576
39,0,28237,Rory McIlroy,41.36%,134,324
40,0,27644,Brian Harman,41.30%,171,414
41,0,52666,Sami Valimaki,41.27%,156,378
42,0,34046,Jordan Spieth,41.16%,163,396
43,0,39971,Sungjae Im,41.11%,185,450
43,0,23320,Ryan Palmer,41.11%,111,270
43,0,35617,Martin Trainer,41.11%,148,360
46,0,51349,Nico Echavarria,41.07%,207,504
47,0,29936,Ryan Fox,41.06%,170,414
47,0,57975,Harry Hall,41.06%,170,414
49,0,32791,K.H. Lee,40.95%,199,486
50,0,25493,Nick Taylor,40.67%,183,450
51,0,32367,Jorge Campillo,40.63%,117,288
52,0,52955,Ludvig Ãberg,40.56%,146,360
53,0,47993,Denny McCarthy,40.51%,175,432
54,0,49947,Taylor Moore,40.48%,204,504
55,0,39546,Keith Mitchell,40.44%,182,450
56,0,33968,ThorbjÃ¸rn Olesen,40.37%,109,270
57,0,27936,Martin Laird,40.34%,167,414
57,0,27214,Kevin Streelman,40.34%,167,414
59,0,47983,Chad Ramey,40.33%,196,486
60,0,28775,Nate Lashley,40.22%,181,450
60,0,38991,Alejandro Tosti,40.22%,181,450
62,0,39327,Ben Silverman,40.15%,159,396
63,0,22371,Aaron Baddeley,40.10%,166,414
64,0,34466,Peter Malnati,39.96%,187,468
65,0,34374,Erik Barnes,39.95%,151,378
66,0,52514,Trace Crowe,39.90%,158,396
67,0,32839,Hideki Matsuyama,39.72%,143,360
68,0,12716,Charley Hoffman,39.68%,150,378
68,0,47806,Raul Pereda,39.68%,150,378
70,0,59095,Chris Gotterup,39.58%,171,432
70,0,24024,Zach Johnson,39.58%,114,288
70,0,23108,Matt Kuchar,39.58%,171,432
70,0,49771,J.T. Poston,39.58%,171,432
74,0,48084,Wesley Bryan,39.54%,121,306
75,0,59442,Parker Coody,39.47%,135,342
75,0,30911,Tommy Fleetwood,39.47%,135,342
77,0,36699,Patrick Rodgers,39.46%,206,522
78,0,49960,Sepp Straka,39.37%,163,414
79,0,59836,Pierceson Coody,39.33%,177,450
80,0,52215,Robert MacIntyre,39.13%,162,414
81,0,40026,Daniel Berger,39.12%,169,432
82,0,51696,Rico Hoey,39.11%,176,450
83,0,32640,Troy Merritt,39.10%,183,468
84,0,45522,Christiaan Bezuidenhout,38.89%,154,396
84,0,57362,Austin Eckroat,38.89%,175,450
84,0,32102,Rickie Fowler,38.89%,154,396
84,0,34098,Russell Henley,38.89%,133,342
84,0,30926,Chris Kirk,38.89%,154,396
84,0,46441,Robby Shelton,38.89%,168,432
84,0,48119,Ben Taylor,38.89%,175,450
91,0,27139,David Skinns,38.68%,181,468
92,0,37455,Si Woo Kim,38.66%,167,432
93,0,60067,Joe Highsmith,38.65%,160,414
94,0,22405,Justin Rose,38.60%,132,342
95,0,48153,Matthieu Pavon,38.58%,125,324
96,0,34255,Joseph Bramlett,38.46%,180,468
96,0,27129,Luke List,38.46%,180,468
98,0,56630,Akshay Bhatia,38.44%,173,450
99,0,47995,Davis Riley,38.43%,166,432
100,0,32070,Rafael Campos,38.41%,159,414
101,0,39997,Corey Conners,38.38%,152,396
102,0,40162,Justin Lower,38.31%,200,522
103,0,52374,Brandon Wu,38.27%,186,486
104,0,50493,Justin Suh,38.25%,179,468
105,0,36326,David Lipsky,38.22%,172,450
106,0,29478,Kevin Kisner,38.10%,144,378
107,0,37275,Sam Ryder,38.03%,178,468
108,0,48887,Matt Wallace,38.01%,130,342
109,0,50497,Adrien Dumont de Chassart,38.00%,171,450
109,0,55454,Carl Yuan,38.00%,171,450
111,0,36799,Stephan Jaeger,37.96%,164,432
112,0,46414,Aaron Rai,37.92%,157,414
112,0,50484,Hayden Springer,37.92%,157,414
112,0,40006,Erik van Rooyen,37.92%,157,414
115,0,56149,Wilson Furr,37.88%,150,396
115,0,46113,Ryan McCormick,37.88%,150,396
115,0,59143,Mac Meissner,37.88%,150,396
118,0,55893,Sam Stevens,37.86%,184,486
119,0,47420,Jake Knapp,37.83%,143,378
119,0,27064,Jhonattan Vegas,37.83%,143,378
121,0,40058,Zac Blair,37.82%,177,468
121,0,54421,Garrick Higgo,37.82%,177,468
123,0,51634,Sahith Theegala,37.78%,170,450
124,0,51997,Andrew Novak,37.73%,163,432
125,0,33141,Keegan Bradley,37.63%,149,396
126,0,48867,Matti Schmid,37.56%,169,450
127,0,27770,Camilo Villegas,37.50%,162,432
128,0,25900,Lucas Glover,37.45%,182,486
129,0,46046,Scottie Scheffler,37.35%,121,324
130,0,34587,Chan Kim,37.27%,161,432
131,0,34076,Joel Dahmen,37.24%,181,486
132,0,54591,Ben Griffin,37.21%,221,594
133,0,31646,Emiliano Grillo,37.20%,154,414
133,0,27649,Brandt Snedeker,37.20%,154,414
135,0,40115,Adam Svensson,37.10%,207,558
136,0,39975,Michael Kim,37.04%,180,486
137,0,55708,Hayden Buckley,36.97%,173,468
138,0,51894,Vince Whaley,36.87%,146,396
139,0,24502,Adam Scott,36.84%,126,342
140,0,26596,Ryan Moore,36.81%,159,432
141,0,29725,Tony Finau,36.77%,139,378
142,0,54628,Lee Hodges,36.71%,185,504
143,0,45242,Kevin Yu,36.57%,158,432
144,0,30163,Henrik Norlander,36.55%,125,342
145,0,48699,Callum Tarren,36.54%,171,468
146,0,47347,Adam Schenk,36.48%,197,540
147,0,33399,Adam Hadwin,36.34%,157,432
148,0,32757,Patton Kizzire,36.24%,137,378
149,0,47663,Kevin Dougherty,36.23%,150,414
149,0,34563,Chesson Hadley,36.23%,150,414
151,0,58168,Davis Thompson,36.22%,163,450
152,0,52513,Carson Young,36.21%,176,486
153,0,28252,Seamus Power,36.11%,182,504
154,0,31323,Gary Woodland,36.00%,162,450
155,0,34021,Bud Cauley,35.62%,109,306
156,0,46340,Alex Smalley,35.60%,173,486
157,0,47679,Victor Perez,35.45%,134,378
158,0,37212,Paul Barjon,35.42%,153,432
158,0,45609,Tyler Duncan,35.42%,153,432
158,0,34256,Andrew Putnam,35.42%,153,432
161,0,48117,Kurt Kitayama,35.35%,140,396
162,0,60767,Blaine Hale Jr.,35.19%,133,378
163,0,27330,Josh Teater,35.10%,139,396
164,0,47988,Nick Hardy,34.98%,170,486
165,0,32366,Kevin Chappell,34.97%,107,306
166,0,50095,Austin Smotherman,34.81%,94,270
167,0,52372,Cameron Champ,34.78%,144,414
168,0,52375,Doug Ghim,34.77%,169,486
169,0,52453,Nicolai HÃ¸jgaard,34.64%,106,306
170,0,47483,Will Zalatoris,34.17%,123,360
171,0,36884,Ben Kohles,34.16%,166,486
172,0,29908,C.T. Pan,34.13%,129,378
173,0,48319,Tom Whitney,34.03%,147,432
174,0,54576,Patrick Fishburn,33.82%,140,414
175,0,28420,Ryan Brehm,33.78%,152,450
176,0,26476,Chez Reavie,33.33%,150,450
176,0,39324,J.J. Spaun,33.33%,156,468
178,0,51287,Ryo Hisatsune,33.12%,155,468
179,0,37378,Min Woo Lee,32.72%,106,324
180,0,29535,Brice Garnett,32.64%,94,288
181,0,35310,Lanto Griffin,32.50%,117,360
182,0,36871,Matt NeSmith,32.26%,151,468
183,0,51890,Greyson Sigg,31.62%,148,468
184,0,51070,Vincent Norrman,27.47%,89,324
