RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,59866,Nick Dunlap,50.00%,117,234
2,0,47806,Raul Pereda,48.15%,26,54
3,0,47993,Denny McCarthy,48.06%,173,360
4,0,47504,Sam Burns,48.04%,147,306
5,0,27330,Josh Teater,47.22%,34,72
5,0,55454,Carl Yuan,47.22%,68,144
7,0,56630,Akshay Bhatia,46.91%,152,324
8,0,51766,Wyndham Clark,46.83%,118,252
8,0,30163,Henrik Norlander,46.83%,118,252
10,0,22405,Justin Rose,46.76%,101,216
11,0,34098,Russell Henley,46.30%,150,324
12,0,40250,Taylor Pendrith,46.18%,133,288
13,0,39971,Sungjae Im,45.91%,157,342
14,0,32757,Patton Kizzire,45.56%,82,180
15,0,32640,Troy Merritt,45.45%,90,198
16,0,50525,Collin Morikawa,45.32%,155,342
17,0,47591,Eric Cole,45.20%,179,396
18,0,51977,Max Greyserman,45.14%,130,288
19,0,24502,Adam Scott,44.77%,137,306
20,0,48081,Xander Schauffele,44.72%,161,360
21,0,37212,Paul Barjon,44.44%,24,54
21,0,45522,Christiaan Bezuidenhout,44.44%,136,306
21,0,52372,Cameron Champ,44.44%,48,108
21,0,28089,Jason Day,44.44%,128,288
21,0,33653,Thomas Detry,44.44%,120,270
26,0,50188,S.H. Kim,44.19%,175,396
27,0,46046,Scottie Scheffler,44.14%,143,324
28,0,51894,Vince Whaley,44.05%,111,252
29,0,52514,Trace Crowe,43.59%,102,234
30,0,36799,Stephan Jaeger,43.40%,125,288
31,0,60004,Jacob Bridgeman,43.33%,117,270
31,0,57362,Austin Eckroat,43.33%,156,360
31,0,36326,David Lipsky,43.33%,78,180
31,0,35617,Martin Trainer,43.33%,39,90
31,0,48319,Tom Whitney,43.33%,78,180
36,0,55182,Tom Kim,43.21%,140,324
37,0,28237,Rory McIlroy,43.14%,132,306
38,0,34099,Harris English,43.12%,163,378
39,0,29535,Brice Garnett,43.06%,62,144
39,0,51890,Greyson Sigg,43.06%,93,216
39,0,49960,Sepp Straka,43.06%,124,288
