RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,34099,Harris English,30,591,5.1
1,0,40162,Justin Lower,30,571,5.3
1,0,55893,Sam Stevens,30,558,5.4
4,0,49947,Taylor Moore,28,638,4.4
4,0,51634,Sahith Theegala,28,621,4.5
6,0,51696,Rico Hoey,27,457,5.9
6,0,36884,Ben Kohles,27,474,5.7
6,0,47993,Denny McCarthy,27,634,4.3
9,0,51766,Wyndham Clark,26,504,5.2
9,0,51977,Max Greyserman,26,489,5.3
9,0,48153,Matthieu Pavon,26,382,6.8
12,0,29936,Ryan Fox,25,488,5.1
12,0,39975,Michael Kim,25,424,5.9
14,0,54591,Ben Griffin,24,650,3.7
14,0,35532,Tom Hoge,24,702,3.4
14,0,59143,Mac Meissner,24,444,5.4
14,0,28252,Seamus Power,24,637,3.8
18,0,51287,Ryo Hisatsune,23,472,4.9
18,0,35506,Mackenzie Hughes,23,651,3.5
18,0,52513,Carson Young,23,515,4.5
21,0,52955,Ludvig Ãberg,22,486,4.5
21,0,39997,Corey Conners,22,523,4.2
21,0,40098,Matt Fitzpatrick,22,488,4.5
21,0,39971,Sungjae Im,22,602,3.7
21,0,27139,David Skinns,22,457,4.8
21,0,39324,J.J. Spaun,22,494,4.5
21,0,34046,Jordan Spieth,22,458,4.8
28,0,34255,Joseph Bramlett,21,479,4.4
28,0,34076,Joel Dahmen,21,461,4.6
28,0,54628,Lee Hodges,21,570,3.7
28,0,35461,Beau Hossler,21,575,3.7
28,0,33204,Shane Lowry,21,441,4.8
28,0,51997,Andrew Novak,21,535,3.9
28,0,36699,Patrick Rodgers,21,619,3.4
28,0,40006,Erik van Rooyen,21,513,4.1
36,0,51349,Nico Echavarria,20,498,4.0
36,0,27644,Brian Harman,20,595,3.4
36,0,46717,Viktor Hovland,20,397,5.0
36,0,34587,Chan Kim,20,480,4.2
36,0,40250,Taylor Pendrith,20,534,3.7
36,0,25493,Nick Taylor,20,557,3.6
36,0,47483,Will Zalatoris,20,404,5.0
43,0,33408,Tyson Alexander,19,446,4.3
43,0,56630,Akshay Bhatia,19,598,3.2
43,0,33141,Keegan Bradley,19,504,3.8
43,0,35450,Patrick Cantlay,19,432,4.4
43,0,28089,Jason Day,19,479,4.0
43,0,54576,Patrick Fishburn,19,345,5.5
43,0,52375,Doug Ghim,19,496,3.8
43,0,36801,Mark Hubbard,19,617,3.1
43,0,52215,Robert MacIntyre,19,469,4.1
43,0,28237,Rory McIlroy,19,473,4.0
43,0,49771,J.T. Poston,19,574,3.3
43,0,34256,Andrew Putnam,19,530,3.6
43,0,47347,Adam Schenk,19,600,3.2
43,0,48867,Matti Schmid,19,440,4.3
43,0,24502,Adam Scott,19,480,4.0
43,0,31323,Gary Woodland,19,477,4.0
59,0,45522,Christiaan Bezuidenhout,18,578,3.1
59,0,37455,Si Woo Kim,18,595,3.0
59,0,27936,Martin Laird,18,411,4.4
59,0,32640,Troy Merritt,18,410,4.4
59,0,29221,Webb Simpson,18,365,4.9
59,0,30927,Brendon Todd,18,701,2.6
65,0,40058,Zac Blair,17,527,3.2
65,0,59836,Pierceson Coody,17,433,3.9
65,0,33653,Thomas Detry,17,515,3.3
65,0,59866,Nick Dunlap,17,485,3.5
65,0,57362,Austin Eckroat,17,554,3.1
65,0,30911,Tommy Fleetwood,17,460,3.7
65,0,33399,Adam Hadwin,17,523,3.3
65,0,29420,Billy Horschel,17,486,3.5
65,0,36799,Stephan Jaeger,17,536,3.2
65,0,24024,Zach Johnson,17,310,5.5
65,0,50188,S.H. Kim,17,702,2.4
65,0,23108,Matt Kuchar,17,482,3.5
65,0,28775,Nate Lashley,17,419,4.1
65,0,37275,Sam Ryder,17,443,3.8
65,0,48081,Xander Schauffele,17,528,3.2
65,0,46441,Robby Shelton,17,481,3.5
65,0,51890,Greyson Sigg,17,425,4.0
65,0,39327,Ben Silverman,17,496,3.4
65,0,32333,Kevin Tway,17,302,5.6
65,0,48887,Matt Wallace,17,409,4.2
65,0,54783,Dylan Wu,17,510,3.3
86,0,40026,Daniel Berger,16,377,4.2
86,0,47591,Eric Cole,16,771,2.1
86,0,50497,Adrien Dumont de Chassart,16,366,4.4
86,0,31646,Emiliano Grillo,16,542,3.0
86,0,32791,K.H. Lee,16,493,3.2
86,0,36326,David Lipsky,16,386,4.1
86,0,27129,Luke List,16,461,3.5
86,0,32839,Hideki Matsuyama,16,489,3.3
86,0,46414,Aaron Rai,16,516,3.1
86,0,58168,Davis Thompson,16,578,2.8
86,0,57366,Cameron Young,16,541,3.0
97,0,60004,Jacob Bridgeman,15,439,3.4
97,0,29725,Tony Finau,15,490,3.1
97,0,25900,Lucas Glover,15,543,2.8
97,0,34563,Chesson Hadley,15,414,3.6
97,0,29478,Kevin Kisner,15,324,4.6
97,0,27349,Alex Noren,15,431,3.5
97,0,57900,Chandler Phillips,15,591,2.5
97,0,27649,Brandt Snedeker,15,378,4.0
97,0,27214,Kevin Streelman,15,379,4.0
97,0,48699,Callum Tarren,15,373,4.0
97,0,38991,Alejandro Tosti,15,426,3.5
97,0,52666,Sami Valimaki,15,415,3.6
97,0,51894,Vince Whaley,15,399,3.8
97,0,52374,Brandon Wu,15,434,3.5
111,0,52514,Trace Crowe,14,381,3.7
111,0,57975,Harry Hall,14,559,2.5
111,0,47988,Nick Hardy,14,487,2.9
111,0,39977,Max Homa,14,531,2.6
111,0,34466,Peter Malnati,14,505,2.8
111,0,46113,Ryan McCormick,14,338,4.1
111,0,46442,Maverick McNealy,14,591,2.4
111,0,47983,Chad Ramey,14,510,2.7
111,0,47995,Davis Riley,14,512,2.7
111,0,46046,Scottie Scheffler,14,474,3.0
111,0,33486,Roger Sloan,14,397,3.5
111,0,46340,Alex Smalley,14,393,3.6
111,0,50493,Justin Suh,14,422,3.3
111,0,40115,Adam Svensson,14,688,2.0
111,0,45242,Kevin Yu,14,428,3.3
126,0,47663,Kevin Dougherty,13,317,4.1
126,0,32102,Rickie Fowler,13,511,2.5
126,0,34098,Russell Henley,13,511,2.5
126,0,54421,Garrick Higgo,13,418,3.1
126,0,12716,Charley Hoffman,13,435,3.0
126,0,55182,Tom Kim,13,528,2.5
126,0,47420,Jake Knapp,13,501,2.6
126,0,37378,Min Woo Lee,13,394,3.3
126,0,39546,Keith Mitchell,13,524,2.5
126,0,29908,C.T. Pan,13,391,3.3
126,0,47679,Victor Perez,13,404,3.2
126,0,22405,Justin Rose,13,396,3.3
138,0,55708,Hayden Buckley,12,417,2.9
