RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,10809,Jim Furyk,2.11,213,101
2,0,02104,Jeff Sluman,2.13,226,106
3,0,01320,Bob Estes,2.21,230,104
4,0,02214,Kirk Triplett,2.24,184,82
5,0,07457,Steve Flesch,2.27,225,99
6,0,01219,John Cook,2.28,210,92
6,0,09011,David Duval,2.28,189,83
8,0,01381,Fred Funk,2.30,262,114
9,0,01823,Larry Mize,2.32,188,81
10,0,01098,Jay Don Blake,2.33,182,78
11,0,01161,Mark Calcavecchia,2.35,226,96
12,0,01353,Bruce Fleisher,2.36,182,77
13,0,06575,Dudley Hart,2.37,197,83
13,0,02223,Bob Tway,2.37,237,100
15,0,01677,Tom Lehman,2.38,188,79
15,0,01748,Doug Martin,2.38,262,110
15,0,02170,Hal Sutton,2.38,247,104
15,0,02239,Scott Verplank,2.38,228,96
19,0,01334,Keith Fergus,2.40,127,53
19,0,01707,Steve Lowery,2.40,206,86
21,0,01619,Skip Kendall,2.43,253,104
21,0,01761,Len Mattiace,2.43,250,103
23,0,06527,Steve Stricker,2.44,200,82
24,0,01599,Steve Jones,2.46,197,80
24,0,01926,Steve Pate,2.46,209,85
26,0,06012,Greg Kraft,2.47,205,83
26,0,01887,Mark O'Meara,2.47,168,68
26,0,02146,Payne Stewart,2.47,188,76
26,0,02279,Mark Wiebe,2.47,195,79
30,0,01331,Rick Fehr,2.48,154,62
30,0,01510,Nolan Henke,2.48,218,88
30,0,01527,Scott Hoch,2.48,248,100
33,0,20229,Stewart Cink,2.49,242,97
33,0,01203,Russ Cochran,2.49,219,88
33,0,01361,Dan Forsman,2.49,192,77
33,0,06617,Brian Henninger,2.49,237,95
33,0,12660,Jesper Parnevik,2.49,172,69
33,0,02010,Loren Roberts,2.49,199,80
39,0,10860,Justin Leonard,2.51,251,100
40,0,01945,Kenny Perry,2.52,207,82
40,0,01968,Nick Price,2.52,156,62
40,0,08793,Tiger Woods,2.52,184,73
43,0,01553,John Huston,2.53,235,93
43,0,01706,Davis Love III,2.53,187,74
45,0,01533,P.H. Horgan III,2.54,267,105
46,0,01035,Tommy Armour III,2.55,222,87
46,0,11032,Frank Lickliter II,2.55,270,106
48,0,02008,Lee Rinker,2.56,266,104
48,0,06078,Esteban Toledo,2.56,238,93
50,0,08931,Glen Day,2.57,236,92
51,0,01175,Jim Carter,2.58,273,106
51,0,01185,Brandel Chamblee,2.58,206,80
51,0,01569,Peter Jacobsen,2.58,168,65
54,0,01724,Jeff Maggert,2.59,215,83
54,0,06090,Jim McGovern,2.59,220,85
56,0,06643,Paul Goydos,2.61,261,100
56,0,06044,Scott Gump,2.61,253,97
56,0,01771,Blaine McCallister,2.61,271,104
56,0,01941,Tom Pernice Jr.,2.61,206,79
56,0,02133,Craig Stadler,2.61,159,61
56,0,12663,Phil Tataurangi,2.61,206,79
56,0,02294,Willie Wood,2.61,217,83
63,0,01457,Jay Haas,2.62,207,79
63,0,08553,Lee Porter,2.62,238,91
63,0,02135,Mike Standly,2.62,225,86
63,0,06595,Kevin Sutherland,2.62,262,100
67,0,01928,Corey Pavin,2.63,176,67
67,0,02101,Joey Sindelar,2.63,252,96
69,0,19881,Robert Damron,2.64,232,88
70,0,01385,Jim Gallagher Jr.,2.65,191,72
70,0,07101,Dave Stockton Jr.,2.65,172,65
70,0,02246,Duffy Waldorf,2.65,217,82
73,0,01723,Andrew Magee,2.66,250,94
73,0,07235,John Morse,2.66,157,59
73,0,01920,Craig Parry,2.66,125,47
73,0,08375,Paul Stankowski,2.66,205,77
73,0,02321,Fuzzy Zoeller,2.66,181,68
78,0,01685,J.L. Lewis,2.67,251,94
78,0,01797,Rocco Mediate,2.67,219,82
80,0,21584,Richie Coughlan,2.68,252,94
80,0,02267,D.A. Weibring,2.68,185,69
82,0,01261,Jay Delsing,2.69,202,75
82,0,06567,Vijay Singh,2.69,250,93
84,0,01306,David Edwards,2.70,205,76
84,0,20094,Jonathan Kaye,2.70,170,63
86,0,07569,Mark Carnevale,2.71,252,93
86,0,01577,Lee Janzen,2.71,222,82
86,0,10585,Scott McCarron,2.71,225,83
86,0,02106,Chris Smith,2.71,249,92
90,0,01376,Bob Friend,2.72,231,85
90,0,06332,Neal Lancaster,2.72,234,86
90,0,08385,Omar Uresti,2.72,296,109
93,0,12645,Brent Geiberger,2.73,243,89
93,0,02206,David Toms,2.73,232,85
95,0,01139,Olin Browne,2.74,211,77
95,0,21805,Harrison Frazar,2.74,222,81
95,0,01475,Donnie Hammond,2.74,238,87
95,0,01905,Joe Ozaki,2.74,156,57
99,0,06004,Stephen Ames,2.75,143,52
99,0,10569,Mike Brisky,2.75,239,87
101,0,08339,Spike McRoy,2.76,240,87
102,0,01024,Billy Andrade,2.77,263,95
103,0,20099,Doug Barron,2.78,247,89
103,0,06251,Chris DiMarco,2.78,267,96
105,0,01249,John Daly,2.79,215,77
105,0,01282,Trevor Dodds,2.79,254,91
105,0,10733,Kent Jones,2.79,243,87
105,0,08993,Franklin Langham,2.79,257,92
105,0,01891,David Ogrin,2.79,279,100
110,0,01042,Paul Azinger,2.80,196,70
110,0,01116,Michael Bradley,2.80,196,70
110,0,01549,Mike Hulbert,2.80,249,89
110,0,08075,Jerry Kelly,2.80,260,93
110,0,02007,Larry Rinker,2.80,260,93
115,0,01063,Ben Bates,2.81,281,100
115,0,06522,Ernie Els,2.81,135,48
115,0,01408,Kelly Gibson,2.81,301,107
118,0,20098,Stuart Appleby,2.82,183,65
118,0,01191,Barry Cheesman,2.82,262,93
118,0,01960,Don Pooley,2.82,169,60
121,0,12782,Tim Herron,2.83,266,94
121,0,01996,Mike Reid,2.83,221,78
121,0,06581,David Sutherland,2.83,263,93
124,0,06064,Jeff Gallagher,2.84,253,89
125,0,01157,Tom Byrum,2.85,262,92
125,0,01943,Chris Perry,2.85,305,107
127,0,01414,Bob Gilder,2.86,232,81
127,0,02245,Grant Waite,2.86,272,95
129,0,06621,Joe Durant,2.87,227,79
129,0,01468,Gary Hallberg,2.87,175,61
129,0,10423,Mike Weir,2.87,221,77
132,0,07749,Brett Quigley,2.88,253,88
132,0,02002,John Riegger,2.88,239,83
134,0,01132,Mark Brooks,2.89,266,92
134,0,06613,Tommy Tolles,2.89,234,81
136,0,01766,Billy Mayfair,2.90,261,90
137,0,01323,Brad Fabel,2.91,268,92
138,0,07753,Kevin Wentworth,2.92,228,78
139,0,19824,Craig Barlow,2.93,237,81
140,0,01226,Fred Couples,2.94,200,68
140,0,08545,Glen Hnatiuk,2.94,244,83
140,0,10962,Bradley Hughes,2.94,185,63
140,0,06315,Pete Jordan,2.94,262,89
140,0,01607,Brian Kamm,2.94,206,70
140,0,02218,Ted Tryba,2.94,309,105
146,0,01266,Clark Dennis,2.95,221,75
146,0,06132,Sonny Skinner,2.95,254,86
148,0,01302,R.W. Eaks,2.96,237,80
148,0,01329,Brad Faxon,2.96,243,82
