RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,06522,Ernie Els,68.00,748,11
2,0,12652,Cameron Beckman,68.82,1514,22
3,0,06251,Chris DiMarco,68.88,1653,24
4,0,20157,Retief Goosen,68.90,689,10
5,0,06567,Vijay Singh,69.08,829,12
6,0,01968,Nick Price,69.22,1246,18
7,0,02206,David Toms,69.25,1385,20
8,0,21961,Charles Howell III,69.35,2150,31
9,0,01320,Bob Estes,69.42,2152,31
9,0,08075,Jerry Kelly,69.42,1319,19
11,0,01810,Phil Mickelson,69.43,1458,21
12,0,01381,Fred Funk,69.47,2501,36
12,0,10809,Jim Furyk,69.47,1320,19
14,0,01577,Lee Janzen,69.56,1252,18
15,0,01945,Kenny Perry,69.59,2227,32
16,0,22913,John Rollins,69.61,2854,41
17,0,01797,Rocco Mediate,69.63,1323,19
18,0,20498,Briny Baird,69.64,2716,39
19,0,01457,Jay Haas,69.67,1672,24
20,0,20098,Stuart Appleby,69.70,1603,23
21,0,09011,David Duval,69.72,1255,18
22,0,07457,Steve Flesch,69.77,1814,26
23,0,01938,David Peoples,69.78,2233,32
24,0,02010,Loren Roberts,69.83,2025,29
25,0,10885,Robert Allenby,69.84,1746,25
26,0,24361,Pat Perez,69.88,1817,26
27,0,08793,Tiger Woods,69.92,839,12
28,0,08545,Glen Hnatiuk,69.93,2098,30
29,0,01307,Joel Edwards,69.97,2029,29
30,0,01475,Donnie Hammond,70.00,1050,15
30,0,01553,John Huston,70.00,2030,29
30,0,01707,Steve Lowery,70.00,1610,23
30,0,06350,Bob May,70.00,1890,27
34,0,06595,Kevin Sutherland,70.04,1751,25
34,0,02223,Bob Tway,70.04,1611,23
36,0,02002,John Riegger,70.07,1892,27
37,0,10860,Justin Leonard,70.09,1612,23
38,0,10423,Mike Weir,70.14,1964,28
39,0,01361,Dan Forsman,70.16,1754,25
40,0,20572,Rod Pampling,70.17,2035,29
41,0,01024,Billy Andrade,70.20,2106,30
42,0,01139,Olin Browne,70.21,2387,34
43,0,07721,Pat Bates,70.22,1896,27
44,0,10565,Ian Leggatt,70.24,1475,21
45,0,11032,Frank Lickliter II,70.26,1897,27
46,0,02239,Scott Verplank,70.27,1546,22
47,0,20645,John Senden,70.29,1968,28
48,0,01226,Fred Couples,70.32,1547,22
49,0,06197,Michael Allen,70.35,1618,23
50,0,23353,J.J. Henry,70.36,2533,36
51,0,06621,Joe Durant,70.38,1478,21
52,0,23135,Tim Clark,70.39,1619,23
52,0,12823,Carlos Franco,70.39,1971,28
54,0,12510,Chad Campbell,70.40,2112,30
54,0,20127,Chris Riley,70.40,2112,30
56,0,12645,Brent Geiberger,70.41,2746,39
57,0,24357,K.J. Choi,70.42,1690,24
58,0,20229,Stewart Cink,70.43,1479,21
58,0,10585,Scott McCarron,70.43,1479,21
60,0,11011,Mike Sposa,70.44,3029,43
61,0,20634,Peter Lonard,70.49,2890,41
