RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,23718,Nathan Green,356,688,51.7
1,0,01948,Tim Petrovic,356,649,54.9
3,0,21753,Brian Davis,355,691,51.4
4,0,06251,Chris DiMarco,352,619,56.9
5,0,20850,Daniel Chopra,344,639,53.8
6,0,12716,Charley Hoffman,342,640,53.4
7,0,19846,Brian Gay,340,658,51.7
8,0,26695,Michael Letzig,339,633,53.6
9,0,29221,Webb Simpson,332,691,48.0
10,0,21805,Harrison Frazar,324,625,51.8
10,0,25240,D.A. Points,324,608,53.3
12,0,21949,Joe Ogilvie,321,618,51.9
13,0,28475,Jeff Overton,317,588,53.9
14,0,24503,Jeff Klauk,314,610,51.5
14,0,28780,Nicholas Thompson,314,590,53.2
16,0,10585,Scott McCarron,312,590,52.9
17,0,28158,Steve Marino,311,585,53.2
17,0,23623,Bo Van Pelt,311,621,50.1
19,0,20070,Matt Bettencourt,310,634,48.9
20,0,24924,Bill Haas,309,585,52.8
21,0,22913,John Rollins,306,565,54.2
22,0,12782,Tim Herron,304,576,52.8
23,0,22348,Nick O'Hern,303,601,50.4
24,0,08075,Jerry Kelly,300,589,50.9
25,0,23541,Ben Crane,299,596,50.2
26,0,25396,Kevin Na,296,605,48.9
26,0,20160,Charlie Wi,296,598,49.5
28,0,21959,Ted Purdy,295,622,47.4
28,0,21878,Mark Wilson,295,635,46.5
30,0,10860,Justin Leonard,292,546,53.5
31,0,25686,Jason Dufner,291,555,52.4
32,0,27214,Kevin Streelman,290,597,48.6
33,0,21961,Charles Howell III,289,559,51.7
33,0,20645,John Senden,289,594,48.7
33,0,22293,Heath Slocum,289,565,51.2
33,0,23325,Vaughn Taylor,289,568,50.9
37,0,25900,Lucas Glover,287,574,50.0
37,0,24024,Zach Johnson,287,581,49.4
39,0,26301,James Nitties,286,550,52.0
40,0,20104,Ken Duke,285,509,56.0
40,0,27060,John Mallinger,285,518,55.0
42,0,01941,Tom Pernice Jr.,284,545,52.1
42,0,02239,Scott Verplank,284,559,50.8
44,0,01320,Bob Estes,282,521,54.1
45,0,24507,Jason Bohn,281,542,51.8
46,0,21731,Freddie Jacobson,280,550,50.9
46,0,24490,George McNeill,280,569,49.2
48,0,02206,David Toms,279,560,49.8
49,0,26851,Marc Leishman,278,583,47.7
49,0,01707,Steve Lowery,278,557,49.9
51,0,27120,Troy Matteson,277,580,47.8
52,0,25190,Jeff Quinney,276,526,52.5
53,0,01706,Davis Love III,275,511,53.8
53,0,07749,Brett Quigley,275,523,52.6
55,0,21350,Ryuji Imada,274,530,51.7
56,0,24925,Jonathan Byrd,273,531,51.4
57,0,01945,Kenny Perry,272,542,50.2
57,0,20127,Chris Riley,272,500,54.4
59,0,23788,D.J. Trahan,271,517,52.4
59,0,25632,Jimmy Walker,271,472,57.4
61,0,23638,Brendon de Jonge,268,533,50.3
61,0,10423,Mike Weir,268,534,50.2
63,0,07867,Woody Austin,266,548,48.5
63,0,10809,Jim Furyk,266,506,52.6
63,0,28620,Aron Price,266,529,50.3
66,0,06527,Steve Stricker,265,484,54.8
66,0,06595,Kevin Sutherland,265,522,50.8
68,0,26596,Ryan Moore,264,546,48.4
69,0,29718,Anthony Kim,263,470,56.0
69,0,23108,Matt Kuchar,263,556,47.3
71,0,27095,Nick Watney,262,491,53.4
72,0,25345,Carl Pettersson,261,534,48.9
73,0,20472,Alex Cejka,260,493,52.7
73,0,20634,Peter Lonard,260,507,51.3
73,0,24781,Hunter Mahan,260,543,47.9
76,0,12652,Cameron Beckman,258,512,50.4
76,0,27963,Chris Stroud,258,500,51.6
78,0,26420,Richard Johnson,257,513,50.1
78,0,23320,Ryan Palmer,257,499,51.5
80,0,12705,Cliff Kresge,256,490,52.2
81,0,26476,Chez Reavie,255,467,54.6
82,0,23353,J.J. Henry,253,528,47.9
83,0,23621,Rory Sabbatini,252,480,52.5
84,0,12510,Chad Campbell,251,493,50.9
84,0,20691,Greg Owen,251,518,48.5
84,0,24663,Y.E. Yang,251,491,51.1
87,0,20593,Greg Chalmers,250,534,46.8
87,0,01766,Billy Mayfair,250,431,58.0
87,0,24361,Pat Perez,250,478,52.3
87,0,25818,Scott Piercy,250,515,48.5
91,0,23548,Bill Lunde,249,515,48.3
91,0,24449,Parker McLachlin,249,529,47.1
93,0,12602,Dean Wilson,247,511,48.3
94,0,01797,Rocco Mediate,246,434,56.7
95,0,01577,Lee Janzen,244,456,53.5
96,0,20098,Stuart Appleby,243,424,57.3
96,0,20498,Briny Baird,243,469,51.8
96,0,24358,Robert Garrigus,243,473,51.4
96,0,22961,David Mathis,243,512,47.5
96,0,26951,Johnson Wagner,243,499,48.7
101,0,23983,Luke Donald,242,495,48.9
102,0,27649,Brandt Snedeker,241,503,47.9
103,0,20572,Rod Pampling,239,464,51.5
104,0,22371,Aaron Baddeley,238,461,51.6
105,0,20157,Retief Goosen,236,424,55.7
106,0,23048,Eric Axley,235,439,53.5
107,0,23778,Brad Adamonis,233,429,54.3
107,0,23135,Tim Clark,233,455,51.2
107,0,22892,Jason Gore,233,417,55.9
110,0,27933,John Merrick,232,451,51.4
111,0,01724,Jeff Maggert,230,476,48.3
112,0,27141,J.B. Holmes,228,423,53.9
113,0,06643,Paul Goydos,227,471,48.2
114,0,01161,Mark Calcavecchia,225,441,51.0
114,0,27466,Spencer Levin,225,463,48.6
114,0,25804,Bubba Watson,225,407,55.3
117,0,08931,Glen Day,223,427,52.2
118,0,07457,Steve Flesch,222,431,51.5
119,0,20574,Mathew Goggin,221,401,55.1
120,0,22046,Geoff Ogilvy,220,439,50.1
121,0,24140,Sean O'Hair,218,420,51.9
122,0,01473,Todd Hamilton,216,443,48.8
123,0,30925,Dustin Johnson,215,445,48.3
124,0,20766,Padraig Harrington,212,388,54.6
124,0,27936,Martin Laird,212,427,49.6
126,0,06522,Ernie Els,211,389,54.2
127,0,06197,Michael Allen,210,394,53.3
127,0,23614,Rich Beem,210,398,52.8
129,0,20229,Stewart Cink,208,421,49.4
129,0,22405,Justin Rose,208,418,49.8
129,0,26668,Marc Turnesa,208,460,45.2
132,0,01810,Phil Mickelson,206,359,57.4
133,0,01329,Brad Faxon,205,403,50.9
133,0,10733,Kent Jones,205,404,50.7
133,0,02214,Kirk Triplett,205,387,53.0
133,0,08793,Tiger Woods,205,379,54.1
137,0,26289,Boo Weekley,204,416,49.0
137,0,26498,Matt Weibring,204,402,50.7
139,0,28089,Jason Day,203,389,52.2
140,0,26679,Kevin Stadler,199,367,54.2
141,0,27770,Camilo Villegas,197,376,52.4
142,0,10117,Bob Heintz,196,393,49.9
142,0,24912,Will MacKenzie,196,383,51.2
142,0,06567,Vijay Singh,196,351,55.8
145,0,06004,Stephen Ames,194,414,46.9
146,0,10885,Robert Allenby,193,357,54.1
146,0,26497,Casey Wittenberg,193,353,54.7
148,0,30711,Colt Knost,191,377,50.7
148,0,23800,Bryce Molder,191,402,47.5
150,0,01142,Bart Bryant,190,351,54.1
151,0,01928,Corey Pavin,189,381,49.6
151,0,10425,Jay Williamson,189,348,54.3
153,0,01313,Steve Elkington,188,397,47.4
154,0,24846,Ricky Barnes,187,314,59.6
