RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,32640,Troy Merritt,11,5,6
2,0,51890,Greyson Sigg,15,5,10
3,0,58696,Peter Kuest,16,5,11
4,0,33410,Andrew Landry,18,14,4
5,0,45609,Tyler Duncan,24,16,8
6,0,50095,Austin Smotherman,25,2,23
7,0,47128,Richy Werenski,27,10,17
8,0,32102,Rickie Fowler,29,2,27
9,0,48084,Wesley Bryan,32,21,11
10,0,47079,Harrison Endycott,34,14,20
10,0,26476,Chez Reavie,34,30,4
12,0,33141,Keegan Bradley,35,1,34
13,0,31646,Emiliano Grillo,39,9,30
13,0,27644,Brian Harman,39,28,11
13,0,22056,Cameron Percy,39,24,15
16,0,57362,Austin Eckroat,53,35,18
16,0,29535,Brice Garnett,53,52,1
18,0,29908,C.T. Pan,54,33,21
19,0,20229,Stewart Cink,55,28,27
20,0,35461,Beau Hossler,56,17,39
21,0,23108,Matt Kuchar,59,43,16
22,0,33948,Byeong Hun An,61,4,57
22,0,25632,Jimmy Walker,61,17,44
24,0,19803,Ryan Armour,62,59,3
24,0,24024,Zach Johnson,62,11,51
24,0,49960,Sepp Straka,62,27,35
27,0,55182,Tom Kim,67,37,30
27,0,29221,Webb Simpson,67,20,47
29,0,34363,Tyrrell Hatton,68,17,51
30,0,30926,Chris Kirk,69,23,46
31,0,32816,Satoshi Kodaira,71,48,23
32,0,39324,J.J. Spaun,73,43,30
33,0,49766,Hank Lebioda,77,41,36
34,0,55708,Hayden Buckley,78,36,42
34,0,34563,Chesson Hadley,78,45,33
36,0,52375,Doug Ghim,80,55,25
36,0,51950,Max McGreevy,80,61,19
36,0,25818,Scott Piercy,80,73,7
39,0,52955,Ludvig Åberg,83,8,75
40,0,49771,J.T. Poston,84,37,47
41,0,45157,Cam Davis,92,11,81
42,0,25686,Jason Dufner,94,83,11
42,0,12716,Charley Hoffman,94,73,21
44,0,24140,Sean O'Hair,97,40,57
44,0,47983,Chad Ramey,97,11,86
46,0,49453,Trevor Cone,98,30,68
46,0,32448,James Hahn,98,30,68
48,0,52513,Carson Young,99,45,54
49,0,45242,Kevin Yu,102,64,38
50,0,27963,Chris Stroud,106,52,54
51,0,35901,Paul Haley II,107,68,39
52,0,40250,Taylor Pendrith,116,21,95
53,0,51349,Nico Echavarria,117,52,65
54,0,25900,Lucas Glover,119,83,36
54,0,36799,Stephan Jaeger,119,33,86
56,0,34098,Russell Henley,120,66,54
57,0,52453,Nicolai Hojgaard,121,25,96
58,0,28237,Rory McIlroy,123,41,82
58,0,25493,Nick Taylor,123,64,59
60,0,39971,Sungjae Im,124,59,65
60,0,31560,Brian Stuard,124,115,9
62,0,28775,Nate Lashley,128,102,26
63,0,48887,Matt Wallace,131,58,73
64,0,54783,Dylan Wu,134,66,68
65,0,31557,Jim Herman,135,88,47
65,0,39975,Michael Kim,135,73,62
67,0,35449,Adam Long,137,55,82
68,0,27214,Kevin Streelman,141,77,64
69,0,30692,Scott Stallings,143,47,96
69,0,30927,Brendon Todd,143,102,41
71,0,33408,Tyson Alexander,144,69,75
71,0,52374,Brandon Wu,144,69,75
73,0,56630,Akshay Bhatia,145,94,51
74,0,36326,David Lipsky,146,102,44
75,0,47988,Nick Hardy,147,88,59
75,0,23320,Ryan Palmer,147,55,92
77,0,32139,Danny Willett,150,77,73
78,0,35450,Patrick Cantlay,152,48,104
78,0,27974,Sung Kang,152,90,62
78,0,26596,Ryan Moore,152,150,2
81,0,32366,Kevin Chappell,154,37,117
82,0,47504,Sam Burns,158,25,133
83,0,33448,Justin Thomas,159,100,59
84,0,29420,Billy Horschel,160,69,91
85,0,47993,Denny McCarthy,161,90,71
85,0,58168,Davis Thompson,161,83,78
87,0,59018,Ryan Gerard,162,97,65
88,0,46970,Jon Rahm,163,77,86
89,0,49298,Kramer Hickok,165,122,43
89,0,35506,Mackenzie Hughes,165,48,117
91,0,34076,Joel Dahmen,167,120,47
92,0,50525,Collin Morikawa,169,61,108
93,0,33399,Adam Hadwin,173,80,93
94,0,35879,Kelly Kraft,175,148,27
95,0,39546,Keith Mitchell,176,80,96
96,0,51997,Andrew Novak,178,107,71
97,0,32757,Patton Kizzire,179,80,99
98,0,55454,Carl Yuan,183,90,93
99,0,35617,Martin Trainer,195,83,112
100,0,34255,Joseph Bramlett,200,69,131
101,0,47995,Davis Riley,201,102,99
102,0,36871,Matt NeSmith,202,61,141
103,0,31202,William McGirt,204,126,78
103,0,46340,Alex Smalley,204,122,82
103,0,34046,Jordan Spieth,204,73,131
106,0,27554,Scott Harrington,207,102,105
107,0,40162,Justin Lower,211,122,89
107,0,36724,Augusto Núñez,211,112,99
109,0,33204,Shane Lowry,212,107,105
110,0,48867,Matti Schmid,214,51,163
111,0,50188,S.H. Kim,220,94,126
112,0,46435,Austin Cook,224,135,89
112,0,46441,Robby Shelton,224,142,82
114,0,32839,Hideki Matsuyama,229,109,120
115,0,40098,Matt Fitzpatrick,230,109,121
115,0,57366,Cameron Young,230,100,130
117,0,47591,Eric Cole,234,97,137
117,0,32791,K.H. Lee,234,115,119
119,0,57975,Harry Hall,235,120,115
120,0,54628,Lee Hodges,236,112,124
121,0,30911,Tommy Fleetwood,237,94,143
122,0,45522,Christiaan Bezuidenhout,238,139,99
123,0,37455,Si Woo Kim,242,162,80
124,0,54421,Garrick Higgo,243,115,128
125,0,55893,Sam Stevens,246,122,124
126,0,48119,Ben Taylor,247,119,128
127,0,34466,Peter Malnati,248,140,108
128,0,39954,Cody Gribble,249,137,112
128,0,46717,Viktor Hovland,249,126,123
130,0,39997,Corey Conners,250,129,121
130,0,33597,Harry Higgs,250,145,105
132,0,34099,Harris English,251,137,114
133,0,54591,Ben Griffin,252,83,169
134,0,29289,S.Y. Noh,255,112,143
135,0,24925,Jonathan Byrd,256,130,126
136,0,34409,David Lingmerth,261,162,99
137,0,33122,Russell Knox,262,154,108
138,0,39067,MJ Daffue,267,159,108
139,0,29970,Dylan Frittelli,270,99,171
139,0,51070,Vincent Norrman,270,130,140
141,0,30163,Henrik Norlander,272,157,115
142,0,35532,Tom Hoge,276,135,141
143,0,46601,Trey Mullinax,277,109,168
144,0,51491,Brandon Matthews,280,90,190
145,0,32662,Michael Gligic,285,126,159
146,0,29725,Tony Finau,286,141,145
147,0,27936,Martin Laird,289,150,139
148,0,22405,Justin Rose,290,133,157
149,0,28420,Ryan Brehm,291,130,161
149,0,40006,Erik van Rooyen,291,157,134
151,0,51634,Sahith Theegala,292,156,136
152,0,28089,Jason Day,294,115,179
152,0,49947,Taylor Moore,294,159,135
152,0,50493,Justin Suh,294,145,149
155,0,53165,Doc Redman,295,148,147
156,0,24502,Adam Scott,304,143,161
157,0,48117,Kurt Kitayama,306,147,159
158,0,40115,Adam Svensson,307,170,137
159,0,51414,Brent Grant,308,159,149
160,0,36699,Patrick Rodgers,312,165,147
161,0,27129,Luke List,314,168,146
162,0,35310,Lanto Griffin,316,150,166
163,0,51766,Wyndham Clark,317,133,184
164,0,28252,Seamus Power,319,167,152
165,0,37338,Zecheng Dou,320,168,152
166,0,37275,Sam Ryder,325,170,155
167,0,46046,Scottie Scheffler,328,165,163
168,0,34610,Matthias Schwab,331,179,152
168,0,34431,Robert Streb,331,176,155
168,0,31323,Gary Woodland,331,143,188
171,0,39335,Kevin Roy,335,178,157
172,0,39977,Max Homa,336,173,163
173,0,33653,Thomas Detry,337,150,187
174,0,52411,Kyle Westmoreland,338,154,184
175,0,40058,Zac Blair,343,192,151
176,0,31577,Tano Goya,344,164,180
177,0,46442,Maverick McNealy,346,175,171
178,0,46414,Aaron Rai,349,183,166
179,0,52372,Cameron Champ,352,183,169
179,0,33413,Ben Martin,352,177,175
181,0,48081,Xander Schauffele,353,172,181
182,0,48699,Callum Tarren,356,181,175
183,0,27349,Alex Noren,359,186,173
