RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
1,0,49453,Trevor Cone,1.521,378.785,249,1.538,.000
2,0,49766,Hank Lebioda,1.519,236.984,156,1.537,.000
3,0,52955,Ludvig Åberg,1.518,245.838,162,1.539,.000
3,0,19803,Ryan Armour,1.518,414.447,273,1.539,.000
3,0,55708,Hayden Buckley,1.518,376.392,248,1.539,.000
3,0,29535,Brice Garnett,1.518,358.229,236,1.539,.000
3,0,29908,C.T. Pan,1.518,274.773,181,1.536,.000
3,0,31560,Brian Stuard,1.518,309.634,204,1.539,.000
9,0,33408,Tyson Alexander,1.517,426.277,281,1.539,.000
9,0,52453,Nicolai Hojgaard,1.517,197.230,130,1.539,.000
9,0,29420,Billy Horschel,1.517,313.978,207,1.539,.000
9,0,24140,Sean O'Hair,1.517,172.939,114,1.537,.000
9,0,51890,Greyson Sigg,1.517,544.546,359,1.539,.000
9,0,33448,Justin Thomas,1.517,391.346,258,1.539,.000
9,0,47128,Richy Werenski,1.517,468.712,309,1.539,.000
9,0,52374,Brandon Wu,1.517,462.796,305,1.539,.000
9,0,45242,Kevin Yu,1.517,192.607,127,1.538,.000
18,0,33948,Byeong Hun An,1.516,529.239,349,1.538,.000
18,0,45157,Cam Davis,1.516,429.096,283,1.539,.000
18,0,47079,Harrison Endycott,1.516,410.908,271,1.539,.000
18,0,33410,Andrew Landry,1.516,380.524,251,1.538,.000
18,0,32640,Troy Merritt,1.516,431.973,285,1.539,.000
18,0,34046,Jordan Spieth,1.516,421.540,278,1.539,.000
18,0,54783,Dylan Wu,1.516,457.692,302,1.539,.000
25,0,39997,Corey Conners,1.515,512.230,338,1.539,.000
25,0,45609,Tyler Duncan,1.515,419.749,277,1.539,.000
25,0,35461,Beau Hossler,1.515,525.844,347,1.539,.000
25,0,24024,Zach Johnson,1.515,331.855,219,1.535,.000
25,0,40250,Taylor Pendrith,1.515,525.631,347,1.536,.000
25,0,22056,Cameron Percy,1.515,309.052,204,1.539,.000
25,0,25818,Scott Piercy,1.515,456.024,301,1.539,.000
25,0,52513,Carson Young,1.515,449.864,297,1.536,.000
33,0,51766,Wyndham Clark,1.514,416.220,275,1.538,.000
33,0,46435,Austin Cook,1.514,367.936,243,1.538,.000
33,0,25900,Lucas Glover,1.514,505.801,334,1.539,.000
33,0,35310,Lanto Griffin,1.514,251.259,166,1.539,.000
33,0,31646,Emiliano Grillo,1.514,543.470,359,1.537,.000
33,0,27644,Brian Harman,1.514,485.968,321,1.539,.000
33,0,34098,Russell Henley,1.514,454.338,300,1.539,.000
33,0,58696,Peter Kuest,1.514,192.281,127,1.536,.000
33,0,47993,Denny McCarthy,1.514,479.846,317,1.539,.000
33,0,51950,Max McGreevy,1.514,410.260,271,1.539,.000
33,0,29221,Webb Simpson,1.514,345.264,228,1.535,.000
33,0,50095,Austin Smotherman,1.514,476.960,315,1.539,.000
33,0,49960,Sepp Straka,1.514,440.561,291,1.538,.000
33,0,48119,Ben Taylor,1.514,432.921,286,1.539,.000
33,0,25493,Nick Taylor,1.514,463.259,306,1.538,.000
33,0,58168,Davis Thompson,1.514,446.562,295,1.539,.000
49,0,20229,Stewart Cink,1.513,417.660,276,1.537,.000
49,0,34076,Joel Dahmen,1.513,420.537,278,1.539,.000
49,0,52375,Doug Ghim,1.513,358.504,237,1.539,.000
49,0,34563,Chesson Hadley,1.513,452.503,299,1.538,.000
49,0,35506,Mackenzie Hughes,1.513,454.002,300,1.539,.000
49,0,46970,Jon Rahm,1.513,366.185,242,1.539,.000
