RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,40058,Zac Blair,3082.9,2099474,681
2,0,47347,Adam Schenk,2958.2,2224596,752
3,0,27095,Nick Watney,2946.5,1261092,428
4,0,39997,Corey Conners,2913.4,2129692,731
5,0,50493,Justin Suh,2894.8,2214559,765
6,0,46414,Aaron Rai,2879.5,2364053,821
7,0,36801,Mark Hubbard,2871.4,2308583,804
8,0,32333,Kevin Tway,2853.7,1703637,597
9,0,31577,Tano Goya,2834.2,1456776,514
10,0,34409,David Lingmerth,2828.2,1773303,627
11,0,35310,Lanto Griffin,2801.3,952451,340
12,0,34256,Andrew Putnam,2794.5,2283106,817
13,0,39335,Kevin Roy,2789.8,1219130,437
14,0,22371,Aaron Baddeley,2788.3,1279840,459
15,0,34610,Matthias Schwab,2788.1,2135715,766
16,0,27554,Scott Harrington,2785.7,1498712,538
17,0,31202,William McGirt,2785.1,1097316,394
18,0,35449,Adam Long,2784.7,2266721,814
19,0,39058,Lucas Herbert,2779.3,961642,346
20,0,27349,Alex Noren,2774.2,1720004,620
21,0,27936,Martin Laird,2771.6,1665720,601
22,0,33122,Russell Knox,2765.9,2190600,792
23,0,28252,Seamus Power,2758.9,1575357,571
24,0,34098,Russell Henley,2746.3,1903155,693
25,0,33413,Ben Martin,2730.0,1949195,714
26,0,51491,Brandon Matthews,2729.4,376653,138
27,0,32640,Troy Merritt,2723.2,1854506,681
28,0,52374,Brandon Wu,2722.2,2360140,867
29,0,36799,Stephan Jaeger,2715.9,2707749,997
30,0,29725,Tony Finau,2715.3,1789372,659
31,0,33204,Shane Lowry,2710.6,1203517,444
32,0,34099,Harris English,2708.1,1470479,543
33,0,56762,Will Gordon,2704.7,1327996,491
34,0,40115,Adam Svensson,2696.8,2532263,939
35,0,36871,Matt NeSmith,2688.2,2061812,767
36,0,58967,Trevor Werbylo,2685.8,1447637,539
37,0,37275,Sam Ryder,2683.6,2345509,874
38,0,51950,Max McGreevy,2678.1,1638986,612
39,0,54591,Ben Griffin,2677.1,2117548,791
40,0,32839,Hideki Matsuyama,2674.9,1744016,652
41,0,35506,Mackenzie Hughes,2674.5,1794578,671
42,0,46435,Austin Cook,2663.9,1518411,570
43,0,33399,Adam Hadwin,2661.9,2132202,801
44,0,34431,Robert Streb,2661.5,1564966,588
45,0,35879,Kelly Kraft,2654.0,1881714,709
46,0,32102,Rickie Fowler,2653.5,1525785,575
47,0,31323,Gary Woodland,2647.1,1260035,476
48,0,45242,Kevin Yu,2640.8,815993,309
49,0,48081,Xander Schauffele,2638.4,1205752,457
50,0,39977,Max Homa,2638.2,1735936,658
51,0,49453,Trevor Cone,2637.7,1561536,592
52,0,51414,Brent Grant,2636.5,1239135,470
53,0,33653,Thomas Detry,2631.7,1323767,503
54,0,47993,Denny McCarthy,2630.8,2012595,765
55,0,52411,Kyle Westmoreland,2625.6,929454,354
56,0,49960,Sepp Straka,2624.6,1923854,733
57,0,39971,Sungjae Im,2623.9,2285435,871
58,0,51070,Vincent Norrman,2622.3,1311138,500
59,0,53165,Doc Redman,2622.2,1714894,654
60,0,34466,Peter Malnati,2621.0,2060125,786
61,0,57366,Cameron Young,2619.0,916650,350
62,0,40006,Erik van Rooyen,2618.9,1251824,478
63,0,51997,Andrew Novak,2617.6,1528661,584
64,0,39324,J.J. Spaun,2617.0,2046520,782
65,0,33141,Keegan Bradley,2616.6,1575218,602
66,0,56630,Akshay Bhatia,2613.0,1340452,513
67,0,35450,Patrick Cantlay,2606.4,1443959,554
68,0,47591,Eric Cole,2605.6,2537903,974
69,0,57975,Harry Hall,2602.5,1616164,621
70,0,47504,Sam Burns,2599.7,1375229,529
71,0,27974,Sung Kang,2598.0,665082,256
72,0,25900,Lucas Glover,2596.5,1848674,712
73,0,27129,Luke List,2594.0,1878022,724
74,0,35617,Martin Trainer,2592.7,876342,338
75,0,39546,Keith Mitchell,2589.2,1662297,642
76,0,54628,Lee Hodges,2588.3,2153494,832
77,0,36699,Patrick Rodgers,2588.1,2140387,827
78,0,32662,Michael Gligic,2587.8,1112756,430
79,0,27214,Kevin Streelman,2587.5,1904379,736
80,0,35532,Tom Hoge,2587.4,1935386,748
81,0,22405,Justin Rose,2585.9,1124856,435
82,0,30911,Tommy Fleetwood,2579.3,1318042,511
83,0,30927,Brendon Todd,2578.6,2091229,811
84,0,25818,Scott Piercy,2574.7,1954229,759
85,0,40250,Taylor Pendrith,2572.7,1795716,698
86,0,23108,Matt Kuchar,2572.3,1972950,767
87,0,39067,MJ Daffue,2569.3,1634058,636
88,0,45522,Christiaan Bezuidenhout,2568.8,1877827,731
89,0,32448,James Hahn,2564.0,1484567,579
90,0,51766,Wyndham Clark,2562.5,978872,382
91,0,29221,Webb Simpson,2561.4,1124439,439
92,0,55454,Carl Yuan,2559.9,1607618,628
93,0,27963,Chris Stroud,2559.2,977625,382
94,0,33408,Tyson Alexander,2556.9,1623640,635
95,0,27644,Brian Harman,2556.1,2170160,849
96,0,36724,Augusto Núñez,2551.1,1206680,473
97,0,29970,Dylan Frittelli,2550.8,1341702,526
98,0,48867,Matti Schmid,2546.2,870807,342
99,0,29420,Billy Horschel,2544.8,1208765,475
100,0,52372,Cameron Champ,2541.7,574426,226
101,0,23320,Ryan Palmer,2541.3,1702662,670
102,0,47988,Nick Hardy,2540.8,1900524,748
103,0,37338,Zecheng Dou,2540.4,1790947,705
104,0,48699,Callum Tarren,2538.3,1604182,632
105,0,25493,Nick Taylor,2536.9,1697201,669
106,0,51349,Nico Echavarria,2536.4,1389950,548
107,0,49947,Taylor Moore,2533.5,1915353,756
108,0,47128,Richy Werenski,2532.9,1555221,614
109,0,40162,Justin Lower,2530.8,1731047,684
110,0,24925,Jonathan Byrd,2528.3,804012,318
111,0,54421,Garrick Higgo,2526.8,1728316,684
112,0,48119,Ben Taylor,2522.5,1538712,610
113,0,32366,Kevin Chappell,2522.0,877640,348
114,0,58696,Peter Kuest,2521.1,690794,274
115,0,49298,Kramer Hickok,2520.4,1731539,687
116,0,46601,Trey Mullinax,2515.6,1257787,500
116,0,52513,Carson Young,2515.6,1660301,660
118,0,39954,Cody Gribble,2513.8,1111085,442
119,0,24024,Zach Johnson,2513.5,1296981,516
120,0,54783,Dylan Wu,2511.6,1753107,698
121,0,37455,Si Woo Kim,2509.2,2323558,926
122,0,45609,Tyler Duncan,2505.4,1866505,745
123,0,50188,S.H. Kim,2503.5,2065357,825
124,0,52453,Nicolai Hojgaard,2500.8,682713,273
125,0,55182,Tom Kim,2498.7,1766555,707
126,0,28089,Jason Day,2496.7,1320741,529
127,0,19803,Ryan Armour,2496.3,1774858,711
128,0,55708,Hayden Buckley,2495.5,1427413,572
129,0,55789,Taylor Montgomery,2494.4,1486678,596
130,0,52955,Ludvig Åberg,2493.6,810424,325
131,0,47995,Davis Riley,2493.4,1630653,654
132,0,34255,Joseph Bramlett,2491.0,1098534,441
133,0,24502,Adam Scott,2483.8,991044,399
134,0,33410,Andrew Landry,2483.7,1557255,627
135,0,26596,Ryan Moore,2482.8,1695776,683
136,0,32139,Danny Willett,2481.0,1235552,498
137,0,34046,Jordan Spieth,2478.6,1402904,566
138,0,31560,Brian Stuard,2475.3,1195576,483
139,0,30163,Henrik Norlander,2474.6,1440191,582
140,0,12716,Charley Hoffman,2472.3,1300437,526
141,0,46717,Viktor Hovland,2465.0,1456842,591
142,0,34363,Tyrrell Hatton,2464.5,1505791,611
143,0,55893,Sam Stevens,2463.0,1970368,800
144,0,34076,Joel Dahmen,2462.8,1955485,794
145,0,31646,Emiliano Grillo,2462.3,1873838,761
146,0,46441,Robby Shelton,2461.7,1757636,714
147,0,46442,Maverick McNealy,2461.5,935365,380
148,0,35901,Paul Haley II,2460.6,1734689,705
149,0,58168,Davis Thompson,2458.7,1679313,683
150,0,28420,Ryan Brehm,2458.1,1258556,512
151,0,48084,Wesley Bryan,2456.4,636216,259
152,0,49766,Hank Lebioda,2451.1,926501,378
153,0,32791,K.H. Lee,2450.3,1663724,679
154,0,40098,Matt Fitzpatrick,2450.0,1445478,590
155,0,48117,Kurt Kitayama,2449.1,646564,264
156,0,24140,Sean O'Hair,2445.7,699477,286
157,0,26476,Chez Reavie,2445.2,1963497,803
158,0,47983,Chad Ramey,2438.9,2136475,876
159,0,46046,Scottie Scheffler,2438.5,1567945,643
160,0,29289,S.Y. Noh,2434.6,1022514,420
161,0,39975,Michael Kim,2434.3,1472748,605
162,0,46970,Jon Rahm,2428.2,1065959,439
163,0,25632,Jimmy Walker,2426.0,1559930,643
164,0,31557,Jim Herman,2422.0,1300629,537
165,0,57362,Austin Eckroat,2419.3,1599129,661
166,0,33948,Byeong Hun An,2418.5,1780018,736
167,0,25686,Jason Dufner,2415.7,1521916,630
168,0,51890,Greyson Sigg,2413.4,2092431,867
169,0,32757,Patton Kizzire,2409.7,1821702,756
170,0,20229,Stewart Cink,2409.6,1387916,576
171,0,45157,Cam Davis,2405.9,1498870,623
172,0,30926,Chris Kirk,2404.7,1777066,739
173,0,35461,Beau Hossler,2400.3,1982650,826
174,0,34563,Chesson Hadley,2397.4,1613473,673
175,0,51634,Sahith Theegala,2396.7,1866996,779
176,0,48887,Matt Wallace,2378.0,1243676,523
177,0,59018,Ryan Gerard,2374.8,1071021,451
178,0,49771,J.T. Poston,2374.0,1799498,758
179,0,36326,David Lipsky,2366.6,1737109,734
180,0,50525,Collin Morikawa,2362.7,1389272,588
181,0,46340,Alex Smalley,2360.7,1801187,763
182,0,32816,Satoshi Kodaira,2341.5,1037284,443
183,0,50095,Austin Smotherman,2340.8,1654916,707
184,0,29535,Brice Garnett,2339.0,1419761,607
185,0,47079,Harrison Endycott,2336.0,1539421,659
186,0,33597,Harry Higgs,2333.7,1376888,590
187,0,22056,Cameron Percy,2332.8,1049757,450
188,0,28775,Nate Lashley,2328.5,1827870,785
189,0,28237,Rory McIlroy,2324.8,829963,357
190,0,30692,Scott Stallings,2314.0,1346773,582
191,0,33448,Justin Thomas,2313.9,1291141,558
192,0,29908,C.T. Pan,2302.9,829031,360
193,0,52375,Doug Ghim,2300.5,1414834,615
