RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,51491,Brandon Matthews,126.51,14549.07,115
2,0,52372,Cameron Champ,126.07,22693.09,180
3,0,56762,Will Gordon,124.84,34330.97,275
4,0,52411,Kyle Westmoreland,124.33,24617.01,198
5,0,51766,Wyndham Clark,123.46,33951.34,275
6,0,57366,Cameron Young,123.15,32019.98,260
7,0,28237,Rory McIlroy,122.80,28367.52,231
8,0,51414,Brent Grant,122.77,25904.23,211
9,0,39058,Lucas Herbert,122.41,22155.47,181
10,0,31323,Gary Woodland,122.16,34203.45,280
11,0,34255,Joseph Bramlett,121.98,27078.65,222
12,0,48699,Callum Tarren,121.95,39634.31,325
13,0,48117,Kurt Kitayama,121.93,17924.32,147
14,0,55789,Taylor Montgomery,121.87,34611.83,284
15,0,51070,Vincent Norrman,121.77,30077.73,247
16,0,47347,Adam Schenk,121.68,45144.41,371
17,0,33653,Thomas Detry,121.62,28095.14,231
18,0,32333,Kevin Tway,121.56,35494.96,292
19,0,58696,Peter Kuest,121.28,15402.88,127
20,0,46601,Trey Mullinax,121.24,30189.94,249
21,0,24502,Adam Scott,121.09,24460.13,202
22,0,27129,Luke List,120.98,39561.18,327
23,0,46046,Scottie Scheffler,120.86,39036.86,323
24,0,28420,Ryan Brehm,120.61,28342.79,235
25,0,52955,Ludvig Åberg,120.26,19481.45,162
26,0,49453,Trevor Cone,120.24,29939.31,249
26,0,39067,MJ Daffue,120.24,32824.88,273
28,0,48081,Xander Schauffele,120.21,28369.56,236
29,0,48867,Matti Schmid,120.12,23182.92,193
30,0,39977,Max Homa,119.82,33909.44,283
31,0,46970,Jon Rahm,119.68,28963.47,242
32,0,45242,Kevin Yu,119.63,15193.61,127
33,0,54421,Garrick Higgo,119.58,40657.92,340
34,0,36699,Patrick Rodgers,119.49,40386.84,338
35,0,55893,Sam Stevens,119.47,41218.51,345
36,0,47504,Sam Burns,119.38,31993.29,268
