RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,29535,Brice Garnett,2.698,292.885,108.546,236,0215403388
2,0,26596,Ryan Moore,2.697,288.002,106.782,286,0190703470
3,0,19803,Ryan Armour,2.693,285.902,106.146,272,0106203195
4,0,33410,Andrew Landry,2.689,292.585,108.793,251,0226603260
4,0,26476,Chez Reavie,2.689,290.060,107.868,357,0208203291
6,0,32640,Troy Merritt,2.686,296.712,110.482,284,0209503265
7,0,25818,Scott Piercy,2.685,296.016,110.251,301,0220203333
8,0,45609,Tyler Duncan,2.683,299.821,111.750,277,0206803315
9,0,31560,Brian Stuard,2.682,277.085,103.298,204,0213403195
10,0,51890,Greyson Sigg,2.681,296.343,110.546,359,0167603184
11,0,48084,Wesley Bryan,2.680,307.149,114.587,126,0195303183
11,0,25686,Jason Dufner,2.680,302.322,112.814,276,0000703239
11,0,27644,Brian Harman,2.680,295.029,110.076,321,0180503400
11,0,58696,Peter Kuest,2.680,324.986,121.283,127,0217403067
15,0,22056,Cameron Percy,2.679,293.816,109.694,204,0224303197
16,0,23108,Matt Kuchar,2.678,295.768,110.463,365,0208903307
17,0,47128,Richy Werenski,2.677,302.818,113.109,308,0199103116
18,0,57362,Austin Eckroat,2.674,303.461,113.480,282,0004703157
19,0,51950,Max McGreevy,2.673,292.855,109.570,271,0197803280
20,0,47079,Harrison Endycott,2.672,294.890,110.371,270,0136503266
21,0,12716,Charley Hoffman,2.670,308.205,115.418,232,0198503185
21,0,29908,C.T. Pan,2.670,298.142,111.672,180,0181103153
23,0,32816,Satoshi Kodaira,2.668,287.924,107.898,169,0220603259
23,0,50095,Austin Smotherman,2.668,303.348,113.691,315,0212903305
25,0,52375,Doug Ghim,2.667,300.419,112.652,237,0209603121
26,0,28775,Nate Lashley,2.666,297.785,111.690,339,0192903143
27,0,20229,Stewart Cink,2.665,308.775,115.882,275,0182103133
27,0,32102,Rickie Fowler,2.665,309.956,116.318,277,0223603198
27,0,35879,Kelly Kraft,2.665,288.812,108.377,340,0190403220
30,0,31646,Emiliano Grillo,2.664,299.984,112.616,359,0015303115
30,0,55182,Tom Kim,2.664,299.412,112.403,306,0168103214
30,0,39324,J.J. Spaun,2.664,301.103,113.036,357,0197303242
33,0,34563,Chesson Hadley,2.663,302.817,113.706,299,0210803249
34,0,33141,Keegan Bradley,2.662,306.617,115.176,265,0222403181
35,0,49960,Sepp Straka,2.661,299.897,112.681,291,0203403214
36,0,25900,Lucas Glover,2.660,296.029,111.298,334,0200203244
36,0,49766,Hank Lebioda,2.660,300.168,112.850,156,0204703285
38,0,45242,Kevin Yu,2.659,318.077,119.635,127,0217803122
39,0,35901,Paul Haley II,2.658,285.972,107.581,279,0124203311
39,0,35461,Beau Hossler,2.658,305.186,114.828,347,0183303091
41,0,30927,Brendon Todd,2.655,284.975,107.343,373,0147803293
42,0,55708,Hayden Buckley,2.654,303.415,114.304,248,0158303167
43,0,49298,Kramer Hickok,2.653,298.318,112.440,311,0110203154
44,0,36326,David Lipsky,2.652,293.506,110.656,344,0165503332
44,0,25632,Jimmy Walker,2.652,308.454,116.296,309,0146603176
46,0,30926,Chris Kirk,2.651,298.360,112.541,308,0216803360
47,0,34076,Joel Dahmen,2.649,296.595,111.945,278,0184303309
47,0,31557,Jim Herman,2.649,293.212,110.679,246,0206203238
47,0,49771,J.T. Poston,2.649,298.803,112.786,321,0149203126
47,0,29221,Webb Simpson,2.649,300.143,113.316,227,0186603227
51,0,56630,Akshay Bhatia,2.648,306.696,115.824,217,0221503117
51,0,34363,Tyrrell Hatton,2.648,307.555,116.147,287,0199303103
51,0,24024,Zach Johnson,2.648,288.042,108.769,218,0140403242
54,0,34098,Russell Henley,2.647,293.395,110.858,300,0186003145
54,0,27963,Chris Stroud,2.647,289.379,109.329,148,0215302994
54,0,52513,Carson Young,2.647,296.835,112.138,296,0188103282
57,0,33948,Byeong Hun An,2.642,316.416,119.748,347,0187803456
57,0,24140,Sean O'Hair,2.642,298.397,112.946,113,0216603235
59,0,47988,Nick Hardy,2.641,311.204,117.820,350,0143203135
59,0,25493,Nick Taylor,2.641,295.893,112.049,306,0166003123
59,0,33448,Justin Thomas,2.641,307.164,116.317,258,0131703093
62,0,27974,Sung Kang,2.640,294.860,111.678,122,0210603326
62,0,39975,Michael Kim,2.640,305.212,115.613,281,0221703108
64,0,27214,Kevin Streelman,2.639,298.270,113.035,334,0208903219
65,0,51349,Nico Echavarria,2.638,299.324,113.473,240,0211203304
65,0,59018,Ryan Gerard,2.638,298.218,113.046,164,0186103095
65,0,39971,Sungjae Im,2.638,300.678,113.974,371,0169003114
68,0,49453,Trevor Cone,2.637,317.035,120.238,249,0216903341
68,0,32448,James Hahn,2.637,300.465,113.930,309,0204903231
68,0,54783,Dylan Wu,2.637,299.663,113.618,301,0187903159
71,0,47993,Denny McCarthy,2.636,297.982,113.027,316,0175303122
71,0,51997,Andrew Novak,2.636,301.747,114.457,263,0109403177
73,0,48887,Matt Wallace,2.635,305.834,116.047,235,0163803077
73,0,32139,Danny Willett,2.635,293.763,111.493,207,0214603309
75,0,52955,Ludvig Åberg,2.634,316.710,120.256,162,0196303127
75,0,33408,Tyson Alexander,2.634,302.556,114.847,281,0207103104
75,0,52374,Brandon Wu,2.634,296.968,112.742,305,0224703182
78,0,31202,William McGirt,2.633,282.789,107.414,156,0218103108
78,0,58168,Davis Thompson,2.633,311.407,118.249,295,0219403123
80,0,37455,Si Woo Kim,2.632,298.712,113.489,407,0202003118
81,0,45157,Cam Davis,2.631,309.202,117.526,283,0134503069
82,0,35449,Adam Long,2.630,289.144,109.947,372,0194503264
82,0,28237,Rory McIlroy,2.630,327.243,124.419,228,0216703105
82,0,46441,Robby Shelton,2.630,296.788,112.829,307,0208703220
82,0,46340,Alex Smalley,2.630,303.897,115.563,346,0000103179
86,0,36799,Stephan Jaeger,2.626,306.541,116.744,389,0189203141
86,0,46970,Jon Rahm,2.626,314.306,119.684,242,0218903165
86,0,47983,Chad Ramey,2.626,295.823,112.661,376,0082003188
89,0,46435,Austin Cook,2.625,283.734,108.072,243,0188603277
89,0,40162,Justin Lower,2.625,297.790,113.425,324,0200503167
91,0,29420,Billy Horschel,2.623,300.334,114.497,205,0165403159
92,0,23320,Ryan Palmer,2.622,302.209,115.240,269,0099603171
93,0,33399,Adam Hadwin,2.620,296.401,113.140,322,0211503105
93,0,55454,Carl Yuan,2.620,310.935,118.662,264,0156503137
95,0,40250,Taylor Pendrith,2.619,312.353,119.270,345,0104903144
96,0,52453,Nicolai Hojgaard,2.618,312.748,119.458,129,0169103091
96,0,39546,Keith Mitchell,2.618,312.444,119.349,290,0214103166
96,0,30692,Scott Stallings,2.618,304.919,116.464,230,0154103136
99,0,45522,Christiaan Bezuidenhout,2.617,292.784,111.874,314,0207903242
99,0,32757,Patton Kizzire,2.617,300.578,114.850,328,0154403279
99,0,34409,David Lingmerth,2.617,278.379,106.376,237,0205203107
99,0,36724,Augusto Núñez,2.617,311.930,119.216,218,0218703171
99,0,47995,Davis Riley,2.617,306.964,117.294,303,0142403073
104,0,35450,Patrick Cantlay,2.616,308.382,117.862,249,0215203116
105,0,27554,Scott Harrington,2.615,311.797,119.240,236,0201903188
105,0,33597,Harry Higgs,2.615,303.148,115.946,226,0198203507
105,0,33204,Shane Lowry,2.615,302.746,115.778,217,0157503175
108,0,39067,MJ Daffue,2.614,314.296,120.238,273,0210703168
108,0,33122,Russell Knox,2.614,287.161,109.857,341,0135203207
108,0,34466,Peter Malnati,2.614,299.119,114.446,326,0207803181
108,0,50525,Collin Morikawa,2.614,298.631,114.255,242,0174503106
112,0,39954,Cody Gribble,2.613,303.625,116.194,178,0196103155
112,0,35617,Martin Trainer,2.613,306.342,117.219,154,0212003335
114,0,34099,Harris English,2.612,303.353,116.153,291,0207303139
115,0,57975,Harry Hall,2.610,302.452,115.890,268,0105303653
115,0,30163,Henrik Norlander,2.610,298.262,114.296,243,0179603231
117,0,32366,Kevin Chappell,2.609,303.348,116.262,155,0206703169
117,0,35506,Mackenzie Hughes,2.609,300.290,115.114,300,0148403044
119,0,32791,K.H. Lee,2.607,300.493,115.272,324,0006303141
120,0,32839,Hideki Matsuyama,2.604,298.833,114.769,311,0146203118
121,0,39997,Corey Conners,2.603,302.718,116.279,338,0202303119
121,0,40098,Matt Fitzpatrick,2.603,304.420,116.969,261,0169603092
123,0,46717,Viktor Hovland,2.602,307.572,118.211,269,0127303090
124,0,54628,Lee Hodges,2.601,301.673,115.964,375,0196503262
124,0,55893,Sam Stevens,2.601,310.798,119.474,345,0201803061
126,0,24925,Jonathan Byrd,2.600,292.566,112.537,124,0208603080
