"course_id","facility_name","course_name","city","state","course_details_path"
"29674","Indian Palms Country Club and Resort","Indian Palms Country Club and Resort - Mountain/Indian","Indio","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=29674"
"2634","Indian Palms Country Club and Resort","Indian Palms Country Club and Resort - Mountain/Royal","Indio","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2634"
"2635","Indian Palms Country Club and Resort","Indian Palms Country Club and Resort - Royal/Indian","Indio","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2635"
"29675","Indian Palms Country Club and Resort","Indian Palms Country Club and Resort - Royal/Mountain","Indio","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=29675"
"2644","Indian Ridge Country Club","Indian Ridge Country Club - ARROYO","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2644"
"2643","Indian Ridge Country Club","Indian Ridge Country Club - GROVE","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2643"
"2716","Indian Valley GC","Indian Valley GC","Novato","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2716"
"2389","Indian Wells Country Club","Indian Wells Country Club - CLASSIC","Indian Wells","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2389"
"2390","Indian Wells Country Club","Indian Wells Country Club - COVE","Indian Wells","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2390"
"14772","Indian Wells Country Club","Indian Wells Country Club - OLD COURSE","Indian Wells","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14772"
"5644","Indian Wells Golf Resort","Indian Wells Golf Resort - Celebrity","Indian Wells","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5644"
"5643","Indian Wells Golf Resort","Indian Wells Golf Resort - Players","Indian Wells","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5643"
"2378","Industry Hills Golf Club","Industry Hills Golf Club - The BABE","City of Industry","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2378"
"2377","Industry Hills Golf Club","Industry Hills Golf Club - The IKE","City of Industry","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2377"
"2517","Ironwood Country Club","Ironwood Country Club - NORTH","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2517"
"2516","Ironwood Country Club","Ironwood Country Club - SOUTH","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2516"
"2553","Ivey Ranch Country Club","Ivey Ranch Country Club","Thousand Palms","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2553"
"14282","Jack Tone GC","Jack Tone GC","Ripon","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14282"
"2575","Journey at Pechanga","Journey at Pechanga","Temecula","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2575"
"2166","Jurupa Hills Country Club","Jurupa Hills Country Club","Riverside","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2166"
"13426","Kern River Golf Course","Kern River Golf Course","Bakersfield","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=13426"
"2731","King City GC","King City GC","King City","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2731"
"7765","Kings CC","Kings CC","Hanford","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7765"
"14281","Kings River GCC","Kings River GCC","Kingsburg","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14281"
"2173","Knollwood Country Club","Knollwood Country Club","Granada Hills","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2173"
"5675","La Canada-Flintridge Country Club","La Canada-Flintridge Country Club","La Canada","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5675"
"2802","La Contenta GC","La Contenta GC","Valley Springs","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2802"
"2380","La Costa Resort & Spa","La Costa Resort & Spa - NORTH","Carlsbad","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2380"
"2379","La Costa Resort & Spa","La Costa Resort & Spa - SOUTH","Carlsbad","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2379"
"2508","La Cumbre Country Club","La Cumbre Country Club","Santa Barbara","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2508"
"2457","La Jolla Country Club","La Jolla Country Club","La Jolla","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2457"
"2183","La Mirada Golf Course","La Mirada Golf Course","La Mirada","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2183"
"2595","La Purisima Golf Course","La Purisima Golf Course","Lompoc","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2595"
"7760","La Rinconada CC","La Rinconada CC","Los Gatos","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7760"
"4684","La Valle Coastal Club","La Valle Coastal Club - EAST 9","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=4684"
"29878","La Valle Coastal Club","La Valle Coastal Club - EAST/NORTH","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=29878"
"2485","La Valle Coastal Club","La Valle Coastal Club - EAST/SOUTH","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2485"
"4685","La Valle Coastal Club","La Valle Coastal Club - NORTH 9","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=4685"
"2486","La Valle Coastal Club","La Valle Coastal Club - NORTH/EAST","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2486"
"29879","La Valle Coastal Club","La Valle Coastal Club - NORTH/SOUTH","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=29879"
"4686","La Valle Coastal Club","La Valle Coastal Club - SOUTH 9","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=4686"
"29877","La Valle Coastal Club","La Valle Coastal Club - SOUTH/EAST","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=29877"
"2487","La Valle Coastal Club","La Valle Coastal Club - SOUTH/NORTH","Rancho Santa Fe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2487"
"33841","Ladera Golf Club","Ladera Golf Club","Thermal","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=33841"
"2800","Laguna Seca GC","Laguna Seca GC","Monterey","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2800"
"31959","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 1 & 2","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31959"
"31964","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 1 & 3","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31964"
"31962","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 2 & 1","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31962"
"31960","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 2 & 3","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31960"
"31961","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 3 & 1","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31961"
"31963","Laguna Woods Golf Club","Laguna Woods Golf Club - Course 3 & 2","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31963"
"34007","Laguna Woods Golf Club","Laguna Woods Golf Club - PAR 3 COURSE","Laguna Woods","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=34007"
"7825","Lahontan GC","Lahontan GC","Truckee","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7825"
"33895","Lahontan GC","Lahontan GC - Par 3 Course","Truckee","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=33895"
"2687","Lake Almanor CC","Lake Almanor CC","Lake Almanor","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2687"
"2736","Lake Almanor West GC","Lake Almanor West GC","Chester","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2736"
"2510","Lake Arrowhead Country Club","Lake Arrowhead Country Club","Lake Arrowhead","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2510"
