RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,21209,Sergio Garcia,158.9,514881.000,90
2,0,23552,Hank Kuehne,172.2,1270966.000,205
3,0,20157,Retief Goosen,187.6,837514.000,124
4,0,06522,Ernie Els,188.0,642886.000,95
5,0,06567,Vijay Singh,191.3,1418387.000,206
6,0,01249,John Daly,193.4,925880.000,133
7,0,01810,Phil Mickelson,194.4,874619.000,125
8,0,06809,Bob Burns,194.7,756872.000,108
9,0,20094,Jonathan Kaye,194.9,996126.000,142
10,0,25450,Ty Tryon,197.7,818562.000,115
11,0,01723,Andrew Magee,199.8,1294384.000,180
12,0,19825,Darren Clarke,200.1,713048.000,99
13,0,10107,Deane Pappas,200.8,1185379.000,164
14,0,10585,Scott McCarron,202.0,1141704.000,157
15,0,01706,Davis Love III,202.3,1041669.000,143
16,0,25031,Andy Miller,202.5,1137077.000,156
17,0,12661,Todd Barranger,203.6,1150651.000,157
18,0,23621,Rory Sabbatini,204.1,1146383.000,156
19,0,10425,Jay Williamson,204.3,933982.000,127
20,0,10912,Craig Perks,204.8,921755.000,125
21,0,20663,Brenden Pappas,205.4,1545147.000,209
22,0,08793,Tiger Woods,205.5,1057701.000,143
23,0,21633,Steve Allan,205.9,748682.000,101
23,0,19824,Craig Barlow,205.9,1356718.000,183
25,0,01577,Lee Janzen,206.2,809167.000,109
26,0,12823,Carlos Franco,206.7,1793523.000,241
26,0,20127,Chris Riley,206.7,811074.000,109
28,0,23614,Rich Beem,206.8,967788.000,130
29,0,23353,J.J. Henry,207.0,1460663.000,196
30,0,07749,Brett Quigley,207.2,1186081.000,159
31,0,20634,Peter Lonard,207.9,1085227.000,145
32,0,22371,Aaron Baddeley,208.1,898782.000,120
33,0,10885,Robert Allenby,208.4,1125094.000,150
33,0,02106,Chris Smith,208.4,1358032.000,181
35,0,01226,Fred Couples,208.8,608798.000,81
36,0,07223,Brian Bateman,209.4,942161.000,125
37,0,26950,John Morgan,209.5,1266871.000,168
38,0,08337,Mike Heinen,209.6,1577169.000,209
39,0,12645,Brent Geiberger,209.9,634764.000,84
39,0,02206,David Toms,209.9,982131.000,130
41,0,20029,Notah Begay III,210.3,1112857.000,147
41,0,23034,Brent Schwarzrock,210.3,1037112.000,137
43,0,20436,Garrett Willis,210.5,1485375.000,196
44,0,01685,J.L. Lewis,210.8,1229661.000,162
45,0,25692,Akio Sadakata,210.9,987032.000,130
46,0,20572,Rod Pampling,211.1,1124534.000,148
46,0,02002,John Riegger,211.1,744801.000,98
46,0,24502,Adam Scott,211.1,463640.000,61
49,0,24925,Jonathan Byrd,211.4,1445935.000,190
50,0,01132,Mark Brooks,211.5,677737.000,89
51,0,20229,Stewart Cink,211.6,1089166.000,143
52,0,06515,Shaun Micheel,211.7,1203884.000,158
53,0,24357,K.J. Choi,212.0,1351081.000,177
54,0,22295,Darron Stiles,212.1,1282784.000,168
55,0,08375,Paul Stankowski,212.3,985754.000,129
56,0,21806,Paul Gow,212.6,964385.000,126
56,0,21961,Charles Howell III,212.6,1561226.000,204
58,0,12782,Tim Herron,212.8,1394263.000,182
59,0,20472,Alex Cejka,212.9,1119059.000,146
59,0,01707,Steve Lowery,212.9,1080478.000,141
61,0,20121,Todd Fischer,213.0,1119773.000,146
62,0,22913,John Rollins,213.1,943672.000,123
63,0,20498,Briny Baird,213.2,1381486.000,180
64,0,20098,Stuart Appleby,213.5,1145472.000,149
65,0,01035,Tommy Armour III,213.8,769517.000,100
65,0,01042,Paul Azinger,213.8,877450.000,114
67,0,01945,Kenny Perry,214.0,1163104.000,151
67,0,11011,Mike Sposa,214.0,963121.000,125
69,0,01388,Robert Gamez,214.2,1595930.000,207
70,0,06621,Joe Durant,214.4,1343132.000,174
70,0,01307,Joel Edwards,214.4,725631.000,94
70,0,22892,Jason Gore,214.4,1150083.000,149
73,0,12388,Michael Clark II,214.5,648664.000,84
74,0,06575,Dudley Hart,215.0,758577.000,98
74,0,06332,Neal Lancaster,215.0,1571250.000,203
76,0,08633,Per-Ulrik Johansson,215.1,1347455.000,174
76,0,10423,Mike Weir,215.1,913736.000,118
78,0,02214,Kirk Triplett,215.2,1030614.000,133
79,0,01724,Jeff Maggert,215.3,999735.000,129
80,0,23108,Matt Kuchar,215.4,682230.000,88
