RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,19825,Darren Clarke,77.17,98,29,-60,-1
2,0,23552,Hank Kuehne,74.39,183,63,-118,+4
3,0,08793,Tiger Woods,74.33,139,48,-112,-5
4,0,20157,Retief Goosen,72.12,119,46,-77,-4
5,0,10885,Robert Allenby,70.59,144,60,-90,-3
6,0,06567,Vijay Singh,70.57,199,83,-138,-19
7,0,12823,Carlos Franco,70.21,231,98,-150,-3
8,0,01249,John Daly,69.77,120,52,-68,+1
9,0,23034,Brent Schwarzrock,69.59,135,59,-68,+2
10,0,20574,Mathew Goggin,67.25,193,94,-92,+5
11,0,21209,Sergio Garcia,67.20,84,41,-60,+2
12,0,08337,Mike Heinen,65.48,203,107,-100,-15
13,0,24925,Jonathan Byrd,65.47,182,96,-117,+9
14,0,01706,Davis Love III,65.09,138,74,-91,-3
15,0,01810,Phil Mickelson,65.03,119,64,-87,+15
16,0,10585,Scott McCarron,64.94,150,81,-78,-10
17,0,20095,Carl Paulson,64.04,219,123,-114,-20
18,0,25450,Ty Tryon,63.74,109,62,-51,+6
19,0,21805,Harrison Frazar,63.50,174,100,-95,-3
20,0,07867,Woody Austin,63.42,215,124,-114,-9
21,0,10107,Deane Pappas,62.95,158,93,-95,+10
22,0,26950,John Morgan,62.60,164,98,-86,-1
23,0,06522,Ernie Els,62.50,90,54,-61,-7
24,0,20645,John Senden,62.21,214,130,-134,-6
25,0,21961,Charles Howell III,62.19,199,121,-120,-17
26,0,23614,Rich Beem,62.00,124,76,-60,+6
27,0,20663,Brenden Pappas,61.59,202,126,-138,+5
28,0,24357,K.J. Choi,61.57,173,108,-115,-20
29,0,02106,Chris Smith,61.32,176,111,-91,+3
30,0,12661,Todd Barranger,61.13,151,96,-95,+21
31,0,22295,Darron Stiles,60.97,164,105,-88,-9
32,0,01723,Andrew Magee,60.27,176,116,-83,-14
33,0,25031,Andy Miller,59.92,148,99,-87,+7
34,0,10565,Ian Leggatt,59.91,130,87,-78,+1
35,0,12510,Chad Campbell,59.86,170,114,-121,-9
36,0,08123,Jeff Brehaut,59.83,213,143,-135,-6
37,0,21633,Steve Allan,59.64,99,67,-45,+16
38,0,08075,Jerry Kelly,59.49,185,126,-106,-14
39,0,20098,Stuart Appleby,59.27,147,101,-93,E
40,0,22371,Aaron Baddeley,59.09,117,81,-80,+1
41,0,12782,Tim Herron,59.06,176,122,-103,E
42,0,20572,Rod Pampling,58.94,145,101,-74,-13
43,0,12660,Jesper Parnevik,58.89,169,118,-98,-8
44,0,10423,Mike Weir,58.76,114,80,-54,-12
45,0,01945,Kenny Perry,58.66,149,105,-90,-21
46,0,01677,Tom Lehman,58.48,131,93,-81,-2
