RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,01810,Phil Mickelson,2172.000
2,0,25686,Jason Dufner,1883.199
3,0,10809,Jim Furyk,921.040
4,0,08793,Tiger Woods,676.623
5,0,27649,Brandt Snedeker,551.697
6,0,24024,Zach Johnson,496.827
7,0,24781,Hunter Mahan,483.288
8,0,23108,Matt Kuchar,462.226
9,0,06527,Steve Stricker,432.712
10,0,02206,David Toms,404.600
11,0,25818,Scott Piercy,322.320
12,0,34174,John Huh,307.591
13,0,32102,Rickie Fowler,293.697
14,0,29420,Billy Horschel,291.406
15,0,33141,Keegan Bradley,206.530
16,0,23623,Bo Van Pelt,201.140
17,0,01226,Fred Couples,184.851
18,0,26289,Boo Weekley,152.863
19,0,27214,Kevin Streelman,150.039
20,0,24924,Bill Haas,148.670
21,0,27095,Nick Watney,145.600
22,0,32200,Roberto Castro,132.786
23,0,32150,Michael Thompson,131.040
24,0,29221,Webb Simpson,125.081
25,0,10860,Justin Leonard,121.381
26,0,20229,Stewart Cink,112.913
27,0,34099,Harris English,110.743
28,0,25804,Bubba Watson,105.977
29,0,24358,Robert Garrigus,90.750
30,0,26596,Ryan Moore,88.151
31,0,25240,D.A. Points,60.000
32,0,27330,Josh Teater,57.307
33,0,12716,Charley Hoffman,56.961
34,0,32366,Kevin Chappell,47.246
34,0,24940,Edward Loar,47.246
36,0,30692,Scott Stallings,40.346
37,0,34021,Bud Cauley,39.251
38,0,08075,Jerry Kelly,37.324
38,0,34261,Scott Langley,37.324
40,0,35541,John Peterson,35.725
41,0,20104,Ken Duke,35.385
42,0,22621,Ben Curtis,34.435
43,0,19846,Brian Gay,32.000
44,0,23353,J.J. Henry,28.000
45,0,34046,Jordan Spieth,24.641
46,0,20070,Matt Bettencourt,23.446
47,0,28780,Nicholas Thompson,21.485
48,0,25900,Lucas Glover,20.800
49,0,33418,Shawn Stefani,20.111
50,0,01677,Tom Lehman,20.077
50,0,01887,Mark O'Meara,20.077
50,0,26951,Johnson Wagner,20.077
53,0,35539,Luke Guthrie,18.875
53,0,27933,John Merrick,18.875
53,0,23320,Ryan Palmer,18.875
56,0,31557,Jim Herman,17.965
56,0,06595,Kevin Sutherland,17.965
58,0,25396,Kevin Na,17.920
59,0,01473,Todd Hamilton,17.864
59,0,34098,Russell Henley,17.864
61,0,30110,Kyle Stanley,16.523
62,0,30926,Chris Kirk,16.300
63,0,30750,Tommy Gainey,15.700
64,0,31323,Gary Woodland,14.600
