RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,22371,Aaron Baddeley,1.39%,20,1440
2,0,47591,Eric Cole,1.50%,34,2268
2,0,46442,Maverick McNealy,1.50%,17,1134
4,0,45522,Christiaan Bezuidenhout,1.62%,26,1602
5,0,28237,Rory McIlroy,1.65%,19,1152
6,0,28089,Jason Day,1.67%,24,1440
7,0,30926,Chris Kirk,1.69%,28,1656
8,0,47504,Sam Burns,1.71%,25,1458
9,0,27644,Brian Harman,1.73%,29,1674
10,0,31560,Brian Stuard,1.75%,23,1314
11,0,33141,Keegan Bradley,1.76%,26,1476
12,0,35461,Beau Hossler,1.77%,35,1980
13,0,28775,Nate Lashley,1.82%,35,1926
13,0,30927,Brendon Todd,1.82%,34,1872
15,0,33399,Adam Hadwin,1.83%,29,1584
15,0,28252,Seamus Power,1.83%,27,1476
17,0,39058,Lucas Herbert,1.88%,21,1116
17,0,24502,Adam Scott,1.88%,23,1224
19,0,31202,William McGirt,1.89%,18,954
20,0,55789,Taylor Montgomery,1.91%,35,1836
21,0,51349,Nico Echavarria,1.92%,27,1404
22,0,52453,Nicolai Hojgaard,1.93%,16,828
22,0,27974,Sung Kang,1.93%,17,882
22,0,27349,Alex Noren,1.93%,32,1656
25,0,51634,Sahith Theegala,1.94%,37,1908
26,0,30911,Tommy Fleetwood,1.95%,26,1332
26,0,37275,Sam Ryder,1.95%,39,1998
28,0,40098,Matt Fitzpatrick,1.98%,26,1314
28,0,33597,Harry Higgs,1.98%,30,1512
30,0,52955,Ludvig Åberg,2.00%,18,900
31,0,35506,Mackenzie Hughes,2.06%,33,1602
31,0,51890,Greyson Sigg,2.06%,39,1890
33,0,34363,Tyrrell Hatton,2.07%,29,1404
33,0,39977,Max Homa,2.07%,32,1548
33,0,26596,Ryan Moore,2.07%,31,1494
36,0,23108,Matt Kuchar,2.08%,34,1638
36,0,40250,Taylor Pendrith,2.08%,37,1782
36,0,46046,Scottie Scheffler,2.08%,33,1584
36,0,47128,Richy Werenski,2.08%,37,1782
40,0,25493,Nick Taylor,2.09%,35,1674
41,0,35879,Kelly Kraft,2.10%,34,1620
41,0,34256,Andrew Putnam,2.10%,42,1998
43,0,36699,Patrick Rodgers,2.12%,39,1836
44,0,33653,Thomas Detry,2.13%,38,1782
45,0,35450,Patrick Cantlay,2.16%,28,1296
46,0,49771,J.T. Poston,2.17%,39,1800
47,0,57975,Harry Hall,2.18%,40,1836
48,0,46441,Robby Shelton,2.19%,41,1872
48,0,50493,Justin Suh,2.19%,45,2052
50,0,24024,Zach Johnson,2.21%,27,1224
50,0,34409,David Lingmerth,2.21%,35,1584
50,0,29289,S.Y. Noh,2.21%,27,1224
53,0,51766,Wyndham Clark,2.23%,41,1836
54,0,35532,Tom Hoge,2.24%,42,1872
54,0,33204,Shane Lowry,2.24%,25,1116
56,0,31646,Emiliano Grillo,2.26%,46,2034
56,0,35449,Adam Long,2.26%,46,2034
58,0,32366,Kevin Chappell,2.28%,23,1008
59,0,20229,Stewart Cink,2.29%,33,1440
59,0,49960,Sepp Straka,2.29%,38,1656
61,0,39971,Sungjae Im,2.30%,43,1872
62,0,34046,Jordan Spieth,2.31%,30,1296
63,0,33948,Byeong Hun An,2.33%,44,1890
63,0,32757,Patton Kizzire,2.33%,42,1800
63,0,48081,Xander Schauffele,2.33%,34,1458
66,0,55182,Tom Kim,2.35%,38,1620
67,0,19803,Ryan Armour,2.36%,39,1656
67,0,48699,Callum Tarren,2.36%,42,1782
67,0,52513,Carson Young,2.36%,42,1782
70,0,36801,Mark Hubbard,2.39%,50,2088
70,0,47993,Denny McCarthy,2.39%,43,1800
72,0,46717,Viktor Hovland,2.40%,38,1584
72,0,32139,Danny Willett,2.40%,29,1206
74,0,34099,Harris English,2.41%,42,1746
74,0,39975,Michael Kim,2.41%,42,1746
76,0,52374,Brandon Wu,2.42%,50,2070
77,0,32102,Rickie Fowler,2.43%,42,1728
77,0,32448,James Hahn,2.43%,35,1440
79,0,34098,Russell Henley,2.45%,37,1512
80,0,33408,Tyson Alexander,2.46%,42,1710
80,0,51997,Andrew Novak,2.46%,42,1710
82,0,29970,Dylan Frittelli,2.49%,35,1404
82,0,32791,K.H. Lee,2.49%,48,1926
84,0,47988,Nick Hardy,2.50%,53,2124
84,0,37455,Si Woo Kim,2.50%,45,1800
86,0,34466,Peter Malnati,2.51%,43,1710
87,0,54591,Ben Griffin,2.52%,54,2142
87,0,55893,Sam Stevens,2.52%,48,1908
89,0,34563,Chesson Hadley,2.54%,43,1692
89,0,33413,Ben Martin,2.54%,47,1854
91,0,58168,Davis Thompson,2.55%,44,1728
92,0,39997,Corey Conners,2.58%,40,1548
93,0,54628,Lee Hodges,2.60%,50,1926
93,0,40162,Justin Lower,2.60%,51,1962
95,0,57362,Austin Eckroat,2.61%,46,1764
95,0,12716,Charley Hoffman,2.61%,38,1458
97,0,48119,Ben Taylor,2.62%,50,1908
98,0,33410,Andrew Landry,2.64%,38,1440
98,0,49947,Taylor Moore,2.64%,48,1818
100,0,29535,Brice Garnett,2.65%,41,1548
100,0,50188,S.H. Kim,2.65%,53,1998
102,0,34431,Robert Streb,2.67%,39,1458
103,0,32839,Hideki Matsuyama,2.68%,42,1566
103,0,58967,Trevor Werbylo,2.68%,40,1494
105,0,29420,Billy Horschel,2.69%,31,1152
105,0,36799,Stephan Jaeger,2.69%,59,2196
107,0,47347,Adam Schenk,2.71%,58,2142
108,0,40115,Adam Svensson,2.73%,60,2196
108,0,54783,Dylan Wu,2.73%,52,1908
110,0,50525,Collin Morikawa,2.74%,40,1458
111,0,47983,Chad Ramey,2.75%,50,1818
112,0,40058,Zac Blair,2.78%,39,1404
112,0,33122,Russell Knox,2.78%,57,2052
112,0,22405,Justin Rose,2.78%,34,1224
112,0,57366,Cameron Young,2.78%,43,1548
116,0,54421,Garrick Higgo,2.80%,52,1854
117,0,23320,Ryan Palmer,2.81%,40,1422
118,0,34255,Joseph Bramlett,2.85%,41,1440
119,0,46414,Aaron Rai,2.86%,54,1890
119,0,34610,Matthias Schwab,2.86%,53,1854
121,0,46340,Alex Smalley,2.88%,58,2016
122,0,32662,Michael Gligic,2.89%,38,1314
123,0,56762,Will Gordon,2.90%,58,1998
123,0,51950,Max McGreevy,2.90%,48,1656
123,0,39546,Keith Mitchell,2.90%,49,1692
123,0,46970,Jon Rahm,2.90%,37,1278
127,0,55708,Hayden Buckley,2.91%,44,1512
128,0,24925,Jonathan Byrd,2.96%,32,1080
129,0,32333,Kevin Tway,2.97%,54,1818
130,0,26476,Chez Reavie,3.01%,52,1728
131,0,58696,Peter Kuest,3.02%,25,828
131,0,48867,Matti Schmid,3.02%,43,1422
131,0,29221,Webb Simpson,3.02%,31,1026
131,0,27963,Chris Stroud,3.02%,31,1026
135,0,25818,Scott Piercy,3.03%,54,1782
136,0,30163,Henrik Norlander,3.05%,50,1638
136,0,39324,J.J. Spaun,3.05%,56,1836
138,0,36326,David Lipsky,3.07%,57,1854
138,0,27095,Nick Watney,3.07%,42,1368
140,0,34076,Joel Dahmen,3.08%,51,1656
141,0,56630,Akshay Bhatia,3.11%,47,1512
141,0,29725,Tony Finau,3.11%,47,1512
143,0,27214,Kevin Streelman,3.13%,54,1728
143,0,40006,Erik van Rooyen,3.13%,44,1404
