RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,01329,Brad Faxon,28.17,2000,71,21
2,0,01320,Bob Estes,28.19,1945,69,23
3,0,01011,Rafael Alarcon,28.28,2234,79,24
3,0,10860,Justin Leonard,28.28,2743,97,22
5,0,01960,Don Pooley,28.32,2039,72,23
6,0,01096,Phil Blackmar,28.38,2554,90,22
7,0,01196,Brian Claar,28.41,1676,59,23
7,0,02131,Mike Springer,28.41,1875,66,22
9,0,01577,Lee Janzen,28.45,2760,97,24
9,0,01891,David Ogrin,28.45,2731,96,21
11,0,02010,Loren Roberts,28.50,2280,80,24
12,0,02294,Willie Wood,28.51,2452,86,22
13,0,02239,Scott Verplank,28.52,1768,62,23
14,0,01489,Steve Hart,28.54,1969,69,24
15,0,01346,Ed Fiori,28.56,1428,50,24
15,0,10809,Jim Furyk,28.56,2685,94,25
17,0,01116,Michael Bradley,28.57,2400,84,21
18,0,02206,David Toms,28.58,2515,88,22
19,0,06581,David Sutherland,28.63,2348,82,23
19,0,02225,Howard Twitty,28.63,1374,48,22
21,0,01353,Bruce Fleisher,28.64,1747,61,23
21,0,02007,Larry Rinker,28.64,2807,98,22
23,0,01374,Robin Freeman,28.66,1863,65,22
24,0,08931,Glen Day,28.68,2294,80,23
25,0,10569,Mike Brisky,28.70,2870,100,23
25,0,01306,David Edwards,28.70,2009,70,21
27,0,01098,Jay Don Blake,28.71,2613,91,21
27,0,08537,J.P. Hayes,28.71,2727,95,22
29,0,01905,Joe Ozaki,28.72,1867,65,21
30,0,02146,Payne Stewart,28.73,2385,83,21
30,0,02242,Lanny Wadkins,28.73,2040,71,22
32,0,02115,Taylor Smith,28.74,2328,81,23
33,0,01475,Donnie Hammond,28.75,1955,68,23
34,0,07547,Craig Kanada,28.76,1553,54,22
34,0,12663,Phil Tataurangi,28.76,2186,76,24
36,0,01201,Lennie Clements,28.77,2532,88,23
37,0,01378,David Frost,28.78,1928,67,23
37,0,21007,Gabriel Hjertstedt,28.78,2072,72,23
39,0,06577,John Wilson,28.81,2622,91,23
40,0,01072,Chip Beck,28.82,2046,71,22
40,0,12387,Michael Christie,28.82,2738,95,23
40,0,01887,Mark O'Meara,28.82,2104,73,23
43,0,01510,Nolan Henke,28.89,2369,82,23
44,0,06617,Brian Henninger,28.90,2225,77,20
45,0,01533,P.H. Horgan III,28.91,2573,89,22
45,0,01941,Tom Pernice Jr.,28.91,2457,85,21
47,0,12660,Jesper Parnevik,28.92,1909,66,24
47,0,08375,Paul Stankowski,28.92,2863,99,22
49,0,20229,Stewart Cink,28.93,2864,99,24
50,0,01527,Scott Hoch,28.94,2518,87,24
50,0,10585,Scott McCarron,28.94,2286,79,23
50,0,08339,Spike McRoy,28.94,1968,68,24
53,0,08265,Eric Johnson,28.95,2403,83,22
53,0,06012,Greg Kraft,28.95,3011,104,22
55,0,01682,Wayne Levi,28.96,1940,67,25
55,0,11032,Frank Lickliter II,28.96,2462,85,22
55,0,01810,Phil Mickelson,28.96,2085,72,21
58,0,01024,Billy Andrade,28.97,2752,95,24
59,0,09011,David Duval,28.98,2724,94,23
59,0,06332,Neal Lancaster,28.98,2927,101,23
61,0,01968,Nick Price,29.00,1624,56,24
61,0,06527,Steve Stricker,29.00,1595,55,24
63,0,19881,Robert Damron,29.01,2785,96,24
63,0,06034,Marco Dawson,29.01,2466,85,23
63,0,06643,Paul Goydos,29.01,2901,100,22
63,0,01723,Andrew Magee,29.01,2843,98,22
67,0,06522,Ernie Els,29.02,1683,58,25
67,0,02267,D.A. Weibring,29.02,1799,62,24
69,0,01157,Tom Byrum,29.03,2845,98,23
70,0,01093,Ronnie Black,29.04,2468,85,24
70,0,06214,Guy Boros,29.04,2294,79,24
70,0,01331,Rick Fehr,29.04,2004,69,22
70,0,01926,Steve Pate,29.04,2410,83,22
74,0,02095,Larry Silveira,29.05,1714,59,23
75,0,01132,Mark Brooks,29.09,2531,87,22
75,0,07235,John Morse,29.09,2676,92,22
77,0,02133,Craig Stadler,29.12,1951,67,22
78,0,07749,Brett Quigley,29.13,3233,111,23
79,0,01035,Tommy Armour III,29.14,2739,94,23
79,0,12645,Brent Geiberger,29.14,2710,93,24
81,0,20098,Stuart Appleby,29.15,2157,74,22
81,0,01323,Brad Fabel,29.15,2740,94,23
81,0,06595,Kevin Sutherland,29.15,2478,85,23
84,0,08547,John Maginnes,29.16,2945,101,23
85,0,01761,Len Mattiace,29.17,3121,107,24
86,0,01175,Jim Carter,29.18,2860,98,23
86,0,07101,Dave Stockton Jr.,29.18,2889,99,22
88,0,02135,Mike Standly,29.19,2510,86,24
89,0,06315,Pete Jordan,29.20,2949,101,24
89,0,02214,Kirk Triplett,29.20,2570,88,24
91,0,12826,Paul Claxton,29.21,1928,66,24
91,0,01748,Doug Martin,29.21,2979,102,25
93,0,02100,Tim Simpson,29.22,1841,63,22
94,0,10875,Todd Demsey,29.23,2163,74,23
95,0,20099,Doug Barron,29.24,3012,103,22
95,0,06613,Tommy Tolles,29.24,2485,85,23
97,0,01381,Fred Funk,29.25,3364,115,22
97,0,01385,Jim Gallagher Jr.,29.25,2545,87,23
97,0,01457,Jay Haas,29.25,2223,76,25
100,0,10963,Jimmy Green,29.27,2400,82,22
