RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,3RD
1,0,24924,Bill Haas,9,1,1
1,0,27649,Brandt Snedeker,9,2,2,1
1,0,34046,Jordan Spieth,9,1,3
4,0,29420,Billy Horschel,8,1,1,1
4,0,24024,Zach Johnson,8,1,1,1
4,0,23108,Matt Kuchar,8,2,2
4,0,21528,Henrik Stenson,8,2,3,1
4,0,06527,Steve Stricker,8,4
4,0,08793,Tiger Woods,8,5,1
10,0,33141,Keegan Bradley,7,2,1
10,0,28089,Jason Day,7,1,2
10,0,27436,Graham DeLaet,7,1,2
10,0,10809,Jim Furyk,7,1,2
10,0,01810,Phil Mickelson,7,2,2,2
10,0,22405,Justin Rose,7,1,2
16,0,21209,Sergio Garcia,6,1
16,0,30925,Dustin Johnson,6,1,1
16,0,24502,Adam Scott,6,2,2
16,0,20396,Lee Westwood,6,1
20,0,23983,Luke Donald,5,1
20,0,25686,Jason Dufner,5,1
20,0,32102,Rickie Fowler,5,1
20,0,12716,Charley Hoffman,5,1
20,0,21961,Charles Howell III,5,1,1
20,0,26300,Matt Jones,5,1
20,0,24781,Hunter Mahan,5,1
20,0,28237,Rory McIlroy,5,1
20,0,34360,Patrick Reed,5,1
20,0,23621,Rory Sabbatini,5
20,0,26331,Charl Schwartzel,5,2
20,0,29221,Webb Simpson,5,1
20,0,27214,Kevin Streelman,5,1,1,1
20,0,25632,Jimmy Walker,5,1,1
34,0,32200,Roberto Castro,4,1
34,0,21753,Brian Davis,4
34,0,23638,Brendon de Jonge,4
34,0,34099,Harris English,4,1
34,0,28307,Matt Every,4
34,0,30944,Jason Kokrak,4,1
34,0,26851,Marc Leishman,4
34,0,25572,Graeme McDowell,4,1,1
34,0,23320,Ryan Palmer,4
34,0,24361,Pat Perez,4
34,0,25818,Scott Piercy,4,1
34,0,24138,Ian Poulter,4,1
34,0,30692,Scott Stallings,4,1
34,0,27963,Chris Stroud,4,1
34,0,31560,Brian Stuard,4
34,0,25834,Daniel Summerhays,4,1
34,0,27095,Nick Watney,4,1
34,0,26289,Boo Weekley,4,1,1
52,0,32366,Kevin Chappell,3,1
52,0,20229,Stewart Cink,3
52,0,23135,Tim Clark,3,1
52,0,23452,Nicolas Colsaerts,3
52,0,25191,Gonzalo Fernandez-Castaño,3,1
52,0,20766,Padraig Harrington,3
52,0,34098,Russell Henley,3,1
52,0,33461,Morgan Hoffmann,3
52,0,21731,Freddie Jacobson,3,1
52,0,27408,Martin Kaymer,3
52,0,30926,Chris Kirk,3,1
52,0,28092,D.H. Lee,3,1
52,0,34409,David Lingmerth,3,2
52,0,26596,Ryan Moore,3
52,0,25240,D.A. Points,3,1,1
52,0,26679,Kevin Stadler,3,1
52,0,30110,Kyle Stanley,3,2
52,0,27330,Josh Teater,3,1
52,0,32150,Michael Thompson,3,1
52,0,25804,Bubba Watson,3
52,0,21878,Mark Wilson,3,1
73,0,22371,Aaron Baddeley,2
73,0,28259,Sangmoon Bae,2,1
73,0,27895,Jonas Blixt,2,1
73,0,24507,Jason Bohn,2,1
73,0,24227,Justin Bolli,2
73,0,24925,Jonathan Byrd,2,1
73,0,20848,Ángel Cabrera,2,1
73,0,20593,Greg Chalmers,2
73,0,24357,K.J. Choi,2
73,0,23541,Ben Crane,2
73,0,23409,James Driscoll,2
73,0,20104,Ken Duke,2,1
73,0,01320,Bob Estes,2
73,0,28500,Martin Flores,2
73,0,24358,Robert Garrigus,2
73,0,25900,Lucas Glover,2
73,0,35539,Luke Guthrie,2,1
73,0,32448,James Hahn,2,1
73,0,27644,Brian Harman,2,1
73,0,26758,David Hearn,2,1
73,0,23353,J.J. Henry,2
73,0,31557,Jim Herman,2
73,0,34174,John Huh,2,1
73,0,08075,Jerry Kelly,2
73,0,27936,Martin Laird,2,1
73,0,35139,Richard Lee,2
73,0,21099,David Lynn,2,1
73,0,01724,Jeff Maggert,2,1
73,0,32839,Hideki Matsuyama,2
73,0,31202,William McGirt,2,1
73,0,27933,John Merrick,2,1
73,0,33968,Thorbjørn Olesen,2
73,0,28475,Jeff Overton,2
73,0,27556,Ted Potter Jr.,2
73,0,10213,Dicky Pride,2
73,0,22913,John Rollins,2
73,0,25562,Andres Romero,2,1
73,0,29518,Brendan Steele,2
73,0,33418,Shawn Stefani,2
73,0,28780,Nicholas Thompson,2
73,0,27770,Camilo Villegas,2
73,0,26951,Johnson Wagner,2,1
73,0,31323,Gary Woodland,2,1,1
116,0,10885,Robert Allenby,1
116,0,01024,Billy Andrade,1
116,0,20098,Stuart Appleby,1
116,0,07867,Woody Austin,1,1
116,0,12652,Cameron Beckman,1,1
116,0,32334,Charlie Beljan,1,1
116,0,25274,Steven Bowditch,1,1
116,0,29479,Scott Brown,1,1
116,0,12510,Chad Campbell,1
116,0,35450,Patrick Cantlay,1
116,0,24494,Erik Compton,1
116,0,08931,Glen Day,1
116,0,06251,Chris DiMarco,1
116,0,06522,Ernie Els,1
116,0,37273,Derek Ernst,1,1
116,0,27896,Ross Fisher,1
116,0,29740,Brad Fritsch,1
116,0,30750,Tommy Gainey,1
116,0,32698,Bobby Gates,1
116,0,19846,Brian Gay,1,1
116,0,28679,Fabián Gómez,1,1
116,0,29720,Andres Gonzales,1
116,0,20157,Retief Goosen,1
116,0,22792,Peter Hanson,1
116,0,25444,Justin Hicks,1
116,0,22378,Trevor Immelman,1
116,0,30852,Ryo Ishikawa,1
116,0,19958,Miguel Angel Jiménez,1
116,0,19970,Robert Karlsson,1
116,0,36884,Ben Kohles,1
116,0,34261,Scott Langley,1,1
116,0,10860,Justin Leonard,1
116,0,01706,Davis Love III,1
116,0,33204,Shane Lowry,1
116,0,23548,Bill Lunde,1
116,0,22961,David Mathis,1
116,0,01766,Billy Mayfair,1
116,0,25198,Francesco Molinari,1
116,0,29289,S.Y. Noh,1
116,0,22348,Nick O'Hern,1
116,0,22046,Geoff Ogilvy,1,1
116,0,26329,Louis Oosthuizen,1
116,0,35541,John Peterson,1
116,0,01948,Tim Petrovic,1
116,0,25345,Carl Pettersson,1
116,0,29476,Kyle Reifers,1
116,0,23497,Tag Ridings,1
116,0,23481,Marcel Siem,1
116,0,24459,Richard Sterne,1
116,0,23325,Vaughn Taylor,1
116,0,02206,David Toms,1
116,0,23788,D.J. Trahan,1
116,0,33419,Cameron Tringale,1,1
116,0,29484,Peter Uihlein,1
116,0,23623,Bo Van Pelt,1
116,0,28135,Aaron Watkins,1
116,0,20160,Charlie Wi,1
116,0,26497,Casey Wittenberg,1
116,0,22000,Chris Wood,1
