RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,32102,Rickie Fowler,7.78,21,270
2,0,33418,Shawn Stefani,10.04,26,259
3,0,08075,Jerry Kelly,10.50,25,238
4,0,10809,Jim Furyk,11.46,18,157
5,0,20472,Alex Cejka,11.93,29,243
5,0,31560,Brian Stuard,11.93,26,218
7,0,34360,Patrick Reed,12.03,45,374
8,0,34098,Russell Henley,12.08,32,265
9,0,28089,Jason Day,12.15,35,288
10,0,29478,Kevin Kisner,12.20,41,336
11,0,27974,Sung Kang,12.46,36,289
12,0,21961,Charles Howell III,12.61,42,333
13,0,30711,Colt Knost,12.64,34,269
14,0,24846,Ricky Barnes,12.68,43,339
14,0,25572,Graeme McDowell,12.68,26,205
16,0,28237,Rory McIlroy,12.73,34,267
17,0,34046,Jordan Spieth,12.90,40,310
18,0,23108,Matt Kuchar,12.95,47,363
19,0,24924,Bill Haas,12.99,33,254
20,0,32448,James Hahn,13.01,35,269
21,0,20645,John Senden,13.06,38,291
22,0,26851,Marc Leishman,13.15,38,289
23,0,10213,Dicky Pride,13.25,22,166
24,0,27644,Brian Harman,13.39,49,366
25,0,25804,Bubba Watson,13.44,34,253
26,0,24358,Robert Garrigus,13.62,35,257
27,0,25364,Paul Casey,13.64,36,264
28,0,20229,Stewart Cink,13.66,28,205
29,0,31323,Gary Woodland,13.79,44,319
30,0,26951,Johnson Wagner,13.82,42,304
31,0,29974,Branden Grace,13.86,28,202
32,0,28114,Dawie van der Walt,13.87,33,238
33,0,12510,Chad Campbell,13.95,42,301
33,0,23800,Bryce Molder,13.95,36,258
35,0,01810,Phil Mickelson,13.99,40,286
36,0,40058,Zac Blair,14.00,42,300
37,0,25900,Lucas Glover,14.07,38,270
37,0,46440,Smylie Kaufman,14.07,46,327
39,0,30163,Henrik Norlander,14.10,32,227
40,0,31646,Emiliano Grillo,14.11,45,319
40,0,24140,Sean O'Hair,14.11,46,326
42,0,34261,Scott Langley,14.14,27,191
43,0,25396,Kevin Na,14.16,48,339
44,0,32200,Roberto Castro,14.20,49,345
44,0,25240,D.A. Points,14.20,25,176
46,0,28679,Fabián Gómez,14.23,37,260
47,0,29476,Kyle Reifers,14.25,54,379
48,0,29725,Tony Finau,14.29,47,329
48,0,30926,Chris Kirk,14.29,40,280
50,0,31557,Jim Herman,14.33,42,293
50,0,33448,Justin Thomas,14.33,50,349
52,0,30692,Scott Stallings,14.35,33,230
53,0,33122,Russell Knox,14.47,45,311
54,0,24502,Adam Scott,14.53,42,289
54,0,26289,Boo Weekley,14.53,43,296
56,0,26758,David Hearn,14.55,47,323
57,0,34409,David Lingmerth,14.64,41,280
58,0,20572,Rod Pampling,14.77,22,149
59,0,24912,Will MacKenzie,14.80,37,250
60,0,29222,Billy Hurley III,14.81,32,216
61,0,24357,K.J. Choi,14.83,35,236
62,0,27129,Luke List,14.91,41,275
63,0,20098,Stuart Appleby,14.98,34,227
63,0,35879,Kelly Kraft,14.98,31,207
65,0,24024,Zach Johnson,15.05,45,299
66,0,40026,Daniel Berger,15.08,49,325
67,0,29461,Jamie Lovemark,15.22,51,335
67,0,22405,Justin Rose,15.22,35,230
69,0,22046,Geoff Ogilvy,15.26,29,190
70,0,28132,Tyrone Van Aswegen,15.31,49,320
71,0,21209,Sergio Garcia,15.34,29,189
72,0,33410,Andrew Landry,15.44,23,149
73,0,32640,Troy Merritt,15.50,40,258
74,0,24494,Erik Compton,15.54,30,193
75,0,34174,John Huh,15.55,44,283
76,0,30925,Dustin Johnson,15.56,56,360
77,0,32839,Hideki Matsuyama,15.57,45,289
78,0,21731,Freddie Jacobson,15.67,47,300
79,0,26331,Charl Schwartzel,15.71,41,261
80,0,27141,J.B. Holmes,15.73,45,286
81,0,20848,Ángel Cabrera,15.76,29,184
82,0,24507,Jason Bohn,15.77,38,241
83,0,37455,Si Woo Kim,15.82,62,392
84,0,35891,Cameron Smith,15.84,35,221
85,0,27963,Chris Stroud,15.87,43,271
86,0,31202,William McGirt,15.88,54,340
87,0,23983,Luke Donald,15.92,39,245
88,0,26596,Ryan Moore,15.93,47,295
89,0,29221,Webb Simpson,15.98,39,244
90,0,27747,Hiroshi Iwata,16.03,42,262
91,0,27064,Jhonattan Vegas,16.05,52,324
92,0,34099,Harris English,16.10,52,323
92,0,26476,Chez Reavie,16.10,47,292
94,0,29479,Scott Brown,16.11,48,298
95,0,33141,Keegan Bradley,16.13,45,279
96,0,32150,Michael Thompson,16.21,41,253
97,0,30944,Jason Kokrak,16.25,52,320
98,0,22892,Jason Gore,16.27,41,252
98,0,35300,Andrew Loupe,16.27,48,295
100,0,33399,Adam Hadwin,16.38,57,348
101,0,33419,Cameron Tringale,16.42,44,268
102,0,31420,Anirban Lahiri,16.45,38,231
103,0,34262,Jon Curran,16.57,55,332
103,0,27466,Spencer Levin,16.57,55,332
105,0,35539,Luke Guthrie,16.58,33,199
106,0,34265,Will Wilcox,16.59,37,223
107,0,33461,Morgan Hoffmann,16.60,40,241
108,0,28158,Steve Marino,16.67,38,228
109,0,25720,Chad Collins,16.74,36,215
110,0,31416,Derek Fathauer,16.83,53,315
111,0,27895,Jonas Blixt,16.85,47,279
111,0,25834,Daniel Summerhays,16.85,61,362
113,0,37454,Whee Kim,16.94,41,242
114,0,20766,Padraig Harrington,17.05,30,176
115,0,27214,Kevin Streelman,17.08,48,281
116,0,29518,Brendan Steele,17.13,49,286
117,0,34264,Hudson Swafford,17.15,65,379
118,0,25632,Jimmy Walker,17.17,51,297
119,0,29745,Tyler Aldridge,17.19,44,256
120,0,28475,Jeff Overton,17.24,35,203
121,0,02206,David Toms,17.26,34,197
122,0,27936,Martin Laird,17.27,48,278
122,0,34466,Peter Malnati,17.27,48,278
124,0,27649,Brandt Snedeker,17.34,56,323
125,0,35451,Scott Pinckney,17.35,51,294
126,0,37189,Harold Varner III,17.41,55,316
127,0,25686,Jason Dufner,17.43,65,373
128,0,26300,Matt Jones,17.45,48,275
128,0,25349,Tim Wilkinson,17.45,41,235
130,0,27942,Rob Oppenheim,17.46,33,189
131,0,20157,Retief Goosen,17.49,32,183
132,0,32757,Patton Kizzire,17.53,54,308
132,0,25818,Scott Piercy,17.53,51,291
134,0,29420,Billy Horschel,17.67,44,249
135,0,23541,Ben Crane,17.74,44,248
136,0,23638,Brendon de Jonge,17.79,45,253
137,0,29926,Danny Lee,17.80,55,309
138,0,25892,Steve Wheatcroft,17.87,47,263
139,0,12716,Charley Hoffman,17.91,53,296
140,0,35545,Blayne Barber,17.92,50,279
140,0,36699,Patrick Rodgers,17.92,55,307
142,0,22371,Aaron Baddeley,17.95,56,312
143,0,34431,Robert Streb,17.98,48,267
144,0,37273,Derek Ernst,18.02,31,172
145,0,06567,Vijay Singh,18.10,42,232
146,0,29289,S.Y. Noh,18.21,51,280
147,0,23320,Ryan Palmer,18.24,60,329
148,0,25198,Francesco Molinari,18.27,38,208
149,0,36689,Brooks Koepka,18.28,51,279
150,0,23353,J.J. Henry,18.29,32,175
150,0,33204,Shane Lowry,18.29,32,175
152,0,27770,Camilo Villegas,18.53,48,259
153,0,29485,Brett Stegmaier,18.60,53,285
154,0,26329,Louis Oosthuizen,18.72,35,187
155,0,06527,Steve Stricker,18.86,33,175
156,0,29720,Andres Gonzales,18.89,51,270
157,0,34563,Chesson Hadley,19.13,53,277
158,0,39975,Michael Kim,19.20,62,323
159,0,33667,Carlos Ortiz,19.23,50,260
160,0,32366,Kevin Chappell,19.29,65,337
161,0,36801,Mark Hubbard,19.33,63,326
162,0,30110,Kyle Stanley,19.45,57,293
163,0,32876,Martin Piller,19.77,35,177
164,0,28092,D.H. Lee,19.89,35,176
165,0,20691,Greg Owen,19.93,54,271
166,0,35532,Tom Hoge,20.00,51,255
166,0,33413,Ben Martin,20.00,65,325
168,0,29268,Bronson Burgoon,20.08,50,249
169,0,25493,Nick Taylor,20.15,54,268
170,0,32618,Rhein Gibson,20.47,35,171
171,0,45526,Abraham Ancer,20.51,32,156
172,0,25274,Steven Bowditch,20.98,43,205
173,0,24461,Thomas Aiken,21.15,44,208
174,0,24490,George McNeill,21.38,34,159
175,0,21878,Mark Wilson,21.55,39,181
176,0,27436,Graham DeLaet,21.76,52,239
177,0,29223,Sam Saunders,21.92,48,219
178,0,23325,Vaughn Taylor,22.40,56,250
179,0,35732,Wes Roach,22.80,44,193
180,0,20104,Ken Duke,23.26,40,172
181,0,24781,Hunter Mahan,23.74,47,198
182,0,23621,Rory Sabbatini,23.98,41,171
183,0,30927,Brendon Todd,24.10,40,166
184,0,06522,Ernie Els,24.31,53,218
185,0,10885,Robert Allenby,24.63,33,134
