RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,10585,Scott McCarron,3.53,342,968
2,0,08793,Tiger Woods,3.47,317,913
3,0,01329,Brad Faxon,3.39,234,690
4,0,09011,David Duval,3.31,289,874
5,0,11032,Frank Lickliter II,3.30,403,1222
6,0,01810,Phil Mickelson,3.29,302,918
7,0,02146,Payne Stewart,3.27,232,709
8,0,12823,Carlos Franco,3.26,251,771
9,0,23621,Rory Sabbatini,3.25,287,883
10,0,01619,Skip Kendall,3.24,402,1240
11,0,19881,Robert Damron,3.23,381,1181
12,0,01035,Tommy Armour III,3.21,333,1039
13,0,01724,Jeff Maggert,3.19,288,903
14,0,20127,Chris Riley,3.16,287,908
15,0,01927,Dennis Paulson,3.15,365,1160
16,0,06617,Brian Henninger,3.13,346,1106
16,0,01943,Chris Perry,3.13,468,1495
16,0,06527,Steve Stricker,3.13,237,758
16,0,02206,David Toms,3.13,385,1229
20,0,01040,Emlyn Aubrey,3.11,182,586
21,0,01577,Lee Janzen,3.10,283,914
22,0,20593,Greg Chalmers,3.08,376,1221
22,0,01261,Jay Delsing,3.08,281,912
24,0,06613,Tommy Tolles,3.07,260,846
25,0,20098,Stuart Appleby,3.06,307,1004
26,0,06004,Stephen Ames,3.05,209,685
26,0,01549,Mike Hulbert,3.05,342,1121
28,0,01706,Davis Love III,3.04,277,910
28,0,10423,Mike Weir,3.04,345,1135
30,0,08075,Jerry Kelly,3.03,376,1242
31,0,02170,Hal Sutton,3.02,323,1070
32,0,08993,Franklin Langham,3.01,346,1150
32,0,02010,Loren Roberts,3.01,324,1077
34,0,01249,John Daly,3.00,207,689
34,0,06599,John Elliott,3.00,280,932
34,0,01569,Peter Jacobsen,3.00,247,822
34,0,12660,Jesper Parnevik,3.00,214,713
38,0,07867,Woody Austin,2.99,354,1185
38,0,20029,Notah Begay III,2.99,345,1155
38,0,20229,Stewart Cink,2.99,322,1078
38,0,08931,Glen Day,2.99,319,1068
38,0,01320,Bob Estes,2.99,367,1226
