RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,01329,Brad Faxon,1.723,1189,690,3.39
2,0,02146,Payne Stewart,1.726,1224,709,3.27
3,0,11032,Frank Lickliter II,1.730,2114,1222,3.30
4,0,10585,Scott McCarron,1.735,1679,968,3.53
5,0,01619,Skip Kendall,1.737,2154,1240,3.24
6,0,06527,Steve Stricker,1.739,1318,758,3.13
7,0,01577,Lee Janzen,1.745,1595,914,3.10
8,0,01927,Dennis Paulson,1.747,2027,1160,3.15
8,0,02010,Loren Roberts,1.747,1882,1077,3.01
10,0,09011,David Duval,1.748,1528,874,3.31
11,0,19881,Robert Damron,1.750,2067,1181,3.23
12,0,01378,David Frost,1.751,1478,844,2.81
13,0,01035,Tommy Armour III,1.752,1820,1039,3.21
13,0,06575,Dudley Hart,1.752,1668,952,2.94
15,0,01943,Chris Perry,1.753,2621,1495,3.13
16,0,01706,Davis Love III,1.755,1597,910,3.04
17,0,10860,Justin Leonard,1.756,2132,1214,2.92
18,0,20098,Stuart Appleby,1.757,1764,1004,3.06
19,0,01928,Corey Pavin,1.758,1535,873,2.99
20,0,01810,Phil Mickelson,1.759,1615,918,3.29
20,0,12663,Phil Tataurangi,1.759,1312,746,2.90
22,0,01320,Bob Estes,1.760,2158,1226,2.99
22,0,20127,Chris Riley,1.760,1598,908,3.16
24,0,12823,Carlos Franco,1.761,1358,771,3.26
24,0,01968,Nick Price,1.761,1187,674,2.74
24,0,10423,Mike Weir,1.761,1999,1135,3.04
24,0,08793,Tiger Woods,1.761,1608,913,3.47
28,0,08993,Franklin Langham,1.763,2027,1150,3.01
28,0,01724,Jeff Maggert,1.763,1592,903,3.19
28,0,02206,David Toms,1.763,2167,1229,3.13
31,0,10809,Jim Furyk,1.764,1894,1074,2.80
31,0,02218,Ted Tryba,1.764,2249,1275,2.94
33,0,06004,Stephen Ames,1.765,1209,685,3.05
34,0,01040,Emlyn Aubrey,1.766,1035,586,3.11
34,0,08931,Glen Day,1.766,1886,1068,2.99
36,0,01116,Michael Bradley,1.768,1473,833,2.88
36,0,20229,Stewart Cink,1.768,1906,1078,2.99
36,0,02170,Hal Sutton,1.768,1892,1070,3.02
39,0,01887,Mark O'Meara,1.769,1182,668,2.90
39,0,12660,Jesper Parnevik,1.769,1261,713,3.00
41,0,01024,Billy Andrade,1.770,1726,975,2.92
41,0,01569,Peter Jacobsen,1.770,1455,822,3.00
41,0,08547,John Maginnes,1.770,1915,1082,2.96
41,0,01823,Larry Mize,1.770,1439,813,2.84
45,0,01261,Jay Delsing,1.771,1615,912,3.08
45,0,02257,Brian Watts,1.771,1658,936,2.79
47,0,12645,Brent Geiberger,1.772,2199,1241,2.85
47,0,06617,Brian Henninger,1.772,1960,1106,3.13
47,0,20094,Jonathan Kaye,1.772,2357,1330,2.90
50,0,06014,Eric Booker,1.773,1792,1011,2.91
50,0,01323,Brad Fabel,1.773,1773,1000,2.94
52,0,01098,Jay Don Blake,1.774,1898,1070,2.94
52,0,01381,Fred Funk,1.774,2572,1450,2.92
52,0,12782,Tim Herron,1.774,1911,1077,2.91
52,0,01707,Steve Lowery,1.774,2010,1133,2.90
52,0,01797,Rocco Mediate,1.774,1664,938,2.91
57,0,01527,Scott Hoch,1.775,2109,1188,2.92
57,0,01549,Mike Hulbert,1.775,1990,1121,3.05
59,0,06012,Greg Kraft,1.776,1870,1053,2.98
