RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,06573,Brandt Jobe,3.500,7,2
2,0,09011,David Duval,3.667,11,3
2,0,20766,Padraig Harrington,3.667,22,6
4,0,27770,Camilo Villegas,3.750,60,16
5,0,23623,Bo Van Pelt,3.778,34,9
6,0,01810,Phil Mickelson,3.786,53,14
7,0,25364,Paul Casey,3.800,19,5
7,0,19913,Ron Whittaker,3.800,19,5
9,0,20157,Retief Goosen,3.833,23,6
10,0,20472,Alex Cejka,3.857,27,7
10,0,12680,Shigeki Maruyama,3.857,27,7
10,0,02223,Bob Tway,3.857,27,7
13,0,06567,Vijay Singh,3.889,105,27
14,0,20378,Mathias Grönberg,3.923,51,13
14,0,26695,Michael Letzig,3.923,51,13
14,0,24361,Pat Perez,3.923,51,13
17,0,27936,Martin Laird,3.938,63,16
18,0,20850,Daniel Chopra,3.944,71,18
19,0,01161,Mark Calcavecchia,3.947,75,19
20,0,12652,Cameron Beckman,4.000,36,9
20,0,23614,Rich Beem,4.000,40,10
20,0,01142,Bart Bryant,4.000,52,13
20,0,26500,Alejandro Cañizares,4.000,32,8
20,0,24357,K.J. Choi,4.000,104,26
20,0,01226,Fred Couples,4.000,20,5
20,0,06034,Marco Dawson,4.000,32,8
20,0,10875,Todd Demsey,4.000,40,10
20,0,06251,Chris DiMarco,4.000,24,6
20,0,06621,Joe Durant,4.000,36,9
20,0,12823,Carlos Franco,4.000,40,10
20,0,20105,Jeff Gove,4.000,24,6
20,0,23353,J.J. Henry,4.000,72,18
20,0,06012,Greg Kraft,4.000,12,3
20,0,20634,Peter Lonard,4.000,64,16
20,0,25396,Kevin Na,4.000,32,8
20,0,21959,Ted Purdy,4.000,28,7
20,0,25190,Jeff Quinney,4.000,44,11
20,0,28780,Nicholas Thompson,4.000,52,13
20,0,23349,Charles Warren,4.000,36,9
20,0,10423,Mike Weir,4.000,108,27
20,0,10425,Jay Williamson,4.000,52,13
42,0,24925,Jonathan Byrd,4.036,113,28
43,0,24024,Zach Johnson,4.042,97,24
43,0,27095,Nick Watney,4.042,97,24
45,0,29718,Anthony Kim,4.050,81,20
46,0,27214,Kevin Streelman,4.053,77,19
47,0,20098,Stuart Appleby,4.067,61,15
47,0,22378,Trevor Immelman,4.067,61,15
49,0,01473,Todd Hamilton,4.077,53,13
49,0,27141,J.B. Holmes,4.077,53,13
51,0,07457,Steve Flesch,4.080,102,25
52,0,01035,Tommy Armour III,4.083,49,12
52,0,27649,Brandt Snedeker,4.083,98,24
54,0,20848,Ángel Cabrera,4.087,94,23
55,0,20663,Brenden Pappas,4.100,41,10
55,0,27963,Chris Stroud,4.100,41,10
57,0,21878,Mark Wilson,4.103,119,29
58,0,21209,Sergio Garcia,4.111,74,18
58,0,22806,Doug LaBelle II,4.111,37,9
58,0,27613,David Lutterus,4.111,37,9
58,0,10585,Scott McCarron,4.111,37,9
58,0,22348,Nick O'Hern,4.111,37,9
58,0,06527,Steve Stricker,4.111,111,27
64,0,25804,Bubba Watson,4.118,70,17
65,0,06197,Michael Allen,4.125,33,8
66,0,20574,Mathew Goggin,4.133,62,15
66,0,24663,Y.E. Yang,4.133,62,15
68,0,06004,Stephen Ames,4.136,91,22
68,0,21949,Joe Ogilvie,4.136,91,22
70,0,07867,Woody Austin,4.138,120,29
70,0,10809,Jim Furyk,4.138,120,29
72,0,12660,Jesper Parnevik,4.143,58,14
72,0,22913,John Rollins,4.143,29,7
74,0,24490,George McNeill,4.148,112,27
75,0,23778,Brad Adamonis,4.154,54,13
75,0,24227,Justin Bolli,4.154,54,13
75,0,22621,Ben Curtis,4.154,54,13
75,0,26289,Boo Weekley,4.154,108,26
79,0,24781,Hunter Mahan,4.167,125,30
79,0,28158,Steve Marino,4.167,75,18
79,0,23497,Tag Ridings,4.167,50,12
79,0,22293,Heath Slocum,4.167,50,12
83,0,21961,Charles Howell III,4.182,92,22
83,0,21731,Freddie Jacobson,4.182,46,11
83,0,06090,Jim McGovern,4.182,46,11
83,0,24502,Adam Scott,4.182,46,11
87,0,20498,Briny Baird,4.188,67,16
88,0,23048,Eric Axley,4.200,84,20
88,0,25632,Jimmy Walker,4.200,42,10
90,0,22371,Aaron Baddeley,4.207,122,29
91,0,12510,Chad Campbell,4.214,118,28
91,0,06522,Ernie Els,4.214,59,14
91,0,25900,Lucas Glover,4.214,59,14
94,0,01766,Billy Mayfair,4.217,97,23
94,0,06595,Kevin Sutherland,4.217,97,23
96,0,23157,Richard Johnson,4.222,38,9
96,0,08845,Scott Sterling,4.222,38,9
96,0,26668,Marc Turnesa,4.222,38,9
99,0,23788,D.J. Trahan,4.235,72,17
100,0,01388,Robert Gamez,4.250,51,12
100,0,22892,Jason Gore,4.250,34,8
100,0,08075,Jerry Kelly,4.250,51,12
103,0,23621,Rory Sabbatini,4.259,115,27
104,0,21753,Brian Davis,4.263,81,19
104,0,25345,Carl Pettersson,4.263,81,19
106,0,24358,Robert Garrigus,4.267,64,15
106,0,21350,Ryuji Imada,4.267,64,15
106,0,01797,Rocco Mediate,4.267,64,15
109,0,26300,Matt Jones,4.273,47,11
109,0,01706,Davis Love III,4.273,47,11
109,0,01707,Steve Lowery,4.273,47,11
109,0,01724,Jeff Maggert,4.273,47,11
109,0,28475,Jeff Overton,4.273,47,11
109,0,07749,Brett Quigley,4.273,47,11
109,0,02002,John Riegger,4.273,47,11
116,0,02239,Scott Verplank,4.280,107,25
117,0,20229,Stewart Cink,4.286,60,14
117,0,24912,Will MacKenzie,4.286,30,7
117,0,01945,Kenny Perry,4.286,90,21
117,0,23797,Brett Rumford,4.286,30,7
117,0,02206,David Toms,4.286,30,7
122,0,25349,Tim Wilkinson,4.300,43,10
123,0,23541,Ben Crane,4.308,56,13
123,0,20572,Rod Pampling,4.308,56,13
125,0,10505,Shane Bertsch,4.313,69,16
125,0,06575,Dudley Hart,4.313,69,16
127,0,01320,Bob Estes,4.333,52,12
127,0,19846,Brian Gay,4.333,52,12
127,0,12716,Charley Hoffman,4.333,117,27
127,0,01553,John Huston,4.333,13,3
127,0,20382,Stephen Leaney,4.333,26,6
127,0,24449,Parker McLachlin,4.333,52,12
127,0,25562,Andres Romero,4.333,65,15
127,0,22548,Patrick Sheehan,4.333,78,18
127,0,08385,Omar Uresti,4.333,39,9
136,0,10860,Justin Leonard,4.345,126,29
137,0,20104,Ken Duke,4.353,74,17
137,0,20645,John Senden,4.353,74,17
137,0,20160,Charlie Wi,4.353,74,17
140,0,23325,Vaughn Taylor,4.357,61,14
141,0,20443,Jin Park,4.364,48,11
142,0,01313,Steve Elkington,4.375,35,8
142,0,06643,Paul Goydos,4.375,105,24
142,0,30925,Dustin Johnson,4.375,35,8
142,0,26420,Richard Johnson,4.375,35,8
142,0,11032,Frank Lickliter II,4.375,70,16
142,0,27060,John Mallinger,4.375,70,16
148,0,24924,Bill Haas,4.385,57,13
148,0,24140,Sean O'Hair,4.385,57,13
150,0,10885,Robert Allenby,4.400,88,20
150,0,12826,Paul Claxton,4.400,22,5
150,0,21805,Harrison Frazar,4.400,22,5
150,0,12705,Cliff Kresge,4.400,44,10
150,0,25842,Jon Mills,4.400,44,10
150,0,01928,Corey Pavin,4.400,22,5
156,0,23718,Nathan Green,4.417,53,12
157,0,23135,Tim Clark,4.429,93,21
157,0,10733,Kent Jones,4.429,31,7
157,0,07547,Craig Kanada,4.429,31,7
157,0,24138,Ian Poulter,4.429,31,7
157,0,22582,Kyle Thompson,4.429,31,7
157,0,26951,Johnson Wagner,4.429,62,14
163,0,20433,Mark Hensby,4.444,40,9
164,0,23409,James Driscoll,4.455,49,11
165,0,26476,Chez Reavie,4.467,67,15
