RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,08793,Tiger Woods,4.57,338,74
2,0,01810,Phil Mickelson,4.41,326,74
3,0,21407,Arjun Atwal,4.06,264,65
4,0,02239,Scott Verplank,4.05,348,86
5,0,02206,David Toms,4.04,311,77
6,0,20663,Brenden Pappas,4.00,204,51
6,0,23497,Tag Ridings,4.00,364,91
8,0,06567,Vijay Singh,3.96,432,109
9,0,23320,Ryan Palmer,3.92,380,97
10,0,23135,Tim Clark,3.91,340,87
10,0,12782,Tim Herron,3.91,387,99
12,0,22046,Geoff Ogilvy,3.88,361,93
13,0,21805,Harrison Frazar,3.87,391,101
14,0,24980,Scott Gutschewski,3.85,316,82
14,0,06527,Steve Stricker,3.85,239,62
16,0,10117,Bob Heintz,3.84,257,67
16,0,26420,Richard Johnson,3.84,192,50
18,0,01945,Kenny Perry,3.83,306,80
19,0,10809,Jim Furyk,3.82,355,93
20,0,23325,Vaughn Taylor,3.80,376,99
20,0,23349,Charles Warren,3.80,331,87
22,0,01226,Fred Couples,3.79,258,68
22,0,23623,Bo Van Pelt,3.79,425,112
24,0,23541,Ben Crane,3.78,280,74
25,0,23322,Brett Wetterich,3.77,279,74
26,0,06034,Marco Dawson,3.76,308,82
26,0,01361,Dan Forsman,3.76,188,50
28,0,20157,Retief Goosen,3.75,229,61
29,0,01161,Mark Calcavecchia,3.74,337,90
29,0,21209,Sergio Garcia,3.74,254,68
29,0,24781,Hunter Mahan,3.74,378,101
29,0,21949,Joe Ogilvie,3.74,370,99
29,0,20572,Rod Pampling,3.74,314,84
34,0,07867,Woody Austin,3.73,373,100
34,0,24024,Zach Johnson,3.73,354,95
34,0,20094,Jonathan Kaye,3.73,276,74
34,0,01706,Davis Love III,3.73,280,75
34,0,01766,Billy Mayfair,3.73,410,110
39,0,01024,Billy Andrade,3.72,309,83
39,0,01553,John Huston,3.72,320,86
41,0,01249,John Daly,3.71,282,76
41,0,10733,Kent Jones,3.71,360,97
41,0,22295,Darron Stiles,3.71,282,76
41,0,02246,Duffy Waldorf,3.71,304,82
45,0,10885,Robert Allenby,3.70,329,89
45,0,08123,Jeff Brehaut,3.70,248,67
45,0,02101,Joey Sindelar,3.70,385,104
45,0,02106,Chris Smith,3.70,344,93
49,0,12602,Dean Wilson,3.69,317,86
50,0,01142,Bart Bryant,3.68,335,91
50,0,06575,Dudley Hart,3.68,309,84
50,0,22405,Justin Rose,3.68,350,95
50,0,22548,Patrick Sheehan,3.68,405,110
54,0,01388,Robert Gamez,3.67,334,91
54,0,25900,Lucas Glover,3.67,316,86
54,0,11032,Frank Lickliter II,3.67,352,96
57,0,01329,Brad Faxon,3.65,259,71
57,0,24604,Hunter Haas,3.65,288,79
57,0,07749,Brett Quigley,3.65,336,92
60,0,20850,Daniel Chopra,3.64,379,104
60,0,25345,Carl Pettersson,3.64,382,105
62,0,06573,Brandt Jobe,3.63,334,92
63,0,22371,Aaron Baddeley,3.62,297,82
63,0,26679,Kevin Stadler,3.62,333,92
65,0,06332,Neal Lancaster,3.61,343,95
65,0,01707,Steve Lowery,3.61,347,96
65,0,20645,John Senden,3.61,357,99
68,0,12652,Cameron Beckman,3.60,331,92
68,0,24912,Will MacKenzie,3.60,263,73
68,0,06373,José María Olazábal,3.60,191,53
71,0,01139,Olin Browne,3.59,341,95
71,0,24925,Jonathan Byrd,3.59,355,99
71,0,12510,Chad Campbell,3.59,330,92
71,0,24140,Sean O'Hair,3.59,355,99
71,0,20474,Phillip Price,3.59,262,73
71,0,21878,Mark Wilson,3.59,251,70
77,0,23063,Scott Hend,3.58,261,73
77,0,21959,Ted Purdy,3.58,437,122
79,0,20498,Briny Baird,3.57,343,96
79,0,10860,Justin Leonard,3.57,268,75
79,0,22913,John Rollins,3.57,339,95
79,0,20548,Hidemichi Tanaka,3.57,364,102
83,0,19824,Craig Barlow,3.56,274,77
83,0,24361,Pat Perez,3.56,317,89
83,0,24502,Adam Scott,3.56,242,68
83,0,27095,Nick Watney,3.56,317,89
87,0,01042,Paul Azinger,3.55,234,66
87,0,21753,Brian Davis,3.55,266,75
87,0,01724,Jeff Maggert,3.55,263,74
87,0,20691,Greg Owen,3.55,284,80
91,0,20099,Doug Barron,3.54,248,70
91,0,08537,J.P. Hayes,3.54,223,63
91,0,20433,Mark Hensby,3.54,241,68
91,0,12680,Shigeki Maruyama,3.54,347,98
91,0,22293,Heath Slocum,3.54,350,99
96,0,20098,Stuart Appleby,3.53,282,80
96,0,21350,Ryuji Imada,3.53,275,78
98,0,20229,Stewart Cink,3.52,317,90
98,0,02214,Kirk Triplett,3.52,183,52
100,0,23552,Hank Kuehne,3.51,281,80
100,0,01685,J.L. Lewis,3.51,344,98
100,0,23621,Rory Sabbatini,3.51,274,78
100,0,06595,Kevin Sutherland,3.51,305,87
100,0,02223,Bob Tway,3.51,291,83
105,0,06251,Chris DiMarco,3.49,262,75
105,0,06621,Joe Durant,3.49,283,81
105,0,20121,Todd Fischer,3.49,339,97
105,0,08385,Omar Uresti,3.49,293,84
109,0,07223,Brian Bateman,3.48,327,94
109,0,24357,K.J. Choi,3.48,254,73
109,0,01941,Tom Pernice Jr.,3.48,372,107
112,0,24507,Jason Bohn,3.47,316,91
112,0,23788,D.J. Trahan,3.47,267,77
114,0,06197,Michael Allen,3.46,311,90
115,0,23353,J.J. Henry,3.45,345,100
115,0,20382,Stephen Leaney,3.45,297,86
117,0,24227,Justin Bolli,3.44,217,63
117,0,01577,Lee Janzen,3.44,251,73
119,0,02010,Loren Roberts,3.43,182,53
120,0,23983,Luke Donald,3.42,205,60
120,0,23725,Brendan Jones,3.42,270,79
120,0,10585,Scott McCarron,3.42,253,74
123,0,01320,Bob Estes,3.41,314,92
123,0,01473,Todd Hamilton,3.41,310,91
123,0,21961,Charles Howell III,3.41,307,90
123,0,20628,Arron Oberholser,3.41,215,63
123,0,21951,Joey Snyder III,3.41,334,98
123,0,26287,Roland Thatcher,3.41,249,73
129,0,21633,Steve Allan,3.40,333,98
129,0,20378,Mathias Grönberg,3.40,197,58
129,0,08075,Jerry Kelly,3.40,337,99
129,0,01797,Rocco Mediate,3.40,248,73
129,0,25396,Kevin Na,3.40,292,86
129,0,01928,Corey Pavin,3.40,248,73
135,0,20623,Gavin Coles,3.39,237,70
135,0,12823,Carlos Franco,3.39,258,76
135,0,21806,Paul Gow,3.39,251,74
135,0,01677,Tom Lehman,3.39,227,67
135,0,20812,Tjaart van der Walt,3.39,190,56
140,0,20766,Padraig Harrington,3.38,162,48
140,0,02104,Jeff Sluman,3.38,318,94
142,0,26758,David Hearn,3.37,229,68
142,0,21731,Freddie Jacobson,3.37,239,71
144,0,20634,Peter Lonard,3.36,282,84
145,0,06004,Stephen Ames,3.35,265,79
145,0,19972,José Coceres,3.35,181,54
147,0,12660,Jesper Parnevik,3.34,274,82
147,0,20160,Charlie Wi,3.34,217,65
149,0,01219,John Cook,3.33,233,70
149,0,08931,Glen Day,3.33,260,78
149,0,19846,Brian Gay,3.33,330,99
149,0,08725,Tom Gillis,3.33,250,75
149,0,08545,Glen Hnatiuk,3.33,183,55
149,0,25240,D.A. Points,3.33,300,90
155,0,06599,John Elliott,3.32,186,56
155,0,01948,Tim Petrovic,3.32,309,93
155,0,12454,Mario Tiziani,3.32,216,65
158,0,01313,Steve Elkington,3.31,222,67
159,0,01035,Tommy Armour III,3.29,339,103
159,0,01457,Jay Haas,3.29,168,51
159,0,01723,Andrew Magee,3.29,257,78
162,0,23036,Chris Anderson,3.26,202,62
162,0,10423,Mike Weir,3.26,215,66
164,0,01666,Bernhard Langer,3.25,218,67
165,0,20396,Lee Westwood,3.23,155,48
165,0,10425,Jay Williamson,3.23,171,53
167,0,19881,Robert Damron,3.22,287,89
167,0,07457,Steve Flesch,3.22,274,85
167,0,10201,Matt Gogel,3.22,245,76
170,0,20472,Alex Cejka,3.21,260,81
171,0,12826,Paul Claxton,3.20,253,79
172,0,01157,Tom Byrum,3.19,265,83
173,0,24290,D.J. Brigman,3.18,229,72
173,0,23409,James Driscoll,3.18,226,71
173,0,06515,Shaun Micheel,3.18,251,79
173,0,24138,Ian Poulter,3.18,178,56
177,0,01823,Larry Mize,3.16,158,50
178,0,23108,Matt Kuchar,3.15,189,60
179,0,01927,Dennis Paulson,3.14,198,63
180,0,23614,Rich Beem,3.11,193,62
