RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,0,08793,Tiger Woods,17,265,0
2,0,23621,Rory Sabbatini,16,298,0
3,0,06251,Chris DiMarco,15,397,0
3,0,07457,Steve Flesch,15,418,0
5,0,01810,Phil Mickelson,14,268,0
6,0,01943,Chris Perry,13,384,0
7,0,08535,Gary Nicklaus,12,285,0
8,0,01706,Davis Love III,11,310,0
8,0,20095,Carl Paulson,11,364,0
10,0,01042,Paul Azinger,10,239,0
10,0,20593,Greg Chalmers,10,315,0
10,0,01418,Bill Glasson,10,343,0
10,0,20574,Mathew Goggin,10,330,0
14,0,07867,Woody Austin,9,363,0
14,0,23125,Brad Elder,9,396,0
14,0,21805,Harrison Frazar,9,247,0
14,0,10962,Bradley Hughes,9,316,0
14,0,01619,Skip Kendall,9,402,0
14,0,01938,David Peoples,9,345,0
14,0,02245,Grant Waite,9,303,0
21,0,10885,Robert Allenby,8,301,0
21,0,19824,Craig Barlow,8,332,0
21,0,01116,Michael Bradley,8,267,0
21,0,19881,Robert Damron,8,322,0
21,0,01261,Jay Delsing,8,331,0
21,0,06036,Scott Dunlap,8,357,0
21,0,20043,Edward Fryatt,8,338,0
21,0,21209,Sergio Garcia,8,179,0
21,0,08537,J.P. Hayes,8,326,0
21,0,06573,Brandt Jobe,8,311,0
21,0,10860,Justin Leonard,8,310,0
21,0,01707,Steve Lowery,8,359,0
21,0,06350,Bob May,8,305,0
21,0,10585,Scott McCarron,8,350,0
21,0,01941,Tom Pernice Jr.,8,346,0
21,0,02104,Jeff Sluman,8,388,0
37,0,20098,Stuart Appleby,7,266,0
37,0,01175,Jim Carter,7,321,0
37,0,01185,Brandel Chamblee,7,245,0
37,0,19822,Bobby Cochran,7,265,0
37,0,09011,David Duval,7,224,0
37,0,12823,Carlos Franco,7,278,0
37,0,01381,Fred Funk,7,376,0
37,0,01388,Robert Gamez,7,265,0
37,0,20094,Jonathan Kaye,7,394,0
37,0,11032,Frank Lickliter II,7,366,0
37,0,01724,Jeff Maggert,7,287,0
37,0,01761,Len Mattiace,7,362,0
37,0,12660,Jesper Parnevik,7,217,0
37,0,01927,Dennis Paulson,7,296,0
37,0,01945,Kenny Perry,7,286,0
37,0,02101,Joey Sindelar,7,308,0
37,0,02133,Craig Stadler,7,239,0
37,0,02206,David Toms,7,376,0
37,0,02214,Kirk Triplett,7,314,0
37,0,02218,Ted Tryba,7,383,0
37,0,10423,Mike Weir,7,327,0
58,0,06004,Stephen Ames,6,334,0
58,0,06809,Bob Burns,6,309,0
58,0,01191,Barry Cheesman,6,325,0
58,0,20229,Stewart Cink,6,305,0
58,0,07763,Doug Dunakey,6,289,0
58,0,01307,Joel Edwards,6,345,0
58,0,01313,Steve Elkington,6,191,0
58,0,12782,Tim Herron,6,309,0
58,0,01527,Scott Hoch,6,372,0
58,0,08075,Jerry Kelly,6,394,0
58,0,06012,Greg Kraft,6,368,0
58,0,01723,Andrew Magee,6,266,0
58,0,20445,Casey Martin,6,309,0
58,0,01766,Billy Mayfair,6,312,0
58,0,01771,Blaine McCallister,6,366,0
58,0,12753,David Morland IV,6,309,0
58,0,06140,Sean Murphy,6,352,0
58,0,21949,Joe Ogilvie,6,321,0
58,0,07749,Brett Quigley,6,205,0
58,0,10649,Tom Scherrer,6,355,0
58,0,06595,Kevin Sutherland,6,324,0
58,0,02170,Hal Sutton,6,304,0
58,0,06078,Esteban Toledo,6,384,0
81,0,01035,Tommy Armour III,5,308,0
81,0,20029,Notah Begay III,5,245,0
81,0,10569,Mike Brisky,5,303,0
81,0,01132,Mark Brooks,5,305,0
81,0,23656,Jason Caron,5,261,0
81,0,12388,Michael Clark II,5,289,0
81,0,06522,Ernie Els,5,220,0
81,0,01361,Dan Forsman,5,311,0
81,0,10201,Matt Gogel,5,302,0
81,0,20105,Jeff Gove,5,295,0
81,0,06617,Brian Henninger,5,309,0
81,0,01553,John Huston,5,255,0
81,0,01577,Lee Janzen,5,319,0
81,0,08993,Franklin Langham,5,329,0
81,0,06090,Jim McGovern,5,189,0
81,0,01797,Rocco Mediate,5,269,0
81,0,06515,Shaun Micheel,5,324,0
81,0,06062,Charles Raulerson,5,345,0
99,0,01014,Fulton Allem,4,267,0
99,0,23614,Rich Beem,4,287,0
99,0,08243,Aaron Bengoechea,4,259,0
99,0,01093,Ronnie Black,4,286,0
99,0,01098,Jay Don Blake,4,324,0
99,0,06014,Eric Booker,4,303,0
99,0,01139,Olin Browne,4,344,0
99,0,01142,Bart Bryant,4,251,0
99,0,01226,Fred Couples,4,252,0
99,0,01249,John Daly,4,247,0
99,0,01282,Trevor Dodds,4,300,0
99,0,01329,Brad Faxon,4,355,0
99,0,01331,Rick Fehr,4,247,0
99,0,01374,Robin Freeman,4,334,0
99,0,19846,Brian Gay,4,353,0
99,0,12645,Brent Geiberger,4,263,0
99,0,06088,Steve Gotsche,4,317,0
99,0,10963,Jimmy Green,4,293,0
99,0,10117,Bob Heintz,4,302,0
99,0,01549,Mike Hulbert,4,281,0
99,0,08547,John Maginnes,4,350,0
99,0,08045,Perry Moss,4,189,0
99,0,01928,Corey Pavin,4,253,0
99,0,01968,Nick Price,4,204,0
99,0,06567,Vijay Singh,4,309,0
99,0,08375,Paul Stankowski,4,266,0
99,0,07101,Dave Stockton Jr.,4,311,0
99,0,02239,Scott Verplank,4,368,0
99,0,10425,Jay Williamson,4,353,0
128,0,01024,Billy Andrade,3,301,0
128,0,20099,Doug Barron,3,282,0
128,0,01063,Ben Bates,3,361,0
128,0,12652,Cameron Beckman,3,278,0
128,0,01157,Tom Byrum,3,296,0
128,0,01203,Russ Cochran,3,257,0
128,0,11653,Paul Curry,3,232,0
128,0,08931,Glen Day,3,330,0
128,0,06621,Joe Durant,3,324,0
128,0,06044,Scott Gump,3,355,0
128,0,01510,Nolan Henke,3,268,0
128,0,21007,Gabriel Hjertstedt,3,294,0
128,0,01599,Steve Jones,3,244,0
128,0,06332,Neal Lancaster,3,328,0
128,0,01677,Tom Lehman,3,221,0
128,0,01685,J.L. Lewis,3,355,0
128,0,12680,Shigeki Maruyama,3,282,0
128,0,10213,Dicky Pride,3,327,0
128,0,20127,Chris Riley,3,319,0
128,0,22913,John Rollins,3,255,0
128,0,22064,Craig Spence,3,299,0
128,0,11011,Mike Sposa,3,252,0
128,0,06527,Steve Stricker,3,217,0
128,0,06581,David Sutherland,3,383,0
128,0,02223,Bob Tway,3,309,0
128,0,02246,Duffy Waldorf,3,254,0
128,0,02257,Brian Watts,3,312,0
128,0,02279,Mark Wiebe,3,319,0
156,0,01040,Emlyn Aubrey,2,231,0
156,0,01072,Chip Beck,2,169,0
156,0,24356,Jason Buha,2,283,0
156,0,01161,Mark Calcavecchia,2,314,0
156,0,01323,Brad Fabel,2,319,0
156,0,01326,Nick Faldo,2,164,0
156,0,01376,Bob Friend,2,319,0
156,0,10809,Jim Furyk,2,311,0
156,0,06643,Paul Goydos,2,326,0
156,0,12449,Ryan Howison,2,295,0
156,0,01569,Peter Jacobsen,2,226,0
156,0,01823,Larry Mize,2,248,0
156,0,10457,Frank Nobilo,2,327,0
