RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,190.26,71348.63,375
2,0,51491,Brandon Matthews,190.20,55918.44,294
3,0,52411,Kyle Westmoreland,186.32,95769.68,514
4,0,51766,Wyndham Clark,186.28,120711.77,648
5,0,57366,Cameron Young,185.82,109263.15,588
6,0,28237,Rory McIlroy,184.47,83197.51,451
7,0,48699,Callum Tarren,184.39,140871.02,764
8,0,56762,Will Gordon,184.10,120951.50,657
9,0,34255,Joseph Bramlett,184.08,99586.10,541
10,0,58696,Peter Kuest,183.53,55426.70,302
11,0,49453,Trevor Cone,182.91,122550.59,670
12,0,51070,Vincent Norrman,182.66,105394.59,577
13,0,24502,Adam Scott,182.47,84120.60,461
14,0,52955,Ludvig Åberg,182.45,65682.13,360
15,0,46601,Trey Mullinax,182.18,109492.16,601
16,0,48117,Kurt Kitayama,182.02,51693.12,284
17,0,31323,Gary Woodland,182.00,104650.55,575
18,0,51414,Brent Grant,181.87,95481.83,525
19,0,28420,Ryan Brehm,181.38,104654.96,577
19,0,48867,Matti Schmid,181.38,71825.35,396
21,0,32333,Kevin Tway,181.33,118593.04,654
22,0,46970,Jon Rahm,181.20,92776.80,512
23,0,45242,Kevin Yu,181.10,65918.62,364
24,0,39067,MJ Daffue,180.97,128309.86,709
25,0,47347,Adam Schenk,180.63,149198.20,826
26,0,54421,Garrick Higgo,180.38,135101.25,749
26,0,52453,Nicolai Hojgaard,180.38,51589.75,286
28,0,33948,Byeong Hun An,180.20,149028.07,827
29,0,27554,Scott Harrington,180.11,103924.72,577
30,0,39058,Lucas Herbert,180.09,65551.47,364
31,0,27129,Luke List,180.05,139720.63,776
32,0,47504,Sam Burns,179.62,107594.34,599
33,0,40250,Taylor Pendrith,179.51,133918.02,746
34,0,48081,Xander Schauffele,179.02,88972.72,497
35,0,33653,Thomas Detry,178.89,100714.88,563
36,0,58168,Davis Thompson,178.88,129865.77,726
37,0,46046,Scottie Scheffler,178.84,119824.66,670
38,0,55454,Carl Yuan,178.64,118620.25,664
39,0,36724,Augusto Núñez,178.42,88497.82,496
40,0,45157,Cam Davis,178.21,118686.70,666
41,0,55893,Sam Stevens,178.20,149690.89,840
42,0,36699,Patrick Rodgers,178.18,153945.92,864
43,0,29725,Tony Finau,178.08,125010.06,702
44,0,39546,Keith Mitchell,178.01,122295.70,687
45,0,35310,Lanto Griffin,177.80,62406.54,351
46,0,39977,Max Homa,177.75,122827.13,691
47,0,47988,Nick Hardy,177.73,137914.70,776
48,0,46717,Viktor Hovland,177.69,109636.52,617
49,0,35450,Patrick Cantlay,177.66,103223.02,581
50,0,48119,Ben Taylor,177.64,114401.92,644
51,0,32662,Michael Gligic,177.61,79926.41,450
52,0,39335,Kevin Roy,177.45,80028.71,451
53,0,49947,Taylor Moore,177.31,137768.04,777
54,0,58967,Trevor Werbylo,177.17,100811.26,569
55,0,27095,Nick Watney,177.15,79365.07,448
56,0,55789,Taylor Montgomery,176.77,109421.84,619
57,0,34046,Jordan Spieth,176.72,105678.08,598
58,0,46442,Maverick McNealy,176.65,71368.00,404
59,0,35617,Martin Trainer,176.45,62287.65,353
60,0,40098,Matt Fitzpatrick,176.31,108257.00,614
61,0,28252,Seamus Power,176.26,103994.47,590
62,0,33448,Justin Thomas,176.14,100925.75,573
63,0,39997,Corey Conners,176.13,133855.99,760
64,0,47995,Davis Riley,175.99,118263.48,672
65,0,50188,S.H. Kim,175.91,149174.89,848
66,0,40006,Erik van Rooyen,175.80,87546.71,498
67,0,37338,Zecheng Dou,175.77,127959.51,728
68,0,29970,Dylan Frittelli,175.64,96075.96,547
69,0,51634,Sahith Theegala,175.53,139548.45,795
70,0,54591,Ben Griffin,175.48,144768.50,825
71,0,48887,Matt Wallace,175.47,95102.21,542
72,0,36799,Stephan Jaeger,175.32,180232.35,1028
73,0,32102,Rickie Fowler,175.27,102531.23,585
74,0,31577,Tano Goya,175.07,92087.13,526
75,0,33204,Shane Lowry,174.95,80651.90,461
76,0,39954,Cody Gribble,174.89,78351.46,448
77,0,29289,S.Y. Noh,174.79,76906.52,440
78,0,34363,Tyrrell Hatton,174.76,108524.05,621
79,0,20229,Stewart Cink,174.72,103609.30,593
80,0,30911,Tommy Fleetwood,174.54,89366.27,512
81,0,34431,Robert Streb,174.51,103487.14,593
81,0,50493,Justin Suh,174.51,139260.99,798
83,0,25632,Jimmy Walker,174.50,116392.33,667
84,0,56630,Akshay Bhatia,174.49,90212.50,517
85,0,34099,Harris English,174.42,96631.28,554
86,0,35506,Mackenzie Hughes,174.36,118566.19,680
87,0,27349,Alex Noren,174.28,110492.19,634
88,0,33141,Keegan Bradley,174.18,107119.53,615
89,0,32366,Kevin Chappell,174.13,61817.43,355
90,0,28089,Jason Day,174.11,94543.82,543
91,0,33408,Tyson Alexander,174.08,111409.11,640
92,0,30692,Scott Stallings,174.07,103047.62,592
93,0,35461,Beau Hossler,173.95,146637.22,843
94,0,12716,Charley Hoffman,173.82,93342.90,537
94,0,46340,Alex Smalley,173.82,134187.02,772
96,0,54628,Lee Hodges,173.42,146714.99,846
97,0,55708,Hayden Buckley,173.33,99840.20,576
98,0,57975,Harry Hall,173.21,110163.86,636
99,0,32791,K.H. Lee,173.06,119241.57,689
100,0,39975,Michael Kim,173.00,106913.09,618
101,0,47591,Eric Cole,172.88,171498.40,992
102,0,32757,Patton Kizzire,172.35,131333.30,762
103,0,32839,Hideki Matsuyama,172.27,113523.74,659
104,0,48084,Wesley Bryan,172.26,44959.13,261
105,0,50095,Austin Smotherman,172.21,122271.58,710
106,0,34563,Chesson Hadley,172.10,117198.40,681
106,0,39971,Sungjae Im,172.10,152308.64,885
108,0,33597,Harry Higgs,172.03,102187.36,594
109,0,36871,Matt NeSmith,171.99,133294.54,775
110,0,22405,Justin Rose,171.94,75824.34,441
111,0,29420,Billy Horschel,171.81,82984.65,483
112,0,46414,Aaron Rai,171.73,142365.22,829
113,0,51997,Andrew Novak,171.65,101102.45,589
114,0,34466,Peter Malnati,171.60,136077.50,793
115,0,33413,Ben Martin,171.49,123469.72,720
116,0,54783,Dylan Wu,171.42,121193.71,707
117,0,49766,Hank Lebioda,171.26,65079.46,380
117,0,34610,Matthias Schwab,171.26,132215.81,772
119,0,23320,Ryan Palmer,171.24,115586.96,675
120,0,40115,Adam Svensson,171.19,163140.37,953
121,0,35532,Tom Hoge,171.08,128992.89,754
122,0,47128,Richy Werenski,171.04,105700.08,618
123,0,32448,James Hahn,170.95,100175.58,586
124,0,29221,Webb Simpson,170.90,76735.15,449
125,0,30163,Henrik Norlander,170.81,100436.12,588
126,0,36801,Mark Hubbard,170.78,138502.19,811
127,0,27936,Martin Laird,170.76,104504.65,612
128,0,52374,Brandon Wu,170.73,149213.86,874
129,0,57362,Austin Eckroat,170.71,113353.16,664
130,0,53165,Doc Redman,170.68,111793.75,655
131,0,25686,Jason Dufner,170.63,108180.51,634
132,0,50525,Collin Morikawa,170.53,100614.84,590
133,0,31646,Emiliano Grillo,170.50,130604.99,766
134,0,49960,Sepp Straka,170.34,125707.52,738
135,0,59018,Ryan Gerard,170.28,77137.57,453
136,0,47993,Denny McCarthy,170.20,131225.04,771
137,0,37275,Sam Ryder,170.11,149359.95,878
138,0,52375,Doug Ghim,169.93,105355.62,620
139,0,33399,Adam Hadwin,169.82,136875.33,806
140,0,49771,J.T. Poston,169.71,129486.59,763
141,0,49298,Kramer Hickok,169.62,117038.75,690
142,0,39324,J.J. Spaun,169.59,133805.46,789
143,0,25493,Nick Taylor,169.55,115801.28,683
144,0,24140,Sean O'Hair,169.49,49150.99,290
145,0,46441,Robby Shelton,169.47,122358.89,722
146,0,51349,Nico Echavarria,169.42,93691.85,553
147,0,45609,Tyler Duncan,169.11,126830.50,750
148,0,52513,Carson Young,168.99,112546.03,666
149,0,55182,Tom Kim,168.93,120617.35,714
150,0,34076,Joel Dahmen,168.81,135045.67,800
151,0,27214,Kevin Streelman,168.71,124507.38,738
152,0,47983,Chad Ramey,168.63,148226.04,879
153,0,27974,Sung Kang,168.56,44162.67,262
154,0,25900,Lucas Glover,168.47,120453.68,715
155,0,22371,Aaron Baddeley,168.44,77649.21,461
156,0,37455,Si Woo Kim,168.38,157603.21,936
157,0,30926,Chris Kirk,168.32,125227.90,744
158,0,29908,C.T. Pan,168.28,61759.06,367
159,0,32139,Danny Willett,168.14,84239.92,501
