RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,51491,Brandon Matthews,137' 6",40419' 8",294
2,0,32102,Rickie Fowler,127' 9",74743' 10",585
3,0,33141,Keegan Bradley,127' 0",78106' 8",615
4,0,33948,Byeong Hun An,125' 2",103499' 9",827
5,0,57366,Cameron Young,124' 0",72892' 10",588
6,0,32448,James Hahn,123' 8",72475' 3",586
7,0,36799,Stephan Jaeger,122' 2",125582' 3",1028
8,0,47504,Sam Burns,121' 11",73034' 4",599
9,0,28237,Rory McIlroy,121' 6",54778' 4",451
10,0,32366,Kevin Chappell,120' 4",42729' 10",355
11,0,45157,Cam Davis,119' 11",79842' 1",666
12,0,51766,Wyndham Clark,119' 5",77364' 7",648
13,0,52955,Ludvig Åberg,119' 3",42935' 9",360
14,0,40250,Taylor Pendrith,119' 1",88823' 8",746
15,0,33653,Thomas Detry,117' 6",66167' 0",563
16,0,54591,Ben Griffin,116' 4",95972' 10",825
17,0,50493,Justin Suh,116' 2",92729' 8",798
18,0,31323,Gary Woodland,115' 7",66462' 3",575
19,0,28089,Jason Day,115' 4",62617' 7",543
19,0,25632,Jimmy Walker,115' 4",76913' 5",667
21,0,39546,Keith Mitchell,115' 2",79108' 0",687
22,0,48867,Matti Schmid,114' 5",45296' 1",396
23,0,58696,Peter Kuest,114' 0",34421' 5",302
24,0,49453,Trevor Cone,113' 9",76206' 10",670
25,0,46601,Trey Mullinax,113' 8",68289' 0",601
26,0,35450,Patrick Cantlay,113' 6",65927' 3",581
27,0,45242,Kevin Yu,113' 4",41255' 9",364
28,0,30911,Tommy Fleetwood,112' 7",57661' 3",512
28,0,29221,Webb Simpson,112' 7",50547' 7",449
30,0,36871,Matt NeSmith,112' 6",87179' 0",775
31,0,51890,Greyson Sigg,111' 11",97448' 6",871
32,0,47591,Eric Cole,111' 4",110465' 11",992
33,0,34363,Tyrrell Hatton,111' 2",69045' 8",621
33,0,32640,Troy Merritt,111' 2",75913' 8",683
35,0,34255,Joseph Bramlett,110' 8",59892' 4",541
36,0,35506,Mackenzie Hughes,110' 6",75152' 1",680
37,0,22405,Justin Rose,110' 5",48702' 11",441
38,0,39975,Michael Kim,109' 4",67547' 11",618
