RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,06373,José María Olazábal,14,6,3,11,2002130
2,0,06575,Dudley Hart,13,1,4,7,2002050
2,0,22293,Heath Slocum,13,0,2,12,2002070
2,0,02230,Stan Utley,13,0,2,15,2002300
5,0,24925,Jonathan Byrd,12,0,2,18,2002180
5,0,24361,Pat Perez,12,0,4,7,2002390
5,0,01968,Nick Price,12,1,1,2,2002410
5,0,06078,Esteban Toledo,12,0,4,12,2002140
5,0,02206,David Toms,12,1,3,18,2002360
10,0,20098,Stuart Appleby,11,4,4,12,2002280
10,0,06621,Joe Durant,11,0,5,3,2002460
10,0,12680,Shigeki Maruyama,11,0,1,3,2002250
10,0,06090,Jim McGovern,11,0,2,16,2002270
10,0,02002,John Riegger,11,1,2,9,2002320
10,0,06567,Vijay Singh,11,0,2,13,2002380
16,0,01329,Brad Faxon,10,0,1,3,2002210
16,0,07457,Steve Flesch,10,0,1,3,2002210
16,0,21209,Sergio Garcia,10,0,1,9,2002170
16,0,19958,Miguel Angel Jiménez,10,2,3,11,2002050
16,0,01925,Jerry Pate,10,0,2,16,2002230
16,0,01928,Corey Pavin,10,0,1,1,2002020
16,0,01941,Tom Pernice Jr.,10,0,1,15,2002340
23,0,20498,Briny Baird,9,0,2,9,2002320
23,0,24357,K.J. Choi,9,0,1,17,2002340
23,0,23541,Ben Crane,9,0,3,10,2002340
23,0,06251,Chris DiMarco,9,3,2,7,2002020
23,0,01320,Bob Estes,9,0,2,8,2002280
23,0,01361,Dan Forsman,9,0,1,18,2002470
23,0,10201,Matt Gogel,9,9,2,18,2002470
23,0,01553,John Huston,9,0,2,2,2002210
23,0,01619,Skip Kendall,9,0,2,7,2002110
23,0,23108,Matt Kuchar,9,1,3,8,2002020
23,0,01706,Davis Love III,9,2,1,11,2002480
23,0,01766,Billy Mayfair,9,0,2,18,2002240
23,0,08553,Lee Porter,9,0,2,1,2002370
23,0,07749,Brett Quigley,9,6,1,2,2002470
23,0,02214,Kirk Triplett,9,2,3,3,2002270
23,0,02244,Fred Wadsworth,9,0,2,16,2002320
23,0,10423,Mike Weir,9,2,4,13,2002390
40,0,10885,Robert Allenby,8,1,4,15,2002480
40,0,01042,Paul Azinger,8,2,1,14,2002350
40,0,12826,Paul Claxton,8,1,2,14,2002270
40,0,01307,Joel Edwards,8,0,4,8,2002340
40,0,21805,Harrison Frazar,8,1,2,16,2002210
40,0,01378,David Frost,8,0,1,14,2002210
40,0,12645,Brent Geiberger,8,2,4,4,2002100
40,0,01457,Jay Haas,8,0,2,10,2002170
40,0,01475,Donnie Hammond,8,5,4,5,2002050
40,0,10117,Bob Heintz,8,0,3,8,2002050
40,0,06573,Brandt Jobe,8,0,3,1,2002280
