RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,32334,Charlie Beljan,36.56,34,93,-34,+1.00
2,0,28237,Rory McIlroy,34.34,34,99,-38,-6.00
3,0,24502,Adam Scott,33.71,30,89,-31,+3.00
4,0,27933,John Merrick,32.82,43,131,-44,-6.00
5,0,32150,Michael Thompson,32.56,28,86,-35,-19.00
6,0,30852,Ryo Ishikawa,31.58,18,57,-23,-8.00
7,0,08793,Tiger Woods,31.07,32,103,-34,-8.00
8,0,33122,Russell Knox,30.00,27,90,-35,-11.00
9,0,21961,Charles Howell III,29.66,43,145,-49,-8.00
9,0,31323,Gary Woodland,29.66,43,145,-46,+14.00
11,0,26951,Johnson Wagner,29.29,41,140,-38,-15.00
12,0,26331,Charl Schwartzel,29.27,24,82,-24,-6.00
13,0,30925,Dustin Johnson,28.35,36,127,-36,+1.00
14,0,24358,Robert Garrigus,28.29,58,205,-61,E
15,0,30692,Scott Stallings,28.14,47,167,-50,-1.00
16,0,28089,Jason Day,27.72,28,101,-30,+5.00
17,0,21805,Harrison Frazar,27.62,29,105,-29,-11.00
18,0,29479,Scott Brown,27.52,30,109,-28,-1.00
19,0,22046,Geoff Ogilvy,27.43,31,113,-34,-7.00
20,0,27895,Jonas Blixt,27.27,33,121,-37,-4.00
21,0,25632,Jimmy Walker,27.00,54,200,-57,+4.00
22,0,27095,Nick Watney,26.92,42,156,-49,-8.00
23,0,29420,Billy Horschel,26.88,25,93,-26,E
24,0,20848,Ángel Cabrera,26.83,22,82,-25,+1.00
25,0,01810,Phil Mickelson,26.76,38,142,-37,-11.00
26,0,11123,Chris Couch,26.72,35,131,-40,+11.00
27,0,24140,Sean O'Hair,26.70,47,176,-48,-4.00
28,0,24924,Bill Haas,26.67,40,150,-37,-2.00
29,0,23541,Ben Crane,26.52,35,132,-39,-15.00
30,0,24361,Pat Perez,26.47,36,136,-36,-16.00
31,0,27649,Brandt Snedeker,26.36,29,110,-29,-17.00
32,0,25686,Jason Dufner,26.19,33,126,-33,-12.00
33,0,27436,Graham DeLaet,26.17,39,149,-40,+6.00
34,0,27141,J.B. Holmes,26.04,50,192,-53,+7.00
35,0,33141,Keegan Bradley,25.97,47,181,-47,-8.00
36,0,25240,D.A. Points,25.90,43,166,-41,-11.00
37,0,23135,Tim Clark,25.76,17,66,-15,-18.00
38,0,25804,Bubba Watson,25.75,43,167,-51,-4.00
39,0,06567,Vijay Singh,25.70,46,179,-49,+2.00
40,0,32698,Bobby Gates,25.58,44,172,-45,E
41,0,21528,Henrik Stenson,25.51,25,98,-23,-7.00
42,0,26289,Boo Weekley,25.47,27,106,-28,+7.00
43,0,20572,Rod Pampling,25.42,30,118,-30,-12.00
44,0,12782,Tim Herron,25.41,31,122,-29,-13.00
45,0,23638,Brendon de Jonge,25.25,51,202,-51,-23.00
46,0,27644,Brian Harman,25.00,40,160,-48,-23.00
46,0,35139,Richard Lee,25.00,25,100,-25,-14.00
46,0,20691,Greg Owen,25.00,37,148,-35,-17.00
49,0,01766,Billy Mayfair,24.84,38,153,-36,-1.00
50,0,20574,Mathew Goggin,24.79,29,117,-32,-9.00
51,0,27064,Jhonattan Vegas,24.70,41,166,-39,+1.00
52,0,22913,John Rollins,24.67,37,150,-37,-10.00
53,0,29518,Brendan Steele,24.62,32,130,-27,-8.00
54,0,29476,Kyle Reifers,24.56,28,114,-29,-11.00
55,0,27330,Josh Teater,24.49,48,196,-49,E
