RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,46970,Jon Rahm,12.27,170,1386
2,0,35450,Patrick Cantlay,12.54,176,1404
3,0,40026,Daniel Berger,12.76,193,1512
4,0,30926,Chris Kirk,12.92,200,1548
5,0,45526,Abraham Ancer,13.15,232,1764
6,0,34098,Russell Henley,13.16,199,1512
7,0,28252,Seamus Power,13.22,138,1044
8,0,29221,Webb Simpson,13.29,177,1332
8,0,33419,Cameron Tringale,13.29,220,1656
10,0,21961,Charles Howell III,13.33,168,1260
11,0,26329,Louis Oosthuizen,13.51,180,1332
12,0,49766,Hank Lebioda,13.73,178,1296
13,0,39971,Sungjae Im,13.93,306,2196
14,0,33448,Justin Thomas,14.09,213,1512
15,0,33490,Bo Hoag,14.11,221,1566
16,0,33122,Russell Knox,14.13,234,1656
17,0,50525,Collin Morikawa,14.17,199,1404
18,0,29535,Brice Garnett,14.19,235,1656
19,0,22056,Cameron Percy,14.21,197,1386
20,0,35891,Cameron Smith,14.23,210,1476
21,0,31646,Emiliano Grillo,14.24,246,1728
22,0,33120,Mark Anderson,14.29,144,1008
23,0,52375,Doug Ghim,14.34,222,1548
24,0,25364,Paul Casey,14.43,187,1296
24,0,25396,Kevin Na,14.43,226,1566
24,0,47483,Will Zalatoris,14.43,226,1566
27,0,27644,Brian Harman,14.44,260,1800
28,0,24361,Pat Perez,14.53,251,1728
29,0,21209,Sergio Garcia,14.56,194,1332
30,0,30110,Kyle Stanley,14.57,236,1620
31,0,45486,Joaquin Niemann,14.60,268,1836
32,0,30692,Scott Stallings,14.62,200,1368
33,0,33486,Roger Sloan,14.63,216,1476
34,0,34099,Harris English,14.67,243,1656
35,0,48081,Xander Schauffele,14.69,201,1368
36,0,46717,Viktor Hovland,14.73,220,1494
36,0,34256,Andrew Putnam,14.73,236,1602
38,0,39997,Corey Conners,14.74,276,1872
39,0,28089,Jason Day,14.79,173,1170
40,0,22371,Aaron Baddeley,14.81,144,972
40,0,46402,Talor Gooch,14.81,240,1620
42,0,20229,Stewart Cink,14.88,241,1620
43,0,33141,Keegan Bradley,14.92,231,1548
43,0,32757,Patton Kizzire,14.92,274,1836
45,0,37455,Si Woo Kim,14.95,253,1692
46,0,46442,Maverick McNealy,14.96,210,1404
46,0,31560,Brian Stuard,14.96,280,1872
48,0,12716,Charley Hoffman,14.98,267,1782
49,0,53165,Doc Redman,14.99,205,1368
50,0,32448,James Hahn,15.00,189,1260
51,0,30925,Dustin Johnson,15.05,195,1296
52,0,29725,Tony Finau,15.12,245,1620
53,0,47504,Sam Burns,15.15,229,1512
53,0,30163,Henrik Norlander,15.15,229,1512
55,0,19803,Ryan Armour,15.17,213,1404
55,0,32839,Hideki Matsuyama,15.17,254,1674
57,0,47959,Bryson DeChambeau,15.21,219,1440
58,0,33413,Ben Martin,15.22,137,900
58,0,27214,Kevin Streelman,15.22,263,1728
60,0,23325,Vaughn Taylor,15.24,214,1404
61,0,37189,Harold Varner III,15.25,247,1620
62,0,46046,Scottie Scheffler,15.31,270,1764
63,0,24140,Sean O'Hair,15.36,141,918
64,0,34360,Patrick Reed,15.38,216,1404
65,0,47347,Adam Schenk,15.41,283,1836
66,0,29268,Bronson Burgoon,15.43,200,1296
67,0,29420,Billy Horschel,15.44,239,1548
67,0,48119,Ben Taylor,15.44,139,900
69,0,39953,Chase Seiffert,15.46,217,1404
70,0,27330,Josh Teater,15.51,134,864
71,0,33667,Carlos Ortiz,15.52,257,1656
72,0,25493,Nick Taylor,15.56,252,1620
72,0,51894,Vince Whaley,15.56,224,1440
74,0,36801,Mark Hubbard,15.57,269,1728
75,0,34363,Tyrrell Hatton,15.58,157,1008
75,0,34431,Robert Streb,15.58,230,1476
77,0,31420,Anirban Lahiri,15.60,191,1224
78,0,24024,Zach Johnson,15.61,236,1512
78,0,26476,Chez Reavie,15.61,236,1512
80,0,26300,Matt Jones,15.63,287,1836
81,0,28775,Nate Lashley,15.64,214,1368
82,0,27349,Alex Noren,15.65,231,1476
83,0,30944,Jason Kokrak,15.66,248,1584
84,0,23320,Ryan Palmer,15.77,210,1332
85,0,30927,Brendon Todd,15.83,245,1548
86,0,33404,Chris Baker,15.84,154,972
87,0,26851,Marc Leishman,15.86,217,1368
88,0,23983,Luke Donald,15.87,160,1008
89,0,46435,Austin Cook,15.90,206,1296
89,0,29908,C.T. Pan,15.90,229,1440
91,0,34046,Jordan Spieth,15.91,252,1584
92,0,49964,Aaron Wise,15.97,230,1440
93,0,27129,Luke List,16.04,257,1602
93,0,32333,Kevin Tway,16.04,179,1116
95,0,36689,Brooks Koepka,16.08,191,1188
95,0,23108,Matt Kuchar,16.08,191,1188
97,0,25686,Jason Dufner,16.09,249,1548
98,0,32662,Michael Gligic,16.11,232,1440
99,0,29974,Branden Grace,16.12,235,1458
100,0,24138,Ian Poulter,16.13,209,1296
101,0,27064,Jhonattan Vegas,16.22,257,1584
102,0,34255,Joseph Bramlett,16.24,228,1404
102,0,51766,Wyndham Clark,16.24,228,1404
104,0,47993,Denny McCarthy,16.25,275,1692
105,0,27770,Camilo Villegas,16.31,226,1386
106,0,34076,Joel Dahmen,16.33,241,1476
107,0,32791,K.H. Lee,16.35,312,1908
108,0,35310,Lanto Griffin,16.36,265,1620
108,0,35506,Mackenzie Hughes,16.36,265,1620
110,0,32816,Satoshi Kodaira,16.37,224,1368
110,0,33204,Shane Lowry,16.37,224,1368
112,0,24924,Bill Haas,16.41,130,792
112,0,26758,David Hearn,16.41,189,1152
112,0,26331,Charl Schwartzel,16.41,254,1548
115,0,25900,Lucas Glover,16.44,284,1728
116,0,35461,Beau Hossler,16.48,261,1584
116,0,36871,Matthew NeSmith,16.48,261,1584
118,0,29478,Kevin Kisner,16.52,232,1404
119,0,32640,Troy Merritt,16.55,292,1764
120,0,49298,Kramer Hickok,16.59,206,1242
121,0,39977,Max Homa,16.60,257,1548
122,0,49960,Sepp Straka,16.61,287,1728
123,0,48045,Michael Gellerman,16.67,141,846
123,0,28679,Fabián Gómez,16.67,162,972
123,0,28237,Rory McIlroy,16.67,222,1332
123,0,27942,Rob Oppenheim,16.67,222,1332
123,0,25818,Scott Piercy,16.67,237,1422
123,0,32150,Michael Thompson,16.67,222,1332
129,0,29479,Scott Brown,16.74,241,1440
130,0,28420,Ryan Brehm,16.76,175,1044
131,0,48822,Sebastián Muñoz,16.78,308,1836
132,0,37275,Sam Ryder,16.80,260,1548
132,0,47128,Richy Werenski,16.80,260,1548
134,0,40006,Erik van Rooyen,16.82,221,1314
135,0,34174,John Huh,16.86,176,1044
136,0,29970,Dylan Frittelli,16.90,219,1296
136,0,39324,J.J. Spaun,16.90,219,1296
138,0,40098,Matt Fitzpatrick,16.92,201,1188
139,0,27936,Martin Laird,16.94,244,1440
140,0,35532,Tom Hoge,17.01,294,1728
141,0,33399,Adam Hadwin,17.05,270,1584
142,0,25804,Bubba Watson,17.07,212,1242
143,0,36699,Patrick Rodgers,17.10,314,1836
144,0,29518,Brendan Steele,17.18,235,1368
145,0,34563,Chesson Hadley,17.21,223,1296
146,0,45157,Cam Davis,17.32,293,1692
147,0,35104,Tom Lewis,17.36,250,1440
148,0,32618,Rhein Gibson,17.46,176,1008
148,0,35449,Adam Long,17.46,264,1512
150,0,23788,D.J. Trahan,17.51,208,1188
151,0,33597,Harry Higgs,17.57,253,1440
152,0,27649,Brandt Snedeker,17.59,266,1512
153,0,32254,Xinjun Zhang,17.65,216,1224
154,0,33948,Byeong Hun An,17.72,268,1512
155,0,32102,Rickie Fowler,17.74,249,1404
156,0,30911,Tommy Fleetwood,17.78,192,1080
157,0,39546,Keith Mitchell,17.79,269,1512
158,0,45609,Tyler Duncan,17.90,290,1620
158,0,27095,Nick Watney,17.90,174,972
160,0,24357,K.J. Choi,18.06,169,936
160,0,35230,Nelson Ledesma,18.06,156,864
162,0,34466,Peter Malnati,18.13,261,1440
163,0,49771,J.T. Poston,18.19,275,1512
163,0,20396,Lee Westwood,18.19,203,1116
165,0,40042,Tyler McCumber,18.22,223,1224
166,0,46550,Brandon Hagy,18.32,244,1332
167,0,33410,Andrew Landry,18.35,218,1188
168,0,34264,Hudson Swafford,18.43,272,1476
169,0,24502,Adam Scott,18.44,239,1296
170,0,52372,Cameron Champ,18.52,250,1350
170,0,23621,Rory Sabbatini,18.52,250,1350
170,0,23623,Bo Van Pelt,18.52,240,1296
173,0,26499,Rafa Cabrera Bello,18.54,247,1332
174,0,22405,Justin Rose,18.72,182,972
175,0,46441,Robby Shelton,18.75,270,1440
176,0,56278,Matthew Wolff,18.79,186,990
177,0,27554,Scott Harrington,18.92,269,1422
178,0,48887,Matt Wallace,18.97,181,954
179,0,56762,Will Gordon,19.13,303,1584
180,0,31557,Jim Herman,19.28,229,1188
181,0,31323,Gary Woodland,19.29,243,1260
182,0,32070,Rafael Campos,19.35,209,1080
183,0,29926,Danny Lee,19.40,206,1062
184,0,19846,Brian Gay,19.52,246,1260
185,0,34314,Sebastian Cappelen,19.86,193,972
186,0,27974,Sung Kang,19.96,309,1548
187,0,32139,Danny Willett,19.98,169,846
188,0,35658,Kris Ventura,20.16,254,1260
189,0,39975,Michael Kim,20.45,254,1242
190,0,01810,Phil Mickelson,20.72,276,1332
191,0,27556,Ted Potter Jr.,21.00,257,1224
192,0,27141,J.B. Holmes,21.06,182,864
193,0,25632,Jimmy Walker,21.55,287,1332
194,0,35617,Martin Trainer,21.56,229,1062
195,0,24781,Hunter Mahan,22.81,234,1026
196,0,34213,Grayson Murray,23.47,207,882
