RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,08793,Tiger Woods,+3.39,68.73,72.12
2,0,10809,Jim Furyk,+2.40,69.45,71.85
3,0,24502,Adam Scott,+2.15,70.01,72.16
4,0,01810,Phil Mickelson,+2.10,70.07,72.17
5,0,23983,Luke Donald,+2.08,70.06,72.14
6,0,06527,Steve Stricker,+1.85,69.55,71.40
7,0,06567,Vijay Singh,+1.70,70.21,71.91
8,0,22378,Trevor Immelman,+1.63,69.93,71.56
9,0,06522,Ernie Els,+1.49,70.63,72.12
10,0,10885,Robert Allenby,+1.35,70.48,71.83
11,0,06373,José María Olazábal,+1.30,71.09,72.39
12,0,24925,Jonathan Byrd,+1.29,69.97,71.26
12,0,20229,Stewart Cink,+1.29,70.30,71.59
14,0,24138,Ian Poulter,+1.25,71.04,72.29
15,0,20628,Arron Oberholser,+1.23,70.37,71.60
16,0,20157,Retief Goosen,+1.21,70.98,72.19
17,0,20098,Stuart Appleby,+1.19,70.87,72.06
17,0,25900,Lucas Glover,+1.19,70.56,71.75
19,0,07749,Brett Quigley,+1.18,70.31,71.49
19,0,02206,David Toms,+1.18,70.57,71.75
21,0,10423,Mike Weir,+1.16,70.76,71.92
22,0,22046,Geoff Ogilvy,+1.13,71.19,72.32
23,0,20766,Padraig Harrington,+1.11,70.92,72.03
24,0,21209,Sergio Garcia,+1.09,71.45,72.54
25,0,06004,Stephen Ames,+1.08,70.79,71.87
26,0,24357,K.J. Choi,+.96,70.65,71.61
27,0,20645,John Senden,+.92,70.51,71.43
28,0,23135,Tim Clark,+.91,71.04,71.95
29,0,22405,Justin Rose,+.86,70.35,71.21
29,0,23621,Rory Sabbatini,+.86,70.80,71.66
29,0,23325,Vaughn Taylor,+.86,70.86,71.72
32,0,24507,Jason Bohn,+.82,70.82,71.64
33,0,01941,Tom Pernice Jr.,+.81,70.65,71.46
34,0,12660,Jesper Parnevik,+.80,70.64,71.44
35,0,20498,Briny Baird,+.77,70.51,71.28
35,0,23623,Bo Van Pelt,+.77,70.79,71.56
37,0,23353,J.J. Henry,+.76,70.84,71.60
37,0,11032,Frank Lickliter II,+.76,70.47,71.23
39,0,12716,Charley Hoffman,+.75,70.62,71.37
40,0,24024,Zach Johnson,+.74,70.85,71.59
40,0,20572,Rod Pampling,+.74,70.98,71.72
42,0,19846,Brian Gay,+.73,70.32,71.05
43,0,01706,Davis Love III,+.71,71.11,71.82
44,0,06515,Shaun Micheel,+.70,70.91,71.61
44,0,20691,Greg Owen,+.70,71.00,71.70
46,0,02239,Scott Verplank,+.69,70.57,71.26
47,0,20850,Daniel Chopra,+.67,70.65,71.32
48,0,25345,Carl Pettersson,+.64,71.31,71.95
49,0,23349,Charles Warren,+.63,70.69,71.32
50,0,12510,Chad Campbell,+.62,70.90,71.52
50,0,06621,Joe Durant,+.62,70.75,71.37
52,0,01381,Fred Funk,+.61,70.90,71.51
53,0,23322,Brett Wetterich,+.57,70.68,71.25
54,0,23541,Ben Crane,+.56,71.23,71.79
54,0,20608,David Howell,+.56,71.67,72.23
54,0,27095,Nick Watney,+.56,70.82,71.38
57,0,12680,Shigeki Maruyama,+.55,70.72,71.27
58,0,06251,Chris DiMarco,+.53,71.04,71.57
58,0,08075,Jerry Kelly,+.53,70.80,71.33
58,0,01766,Billy Mayfair,+.53,71.00,71.53
58,0,12602,Dean Wilson,+.53,70.71,71.24
62,0,01226,Fred Couples,+.51,71.72,72.23
62,0,21350,Ryuji Imada,+.51,70.76,71.27
62,0,06595,Kevin Sutherland,+.51,70.68,71.19
65,0,26420,Richard Johnson,+.50,70.85,71.35
