RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
1,0,01876,Greg Norman,$1165477,2
2,0,01682,Wayne Levi,$1024647,4
3,0,02146,Payne Stewart,$976281,2
4,0,01042,Paul Azinger,$944731,1
5,0,01846,Jodie Mudd,$911746,2
6,0,01559,Hale Irwin,$838249,2
7,0,01161,Mark Calcavecchia,$834281
8,0,02100,Tim Simpson,$809772,1
9,0,01226,Fred Couples,$757999,1
10,0,01887,Mark O'Meara,$707175,2
11,0,01837,Gil Morgan,$702629,1
12,0,01766,Billy Mayfair,$693658
13,0,02242,Lanny Wadkins,$673433,1
14,0,01823,Larry Mize,$668198
15,0,01633,Tom Kite,$658202,1
16,0,01049,Ian Baker-Finch,$611492
17,0,01072,Chip Beck,$571816,1
18,0,01313,Steve Elkington,$548564,1
19,0,01569,Peter Jacobsen,$547279,1
20,0,01706,Davis Love III,$537172,1
21,0,01435,Wayne Grady,$527185,1
22,0,01968,Nick Price,$520777
23,0,02223,Bob Tway,$495862,1
24,0,02010,Loren Roberts,$478522
25,0,01385,Jim Gallagher Jr.,$476706,1
26,0,01928,Corey Pavin,$468830
27,0,01388,Robert Gamez,$461407,2
28,0,01219,John Cook,$448112
29,0,02186,Brian Tennyson,$443508
30,0,01553,John Huston,$435690,1
31,0,02049,Gene Sauers,$374485
32,0,01378,David Frost,$372485,1
33,0,01235,Ben Crenshaw,$351193,1
34,0,01599,Steve Jones,$350982
35,0,01035,Tommy Armour III,$348658,1
36,0,01284,Mike Donald,$348328
37,0,01326,Nick Faldo,$345262,2
38,0,06373,José María Olazábal,$337837,1
39,0,01926,Steve Pate,$334505
40,0,01527,Scott Hoch,$333978
41,0,01690,Bruce Lietzke,$329294
42,0,01725,John Mahaffey,$325115
43,0,01361,Dan Forsman,$319160,1
44,0,01133,Billy Ray Brown,$312466
45,0,01132,Mark Brooks,$307948
46,0,02101,Joey Sindelar,$307207,1
47,0,02239,Scott Verplank,$303589
48,0,01510,Nolan Henke,$294592,1
49,0,01975,Tom Purtzer,$285176
50,0,01945,Kenny Perry,$279881
51,0,01129,Bill Britton,$278977
52,0,02133,Craig Stadler,$278482
53,0,02159,Curtis Strange,$277172
54,0,01444,Ken Green,$267172
55,0,01355,Raymond Floyd,$264078
56,0,02104,Jeff Sluman,$264012
57,0,01938,David Peoples,$259367
58,0,01943,Chris Perry,$259108
59,0,01495,Morris Hatalsky,$253639,1
60,0,01996,Mike Reid,$249148
61,0,02094,Tony Sills,$243350,1
62,0,01797,Rocco Mediate,$240625
63,0,02099,Scott Simpson,$235309
64,0,01024,Billy Andrade,$231362
65,0,01203,Russ Cochran,$230278
66,0,01946,Peter Persons,$218505,1
67,0,01549,Mike Hulbert,$216002
68,0,02256,Tom Watson,$213989
69,0,01320,Bob Estes,$212090
70,0,02201,Jim Thorpe,$211297
71,0,01723,Andrew Magee,$210507
72,0,02279,Mark Wiebe,$210435
73,0,01639,Kenny Knox,$209679,1
74,0,01261,Jay Delsing,$207740
75,0,02170,Hal Sutton,$207084
76,0,06284,Jim Hallet,$204059
77,0,01715,Mark Lye,$201011
78,0,01096,Phil Blackmar,$200796
79,0,02321,Fuzzy Zoeller,$199629
80,0,01060,Dave Barr,$197979
81,0,01329,Brad Faxon,$197118
82,0,02067,Ted Schulz,$193127
83,0,01960,Don Pooley,$192570
84,0,02322,Richard Zokol,$191634
85,0,02241,Bobby Wadkins,$190613
86,0,01143,Brad Bryant,$189795
87,0,01560,David Ishii,$188000,1
88,0,02214,Kirk Triplett,$183464
89,0,01457,Jay Haas,$180023
90,0,02294,Willie Wood,$179972
91,0,01381,Fred Funk,$179346
92,0,02303,Robert Wrenn,$174308
93,0,02041,Bill Sander,$172886
94,0,02111,Mike Smith,$170034
95,0,01306,David Edwards,$166028
96,0,01323,Brad Fabel,$165876
97,0,01783,Mark McCumber,$163413
98,0,01196,Brian Claar,$161356
99,0,01390,Buddy Gardner,$159737
100,0,01418,Bill Glasson,$156791
101,0,02267,D.A. Weibring,$156235
