RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
1,0,26289,Boo Weekley,.89,65,73
2,0,35110,Brett Drewitt,.81,43,53
2,0,30944,Jason Kokrak,.81,77,95
4,0,20572,Rod Pampling,.79,56,71
5,0,23320,Ryan Palmer,.77,41,53
6,0,31323,Gary Woodland,.76,68,89
7,0,29740,Brad Fritsch,.75,39,52
7,0,24781,Hunter Mahan,.75,53,71
9,0,32366,Kevin Chappell,.74,67,90
9,0,25686,Jason Dufner,.74,61,82
9,0,36699,Patrick Rodgers,.74,55,74
12,0,37278,Nicholas Lindheim,.73,41,56
13,0,37189,Harold Varner III,.72,71,99
14,0,32200,Roberto Castro,.71,48,68
14,0,28307,Matt Every,.71,50,70
14,0,37455,Si Woo Kim,.71,53,75
14,0,35300,Andrew Loupe,.71,37,52
18,0,29720,Andres Gonzales,.70,48,69
19,0,28420,Ryan Brehm,.69,53,77
19,0,33122,Russell Knox,.69,48,70
21,0,46550,Brandon Hagy,.68,52,77
21,0,22056,Cameron Percy,.68,44,65
21,0,30110,Kyle Stanley,.68,68,100
24,0,28093,Miguel Angel Carballo,.67,38,57
24,0,48822,Sebastián Muñoz,.67,33,49
24,0,46970,Jon Rahm,.67,56,83
27,0,25493,Nick Taylor,.66,63,95
27,0,27064,Jhonattan Vegas,.66,59,90
29,0,29974,Branden Grace,.65,41,63
29,0,27129,Luke List,.65,64,98
29,0,25804,Bubba Watson,.65,41,63
32,0,33948,Byeong Hun An,.64,46,72
32,0,24358,Robert Garrigus,.64,46,72
32,0,25198,Francesco Molinari,.64,46,72
32,0,29908,C.T. Pan,.64,55,86
32,0,25818,Scott Piercy,.64,43,67
32,0,29485,Brett Stegmaier,.64,49,76
32,0,27214,Kevin Streelman,.64,56,88
39,0,31646,Emiliano Grillo,.63,55,87
39,0,33204,Shane Lowry,.63,31,49
39,0,28237,Rory McIlroy,.63,30,48
42,0,25396,Kevin Na,.62,51,82
42,0,23621,Rory Sabbatini,.62,40,65
42,0,27649,Brandt Snedeker,.62,31,50
45,0,35545,Blayne Barber,.61,43,71
45,0,20104,Ken Duke,.61,43,71
45,0,27141,J.B. Holmes,.61,46,76
45,0,32757,Patton Kizzire,.61,46,76
45,0,28132,Tyrone Van Aswegen,.61,59,97
50,0,25274,Steven Bowditch,.60,33,55
50,0,21209,Sergio Garcia,.60,37,62
50,0,29223,Sam Saunders,.60,42,70
50,0,30692,Scott Stallings,.60,46,77
50,0,26951,Johnson Wagner,.60,38,63
55,0,35532,Tom Hoge,.59,27,46
55,0,25572,Graeme McDowell,.59,33,56
55,0,27963,Chris Stroud,.59,35,59
58,0,47959,Bryson DeChambeau,.58,52,89
58,0,33461,Morgan Hoffmann,.58,51,88
58,0,29420,Billy Horschel,.58,50,86
58,0,35506,Mackenzie Hughes,.58,60,104
58,0,32839,Hideki Matsuyama,.58,44,76
58,0,28252,Seamus Power,.58,46,80
58,0,27095,Nick Watney,.58,40,69
65,0,33141,Keegan Bradley,.57,58,102
65,0,20157,Retief Goosen,.57,26,46
65,0,25240,D.A. Points,.57,39,68
65,0,27770,Camilo Villegas,.57,41,72
65,0,25632,Jimmy Walker,.57,37,65
70,0,33120,Mark Anderson,.56,29,52
70,0,30191,Julián Etulain,.56,35,63
70,0,33413,Ben Martin,.56,44,79
70,0,24140,Sean O'Hair,.56,47,84
70,0,34358,Jonathan Randolph,.56,35,63
