RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,29725,Tony Finau,1' 10",762,1393.833
2,0,28089,Jason Day,1' 11",569,1105.417
2,0,34098,Russell Henley,1' 11",623,1204.833
2,0,37455,Si Woo Kim,1' 11",793,1513.333
2,0,51997,Andrew Novak,1' 11",835,1570.417
2,0,47679,Victor Perez,1' 11",683,1329.833
2,0,51890,Greyson Sigg,1' 11",754,1473.083
2,0,32333,Kevin Tway,1' 11",497,949.833
2,0,27064,Jhonattan Vegas,1' 11",683,1335.000
10,0,52955,Ludvig Ãberg,2' 0",686,1377.917
10,0,33948,Byeong Hun An,2' 0",683,1368.917
10,0,22371,Aaron Baddeley,2' 0",584,1162.083
10,0,45522,Christiaan Bezuidenhout,2' 0",707,1423.667
10,0,35450,Patrick Cantlay,2' 0",543,1089.750
10,0,34021,Bud Cauley,2' 0",564,1131.667
10,0,59442,Parker Coody,2' 0",519,1020.333
10,0,30911,Tommy Fleetwood,2' 0",682,1361.250
10,0,25900,Lucas Glover,2' 0",823,1632.250
10,0,54591,Ben Griffin,2' 0",966,1940.667
10,0,27644,Brian Harman,2' 0",814,1626.000
10,0,36799,Stephan Jaeger,2' 0",764,1533.750
10,0,55182,Tom Kim,2' 0",753,1494.083
10,0,32839,Hideki Matsuyama,2' 0",640,1296.750
10,0,49947,Taylor Moore,2' 0",926,1885.083
10,0,27349,Alex Noren,2' 0",632,1268.583
10,0,30163,Henrik Norlander,2' 0",532,1084.000
10,0,23320,Ryan Palmer,2' 0",386,787.750
10,0,49771,J.T. Poston,2' 0",795,1593.667
10,0,48081,Xander Schauffele,2' 0",702,1423.500
10,0,46046,Scottie Scheffler,2' 0",630,1269.667
10,0,24502,Adam Scott,2' 0",628,1277.083
10,0,34046,Jordan Spieth,2' 0",661,1320.917
10,0,45242,Kevin Yu,2' 0",750,1526.333
10,0,47483,Will Zalatoris,2' 0",643,1277.583
35,0,40026,Daniel Berger,2' 1",691,1445.500
35,0,33141,Keegan Bradley,2' 1",759,1596.333
35,0,47504,Sam Burns,2' 1",636,1322.500
35,0,39997,Corey Conners,2' 1",865,1787.583
35,0,50497,Adrien Dumont de Chassart,2' 1",666,1394.750
35,0,57362,Austin Eckroat,2' 1",833,1707.833
35,0,32102,Rickie Fowler,2' 1",701,1467.500
35,0,31646,Emiliano Grillo,2' 1",831,1747.000
35,0,35532,Tom Hoge,2' 1",925,1913.500
35,0,29420,Billy Horschel,2' 1",701,1479.500
35,0,46717,Viktor Hovland,2' 1",528,1089.667
35,0,36801,Mark Hubbard,2' 1",945,1995.917
35,0,30926,Chris Kirk,2' 1",702,1482.667
35,0,23108,Matt Kuchar,2' 1",712,1500.083
35,0,37378,Min Woo Lee,2' 1",650,1362.500
35,0,52215,Robert MacIntyre,2' 1",654,1372.083
35,0,40250,Taylor Pendrith,2' 1",732,1506.583
35,0,46414,Aaron Rai,2' 1",826,1691.167
35,0,26476,Chez Reavie,2' 1",620,1309.417
35,0,29221,Webb Simpson,2' 1",503,1036.917
35,0,39324,J.J. Spaun,2' 1",808,1697.417
35,0,27214,Kevin Streelman,2' 1",634,1338.250
35,0,48119,Ben Taylor,2' 1",598,1251.750
35,0,33448,Justin Thomas,2' 1",621,1291.250
35,0,51894,Vince Whaley,2' 1",562,1192.750
