RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,35506,Mackenzie Hughes,55' 11",1119.083,20
2,0,52453,Nicolai HÃ¸jgaard,55' 1",1431.583,26
3,0,32333,Kevin Tway,54' 7",1036.833,19
4,0,27349,Alex Noren,53' 0",1324.083,25
5,0,50525,Collin Morikawa,52' 8",1000.667,19
6,0,45522,Christiaan Bezuidenhout,52' 2",886.583,17
7,0,54576,Patrick Fishburn,52' 0",1405.000,27
8,0,35450,Patrick Cantlay,50' 10",914.333,18
9,0,56630,Akshay Bhatia,50' 9",1319.833,26
9,0,47679,Victor Perez,50' 9",659.250,13
11,0,27129,Luke List,50' 8",1772.333,35
12,0,49960,Sepp Straka,50' 2",1154.083,23
13,0,46442,Maverick McNealy,49' 1",1422.667,29
14,0,54628,Lee Hodges,48' 10",1758.000,36
15,0,52375,Doug Ghim,48' 7",1554.000,32
16,0,58168,Davis Thompson,48' 6",1650.250,34
17,0,45609,Tyler Duncan,48' 4",870.167,18
18,0,48119,Ben Taylor,48' 3",916.083,19
19,0,32366,Kevin Chappell,47' 11",1102.000,23
19,0,39327,Ben Silverman,47' 11",1197.500,25
21,0,28252,Seamus Power,47' 10",1625.083,34
22,0,24502,Adam Scott,47' 8",905.250,19
22,0,45242,Kevin Yu,47' 8",1762.333,37
24,0,34374,Erik Barnes,47' 7",1095.167,23
25,0,60004,Jacob Bridgeman,47' 5",1280.417,27
25,0,33399,Adam Hadwin,47' 5",1421.417,30
25,0,51287,Ryo Hisatsune,47' 5",1516.333,32
28,0,35461,Beau Hossler,47' 4",1467.250,31
29,0,34099,Harris English,47' 3",1511.333,32
30,0,57362,Austin Eckroat,47' 2",1320.583,28
30,0,39324,J.J. Spaun,47' 2",1319.917,28
32,0,28237,Rory McIlroy,46' 11",1172.500,25
32,0,47483,Will Zalatoris,46' 11",1547.000,33
34,0,33141,Keegan Bradley,46' 10",1263.417,27
34,0,25493,Nick Taylor,46' 10",1684.500,36
36,0,36801,Mark Hubbard,46' 9",1730.833,37
37,0,29420,Billy Horschel,46' 6",1393.917,30
38,0,54421,Garrick Higgo,46' 4",973.583,21
39,0,55893,Sam Stevens,46' 3",1758.417,38
40,0,56149,Wilson Furr,46' 2",1477.417,32
40,0,51890,Greyson Sigg,46' 2",1614.500,35
42,0,28089,Jason Day,46' 1",921.167,20
42,0,47988,Nick Hardy,46' 1",1982.333,43
42,0,40162,Justin Lower,46' 1",1798.417,39
45,0,55708,Hayden Buckley,46' 0",1424.833,31
45,0,52215,Robert MacIntyre,46' 0",919.583,20
47,0,48699,Callum Tarren,45' 11",2112.583,46
48,0,39546,Keith Mitchell,45' 10",2062.333,45
49,0,35617,Martin Trainer,45' 8",1096.167,24
50,0,50497,Adrien Dumont de Chassart,45' 7",1413.917,31
51,0,47993,Denny McCarthy,45' 6",1138.500,25
52,0,29725,Tony Finau,45' 5",1497.500,33
53,0,40098,Matt Fitzpatrick,45' 4",1223.833,27
53,0,59095,Chris Gotterup,45' 4",1767.500,39
53,0,35310,Lanto Griffin,45' 4",1813.000,40
53,0,51070,Vincent Norrman,45' 4",1632.333,36
57,0,54591,Ben Griffin,45' 2",1626.500,36
58,0,33408,Tyson Alexander,45' 1",1351.667,30
58,0,52374,Brandon Wu,45' 1",1668.667,37
60,0,12716,Charley Hoffman,45' 0",1439.583,32
60,0,46414,Aaron Rai,45' 0",1304.167,29
60,0,27770,Camilo Villegas,45' 0",1259.000,28
63,0,24024,Zach Johnson,44' 11",943.583,21
64,0,27936,Martin Laird,44' 10",1523.333,34
65,0,36699,Patrick Rodgers,44' 8",1519.500,34
66,0,34563,Chesson Hadley,44' 6",1245.667,28
66,0,34587,Chan Kim,44' 6",2135.500,48
68,0,27649,Brandt Snedeker,44' 5",1553.417,35
69,0,47420,Jake Knapp,44' 4",1462.917,33
70,0,33948,Byeong Hun An,44' 3",1461.000,33
71,0,49947,Taylor Moore,44' 2",1412.417,32
72,0,36799,Stephan Jaeger,44' 1",1321.500,30
73,0,29535,Brice Garnett,44' 0",1319.833,30
74,0,33204,Shane Lowry,43' 11",1098.750,25
75,0,57975,Harry Hall,43' 10",1184.250,27
76,0,51977,Max Greyserman,43' 8",1135.167,26
76,0,51696,Rico Hoey,43' 8",1660.333,38
76,0,51997,Andrew Novak,43' 8",1004.917,23
76,0,48887,Matt Wallace,43' 8",1791.833,41
80,0,55789,Taylor Montgomery,43' 6",609.417,14
80,0,47983,Chad Ramey,43' 6",1697.583,39
82,0,30911,Tommy Fleetwood,43' 5",1041.917,24
82,0,32757,Patton Kizzire,43' 5",1301.750,30
84,0,32102,Rickie Fowler,43' 4",1342.750,31
84,0,40006,Erik van Rooyen,43' 4",1472.583,34
86,0,57366,Cameron Young,43' 2",1813.083,42
87,0,46113,Ryan McCormick,43' 1",1120.500,26
87,0,31323,Gary Woodland,43' 1",1724.000,40
89,0,52513,Carson Young,43' 0",1936.500,45
90,0,32070,Rafael Campos,42' 9",1496.083,35
90,0,39971,Sungjae Im,42' 9",1411.750,33
90,0,30163,Henrik Norlander,42' 9",939.583,22
90,0,40115,Adam Svensson,42' 9",2394.500,56
94,0,34255,Joseph Bramlett,42' 8",2218.583,52
94,0,46717,Viktor Hovland,42' 8",895.833,21
94,0,50188,S.H. Kim,42' 8",1793.167,42
94,0,32640,Troy Merritt,42' 8",1193.500,28
94,0,40250,Taylor Pendrith,42' 8",1194.833,28
99,0,52955,Ludvig Ãberg,42' 7",1193.000,28
99,0,59836,Pierceson Coody,42' 7",852.083,20
99,0,33486,Roger Sloan,42' 7",1192.833,28
102,0,27330,Josh Teater,42' 6",1274.333,30
103,0,26596,Ryan Moore,42' 3",1774.083,42
103,0,51894,Vince Whaley,42' 3",760.917,18
