RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,51977,Max Greyserman,85' 6",65680,64,40' 0",370
2,0,48153,Matthieu Pavon,83' 10",53334,53,38' 11",40
3,0,40162,Justin Lower,83' 4",81994,82,39' 1",460
4,0,24024,Zach Johnson,81' 4",41961,43,38' 3",200
5,0,51766,Wyndham Clark,81' 3",60424,62,37' 10",50
6,0,46717,Viktor Hovland,79' 11",49853,52,37' 5",380
7,0,47993,Denny McCarthy,79' 8",73608,77,37' 6",380
8,0,52513,Carson Young,79' 7",68767,72,37' 4",40
9,0,29936,Ryan Fox,79' 5",65790,69,37' 1",60
10,0,33653,Thomas Detry,78' 11",61525,65,37' 0",270
10,0,34099,Harris English,78' 11",72906,77,36' 10",60
10,0,40006,Erik van Rooyen,78' 11",66277,70,36' 10",210
13,0,60004,Jacob Bridgeman,78' 8",56656,60,36' 10",40
14,0,40098,Matt Fitzpatrick,78' 3",58220,62,36' 6",120
14,0,40250,Taylor Pendrith,78' 3",66642,71,36' 7",400
14,0,51634,Sahith Theegala,78' 3",79778,85,36' 9",230
17,0,55789,Taylor Montgomery,78' 1",42180,45,36' 9",90
18,0,33486,Roger Sloan,78' 0",49626,53,36' 5",210
19,0,35461,Beau Hossler,77' 11",73894,79,36' 6",200
19,0,55893,Sam Stevens,77' 11",72961,78,36' 11",350
21,0,35617,Martin Trainer,77' 6",37198,40,36' 3",370
22,0,35532,Tom Hoge,77' 5",84579,91,36' 1",230
22,0,50484,Hayden Springer,77' 5",50179,54,36' 5",430
24,0,50493,Justin Suh,77' 3",57461,62,36' 4",350
25,0,47504,Sam Burns,77' 2",61114,66,36' 3",390
26,0,35506,Mackenzie Hughes,77' 1",76810,83,36' 6",350
26,0,32791,K.H. Lee,77' 1",62866,68,35' 11",430
28,0,37275,Sam Ryder,77' 0",55439,60,35' 9",120
28,0,48867,Matti Schmid,77' 0",58238,63,36' 1",440
28,0,39327,Ben Silverman,77' 0",65607,71,36' 2",410
31,0,45522,Christiaan Bezuidenhout,76' 10",66417,72,35' 10",260
31,0,36884,Ben Kohles,76' 10",66370,72,35' 10",230
33,0,59836,Pierceson Coody,76' 8",57056,62,36' 0",150
34,0,33408,Tyson Alexander,76' 7",54233,59,35' 11",20
34,0,35450,Patrick Cantlay,76' 7",50556,55,36' 0",280
34,0,46046,Scottie Scheffler,76' 7",56953,62,35' 10",50
34,0,30927,Brendon Todd,76' 7",81761,89,35' 10",300
38,0,27936,Martin Laird,76' 6",51404,56,35' 11",120
39,0,59866,Nick Dunlap,76' 5",58716,64,35' 11",370
40,0,48081,Xander Schauffele,76' 3",63118,69,35' 8",120
41,0,34563,Chesson Hadley,76' 2",55729,61,35' 7",210
41,0,51287,Ryo Hisatsune,76' 2",62170,68,35' 8",200
41,0,29420,Billy Horschel,76' 2",61249,67,35' 10",230
41,0,29478,Kevin Kisner,76' 2",42951,47,35' 8",350
45,0,33204,Shane Lowry,76' 1",55686,61,35' 7",230
45,0,52666,Sami Valimaki,76' 1",52037,57,35' 6",240
47,0,32366,Kevin Chappell,76' 0",36489,40,35' 9",300
47,0,39971,Sungjae Im,76' 0",72062,79,35' 8",400
