RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,24358,Robert Garrigus,75.90,126,40
2,0,33141,Keegan Bradley,72.22,156,60
3,0,30110,Kyle Stanley,70.85,141,58
4,0,21528,Henrik Stenson,69.85,95,41
5,0,25804,Bubba Watson,68.56,133,61
6,0,26331,Charl Schwartzel,67.07,110,54
7,0,31557,Jim Herman,66.67,88,44
8,0,23621,Rory Sabbatini,65.73,140,73
9,0,24502,Adam Scott,65.00,91,49
10,0,23320,Ryan Palmer,63.33,133,77
11,0,30925,Dustin Johnson,63.29,100,58
12,0,27408,Martin Kaymer,63.11,77,45
13,0,25274,Steven Bowditch,62.92,112,66
14,0,24781,Hunter Mahan,62.78,140,83
15,0,33869,Eric Meierdierks,62.18,74,45
16,0,26679,Kevin Stadler,62.15,133,81
17,0,20848,Ángel Cabrera,62.07,108,66
18,0,20396,Lee Westwood,61.59,101,63
19,0,21209,Sergio Garcia,61.49,91,57
20,0,28307,Matt Every,61.33,157,99
21,0,28237,Rory McIlroy,61.27,87,55
22,0,08793,Tiger Woods,61.03,83,53
23,0,31323,Gary Woodland,60.31,158,104
24,0,25900,Lucas Glover,60.12,104,69
25,0,29425,Andrew Svoboda,60.00,63,42
26,0,25818,Scott Piercy,59.90,115,77
27,0,25562,Andres Romero,59.76,98,66
28,0,22792,Peter Hanson,59.57,56,38
29,0,34046,Jordan Spieth,59.31,121,83
30,0,29221,Webb Simpson,59.15,126,87
31,0,21961,Charles Howell III,58.91,152,106
32,0,26289,Boo Weekley,58.80,147,103
33,0,30944,Jason Kokrak,58.70,135,95
34,0,22056,Cameron Percy,58.48,100,71
35,0,32334,Charlie Beljan,58.43,104,74
36,0,26851,Marc Leishman,58.33,112,80
37,0,20691,Greg Owen,57.84,118,86
38,0,26300,Matt Jones,57.73,127,93
39,0,28475,Jeff Overton,57.51,134,99
40,0,27129,Luke List,57.40,97,72
41,0,27214,Kevin Streelman,57.21,119,89
42,0,01810,Phil Mickelson,57.14,104,78
42,0,22405,Justin Rose,57.14,80,60
44,0,37273,Derek Ernst,56.95,86,65
45,0,20645,John Senden,56.93,115,87
46,0,27436,Graham DeLaet,56.80,142,108
47,0,33461,Morgan Hoffmann,56.38,84,65
48,0,24140,Sean O'Hair,56.17,91,71
49,0,27330,Josh Teater,55.88,114,90
50,0,30692,Scott Stallings,55.66,118,94
51,0,23788,D.J. Trahan,55.26,63,51
52,0,25632,Jimmy Walker,55.20,138,112
53,0,28089,Jason Day,55.10,108,88
54,0,34360,Patrick Reed,55.00,121,99
55,0,12716,Charley Hoffman,54.96,133,109
56,0,30163,Henrik Norlander,54.95,100,82
57,0,23452,Nicolas Colsaerts,54.87,62,51
58,0,33418,Shawn Stefani,54.73,81,67
59,0,20766,Padraig Harrington,54.72,58,48
60,0,27095,Nick Watney,54.58,131,109
61,0,29740,Brad Fritsch,54.25,115,97
61,0,22913,John Rollins,54.25,115,97
63,0,06567,Vijay Singh,54.05,80,68
64,0,34431,Robert Streb,53.80,99,85
65,0,32102,Rickie Fowler,53.72,101,87
66,0,06522,Ernie Els,53.29,81,71
67,0,34099,Harris English,53.15,135,119
68,0,24924,Bill Haas,52.97,116,103
69,0,29289,S.Y. Noh,52.76,105,94
70,0,23108,Matt Kuchar,52.75,115,103
71,0,28500,Martin Flores,52.38,121,110
72,0,29479,Scott Brown,52.15,97,89
73,0,30852,Ryo Ishikawa,52.02,90,83
74,0,23638,Brendon de Jonge,52.01,155,143
75,0,34174,John Huh,51.69,122,114
76,0,12510,Chad Campbell,51.57,115,108
77,0,28780,Nicholas Thompson,51.48,139,131
78,0,24361,Pat Perez,51.43,108,102
79,0,32366,Kevin Chappell,51.35,114,108
80,0,30750,Tommy Gainey,51.32,117,111
81,0,23497,Tag Ridings,51.11,92,88
82,0,30926,Chris Kirk,50.97,131,126
83,0,20572,Rod Pampling,50.89,57,55
84,0,27644,Brian Harman,50.62,122,119
85,0,25345,Carl Pettersson,50.25,101,100
86,0,22371,Aaron Baddeley,50.00,100,100
86,0,06573,Brandt Jobe,50.00,82,82
88,0,24494,Erik Compton,49.74,97,98
89,0,32448,James Hahn,49.55,109,111
90,0,34098,Russell Henley,49.50,100,102
91,0,26596,Ryan Moore,49.44,89,91
92,0,29420,Billy Horschel,49.24,130,134
93,0,25686,Jason Dufner,48.90,89,93
94,0,27936,Martin Laird,48.89,88,92
95,0,20229,Stewart Cink,48.88,87,91
96,0,27895,Jonas Blixt,48.78,100,105
97,0,23325,Vaughn Taylor,48.74,58,61
98,0,19970,Robert Karlsson,48.70,56,59
99,0,28259,Sangmoon Bae,48.64,107,113
100,0,27770,Camilo Villegas,48.45,94,100
101,0,06527,Steve Stricker,48.21,54,58
102,0,25240,D.A. Points,47.66,102,112
103,0,25834,Daniel Summerhays,47.64,121,133
104,0,28679,Fabián Gómez,47.46,84,93
105,0,24490,George McNeill,47.15,91,102
106,0,21731,Freddie Jacobson,47.01,63,71
107,0,23623,Bo Van Pelt,46.89,83,94
108,0,34021,Bud Cauley,46.67,84,96
109,0,24663,Y.E. Yang,46.55,54,62
110,0,24846,Ricky Barnes,46.27,93,108
111,0,24024,Zach Johnson,46.15,96,112
112,0,24399,Scott Gardiner,46.06,76,89
113,0,31202,William McGirt,45.78,103,122
114,0,32698,Bobby Gates,45.76,54,64
114,0,28092,D.H. Lee,45.76,81,96
116,0,26951,Johnson Wagner,45.24,76,92
117,0,22046,Geoff Ogilvy,45.21,66,80
117,0,27649,Brandt Snedeker,45.21,85,103
119,0,29518,Brendan Steele,44.72,110,136
120,0,33419,Cameron Tringale,44.63,108,134
121,0,24138,Ian Poulter,44.26,54,68
122,0,27963,Chris Stroud,44.05,111,141
123,0,32200,Roberto Castro,43.98,117,149
124,0,35539,Luke Guthrie,43.87,93,119
125,0,27503,Steve LeBrun,43.79,74,95
126,0,23409,James Driscoll,43.69,90,116
127,0,27120,Troy Matteson,43.62,82,106
128,0,28455,Will Claxton,43.50,77,100
129,0,20593,Greg Chalmers,43.17,98,129
130,0,27933,John Merrick,42.79,92,123
131,0,27556,Ted Potter Jr.,42.68,70,94
132,0,08725,Tom Gillis,42.05,74,102
133,0,34409,David Lingmerth,41.80,79,110
133,0,22961,David Mathis,41.80,79,110
135,0,23135,Tim Clark,41.46,51,72
136,0,23983,Luke Donald,40.54,60,88
137,0,25336,Alistair Presnell,40.41,59,87
138,0,01724,Jeff Maggert,40.35,69,102
139,0,32150,Michael Thompson,40.24,66,98
140,0,23353,J.J. Henry,39.83,94,142
141,0,12782,Tim Herron,39.71,54,82
142,0,25444,Justin Hicks,39.42,82,126
