RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,25572,Graeme McDowell,19.4,36347.000,52
2,0,25834,Daniel Summerhays,20.0,97882.000,136
3,0,23452,Nicolas Colsaerts,20.7,53645.000,72
4,0,34099,Harris English,21.3,125083.000,163
4,0,27129,Luke List,21.3,85154.000,111
6,0,31560,Brian Stuard,21.6,62267.000,80
7,0,33141,Keegan Bradley,21.8,147253.000,188
7,0,26596,Ryan Moore,21.8,81666.000,104
7,0,29518,Brendan Steele,21.8,104578.000,133
10,0,27408,Martin Kaymer,21.9,68623.000,87
10,0,26331,Charl Schwartzel,21.9,100113.000,127
10,0,26289,Boo Weekley,21.9,129462.000,164
13,0,23621,Rory Sabbatini,22.0,119345.000,151
14,0,30925,Dustin Johnson,22.1,98667.000,124
14,0,30110,Kyle Stanley,22.1,131295.000,165
16,0,31202,William McGirt,22.2,91245.000,114
16,0,23325,Vaughn Taylor,22.2,49454.000,62
18,0,32200,Roberto Castro,22.3,109075.000,136
19,0,27436,Graham DeLaet,22.4,128153.000,159
19,0,29740,Brad Fritsch,22.4,99898.000,124
19,0,31557,Jim Herman,22.4,77567.000,96
22,0,28679,Fabián Gómez,22.5,72991.000,90
22,0,25240,D.A. Points,22.5,90839.000,112
24,0,26476,Chez Reavie,22.6,67677.000,83
24,0,27214,Kevin Streelman,22.6,107982.000,133
26,0,01810,Phil Mickelson,22.7,103110.000,126
26,0,29221,Webb Simpson,22.7,117465.000,144
26,0,31323,Gary Woodland,22.7,153361.000,188
26,0,08793,Tiger Woods,22.7,77739.000,95
30,0,12510,Chad Campbell,22.8,106909.000,130
31,0,28089,Jason Day,22.9,103680.000,126
31,0,25804,Bubba Watson,22.9,138564.000,168
31,0,20396,Lee Westwood,22.9,99887.000,121
34,0,28237,Rory McIlroy,23.0,89285.000,108
34,0,21878,Mark Wilson,23.0,55477.000,67
36,0,22378,Trevor Immelman,23.1,66606.000,80
36,0,24361,Pat Perez,23.1,100753.000,121
38,0,24358,Robert Garrigus,23.2,123384.000,148
38,0,22405,Justin Rose,23.2,74400.000,89
38,0,24502,Adam Scott,23.2,88371.000,106
41,0,10213,Dicky Pride,23.3,52947.000,63
41,0,06567,Vijay Singh,23.3,71172.000,85
41,0,23623,Bo Van Pelt,23.3,82036.000,98
44,0,10809,Jim Furyk,23.4,57358.000,68
45,0,23108,Matt Kuchar,23.5,110972.000,131
45,0,27963,Chris Stroud,23.5,108468.000,128
47,0,36884,Ben Kohles,23.6,62833.000,74
47,0,27936,Martin Laird,23.6,87351.000,103
47,0,30163,Henrik Norlander,23.6,92576.000,109
47,0,24663,Y.E. Yang,23.6,51788.000,61
51,0,28455,Will Claxton,23.7,69908.000,82
51,0,34261,Scott Langley,23.7,59796.000,70
51,0,25632,Jimmy Walker,23.7,136315.000,160
54,0,35539,Luke Guthrie,23.8,86492.000,101
54,0,24924,Bill Haas,23.8,112190.000,131
54,0,24490,George McNeill,23.8,86583.000,101
54,0,27933,John Merrick,23.8,91703.000,107
54,0,24140,Sean O'Hair,23.8,85627.000,100
59,0,24399,Scott Gardiner,23.9,72126.000,84
59,0,34431,Robert Streb,23.9,97381.000,113
61,0,32366,Kevin Chappell,24.0,114219.000,132
61,0,06573,Brandt Jobe,24.0,75324.000,87
61,0,34046,Jordan Spieth,24.0,116423.000,135
64,0,24357,K.J. Choi,24.1,67640.000,78
64,0,22792,Peter Hanson,24.1,52088.000,60
64,0,33869,Eric Meierdierks,24.1,70401.000,81
67,0,23638,Brendon de Jonge,24.2,155294.000,178
67,0,12716,Charley Hoffman,24.2,137576.000,158
67,0,23497,Tag Ridings,24.2,88722.000,102
70,0,29420,Billy Horschel,24.3,130531.000,149
70,0,34174,John Huh,24.3,124027.000,142
72,0,37273,Derek Ernst,24.4,84262.000,96
72,0,24024,Zach Johnson,24.4,96704.000,110
72,0,27503,Steve LeBrun,24.4,72984.000,83
72,0,22913,John Rollins,24.4,115833.000,132
72,0,20645,John Senden,24.4,109817.000,125
72,0,32150,Michael Thompson,24.4,66772.000,76
78,0,20229,Stewart Cink,24.5,88269.000,100
78,0,22621,Ben Curtis,24.5,44957.000,51
78,0,12782,Tim Herron,24.5,51942.000,59
78,0,28092,D.H. Lee,24.5,79443.000,90
