RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,33418,Shawn Stefani,10.45,23,220
2,0,21961,Charles Howell III,10.79,30,278
3,0,25396,Kevin Na,11.15,34,305
4,0,34046,Jordan Spieth,11.64,39,335
5,0,33399,Adam Hadwin,11.70,40,342
6,0,32839,Hideki Matsuyama,11.97,37,309
7,0,27644,Brian Harman,12.04,43,357
8,0,32150,Michael Thompson,12.05,20,166
9,0,28132,Tyrone Van Aswegen,12.19,39,320
10,0,23108,Matt Kuchar,12.23,40,327
11,0,39954,Cody Gribble,12.41,33,266
12,0,24361,Pat Perez,12.54,40,319
12,0,29221,Webb Simpson,12.54,44,351
14,0,26499,Rafa Cabrera Bello,12.63,25,198
15,0,26758,David Hearn,12.73,34,267
16,0,47128,Richy Werenski,12.75,32,251
17,0,26851,Marc Leishman,12.84,43,335
18,0,30692,Scott Stallings,12.94,33,255
19,0,46970,Jon Rahm,12.95,43,332
20,0,30926,Chris Kirk,12.97,38,293
21,0,20157,Retief Goosen,12.99,20,154
22,0,24138,Ian Poulter,13.04,30,230
23,0,12510,Chad Campbell,13.06,41,314
24,0,34098,Russell Henley,13.24,47,355
25,0,20472,Alex Cejka,13.33,30,225
26,0,26300,Matt Jones,13.37,25,187
27,0,34431,Robert Streb,13.55,42,310
28,0,25493,Nick Taylor,13.69,43,314
29,0,23353,J.J. Henry,13.71,34,248
30,0,40026,Daniel Berger,13.85,45,325
31,0,19846,Brian Gay,13.89,35,252
32,0,33413,Ben Martin,13.98,39,279
33,0,25364,Paul Casey,14.02,46,328
33,0,31202,William McGirt,14.02,37,264
35,0,24924,Bill Haas,14.03,39,278
35,0,26476,Chez Reavie,14.03,47,335
37,0,25349,Tim Wilkinson,14.06,27,192
38,0,34409,David Lingmerth,14.12,37,262
39,0,33204,Shane Lowry,14.36,26,181
40,0,24846,Ricky Barnes,14.43,43,298
41,0,27936,Martin Laird,14.44,41,284
42,0,33122,Russell Knox,14.52,36,248
43,0,28237,Rory McIlroy,14.53,26,179
44,0,40058,Zac Blair,14.56,46,316
45,0,34264,Hudson Swafford,14.60,46,315
46,0,27064,Jhonattan Vegas,14.61,45,308
47,0,32102,Rickie Fowler,14.65,46,314
48,0,29725,Tony Finau,14.71,59,401
49,0,25720,Chad Collins,14.75,27,183
49,0,31646,Emiliano Grillo,14.75,45,305
51,0,27436,Graham DeLaet,14.76,40,271
51,0,30944,Jason Kokrak,14.76,49,332
53,0,39975,Michael Kim,14.78,47,318
54,0,22046,Geoff Ogilvy,14.86,33,222
55,0,35545,Blayne Barber,14.89,39,262
55,0,24507,Jason Bohn,14.89,28,188
57,0,27963,Chris Stroud,14.95,32,214
58,0,39324,J.J. Spaun,14.97,44,294
59,0,34466,Peter Malnati,14.98,43,287
60,0,25191,Gonzalo Fernandez-Castaño,15.00,27,180
61,0,49771,J.T. Poston,15.05,48,319
62,0,29476,Kyle Reifers,15.12,39,258
63,0,23983,Luke Donald,15.17,22,145
64,0,37278,Nicholas Lindheim,15.18,29,191
65,0,23621,Rory Sabbatini,15.23,37,243
66,0,33120,Mark Anderson,15.29,26,170
67,0,27129,Luke List,15.32,59,385
68,0,23325,Vaughn Taylor,15.36,45,293
69,0,32640,Troy Merritt,15.42,39,253
70,0,48822,Sebastián Muñoz,15.43,27,175
71,0,34021,Bud Cauley,15.53,48,309
72,0,19803,Ryan Armour,15.54,30,193
73,0,28252,Seamus Power,15.57,45,289
74,0,28500,Martin Flores,15.67,42,268
74,0,34360,Patrick Reed,15.67,55,351
76,0,31557,Jim Herman,15.69,40,255
76,0,29518,Brendan Steele,15.69,48,306
78,0,24140,Sean O'Hair,15.72,47,299
79,0,30925,Dustin Johnson,15.73,42,267
80,0,26329,Louis Oosthuizen,15.82,31,196
80,0,46501,Ollie Schniederjans,15.82,50,316
82,0,20771,Steven Alker,15.84,32,202
83,0,33448,Justin Thomas,15.88,54,340
84,0,36801,Mark Hubbard,15.91,35,220
85,0,46601,Trey Mullinax,15.95,48,301
86,0,29478,Kevin Kisner,16.07,54,336
86,0,25240,D.A. Points,16.07,36,224
88,0,34099,Harris English,16.15,42,260
89,0,25892,Steve Wheatcroft,16.20,23,142
90,0,32200,Roberto Castro,16.23,31,191
91,0,25274,Steven Bowditch,16.28,21,129
92,0,29720,Andres Gonzales,16.33,40,245
92,0,22405,Justin Rose,16.33,40,245
94,0,30110,Kyle Stanley,16.35,60,367
95,0,32333,Kevin Tway,16.40,51,311
96,0,34358,Jonathan Randolph,16.43,35,213
97,0,22371,Aaron Baddeley,16.49,32,194
97,0,34174,John Huh,16.49,46,279
99,0,25834,Daniel Summerhays,16.56,51,308
100,0,30191,Julián Etulain,16.59,34,205
101,0,48081,Xander Schauffele,16.62,57,343
102,0,01810,Phil Mickelson,16.67,50,300
103,0,29461,Jamie Lovemark,16.71,59,353
104,0,24358,Robert Garrigus,16.73,46,275
104,0,33419,Cameron Tringale,16.73,47,281
106,0,31420,Anirban Lahiri,16.79,46,274
107,0,21209,Sergio Garcia,16.82,37,220
107,0,36689,Brooks Koepka,16.82,55,327
109,0,29289,S.Y. Noh,16.83,52,309
110,0,35891,Cameron Smith,16.84,50,297
111,0,27958,Ryan Blaum,16.87,55,326
112,0,25198,Francesco Molinari,16.92,45,266
113,0,29479,Scott Brown,16.93,53,313
114,0,22056,Cameron Percy,16.98,36,212
115,0,25900,Lucas Glover,17.03,55,323
116,0,29974,Branden Grace,17.09,34,199
117,0,27466,Spencer Levin,17.12,44,257
118,0,23497,Tag Ridings,17.13,37,216
119,0,12716,Charley Hoffman,17.20,70,407
120,0,36699,Patrick Rodgers,17.24,40,232
121,0,46550,Brandon Hagy,17.27,48,278
122,0,29926,Danny Lee,17.28,56,324
123,0,27214,Kevin Streelman,17.36,50,288
124,0,46440,Smylie Kaufman,17.41,43,247
125,0,31323,Gary Woodland,17.42,54,310
126,0,35506,Mackenzie Hughes,17.45,63,361
127,0,31416,Derek Fathauer,17.47,47,269
128,0,33461,Morgan Hoffmann,17.53,51,291
129,0,32448,James Hahn,17.65,54,306
130,0,20229,Stewart Cink,17.68,61,345
131,0,29908,C.T. Pan,17.76,46,259
132,0,27770,Camilo Villegas,17.87,47,263
133,0,40009,Dominic Bozzelli,17.94,40,223
134,0,22986,Søren Kjeldsen,17.95,28,156
135,0,46732,Rick Lamb,17.96,30,167
136,0,20104,Ken Duke,17.97,39,217
137,0,33141,Keegan Bradley,17.99,68,378
138,0,37454,Whee Kim,18.03,44,244
139,0,27141,J.B. Holmes,18.05,50,277
140,0,28089,Jason Day,18.15,49,270
141,0,23320,Ryan Palmer,18.18,30,165
142,0,23800,Bryce Molder,18.26,40,219
143,0,48084,Wesley Bryan,18.27,55,301
143,0,26951,Johnson Wagner,18.27,36,197
145,0,27649,Brandt Snedeker,18.37,36,196
145,0,26289,Boo Weekley,18.37,45,245
147,0,25632,Jimmy Walker,18.40,39,212
148,0,24357,K.J. Choi,18.41,37,201
148,0,29420,Billy Horschel,18.41,51,277
150,0,25804,Bubba Watson,18.43,40,217
151,0,26596,Ryan Moore,18.48,51,276
152,0,10809,Jim Furyk,18.49,27,146
153,0,32757,Patton Kizzire,18.53,48,259
154,0,29223,Sam Saunders,18.56,49,264
155,0,27095,Nick Watney,18.70,43,230
156,0,24024,Zach Johnson,18.82,48,255
156,0,34213,Grayson Murray,18.82,64,340
158,0,25818,Scott Piercy,18.87,50,265
159,0,33948,Byeong Hun An,18.93,46,243
159,0,35110,Brett Drewitt,18.93,32,169
159,0,31560,Brian Stuard,18.93,53,280
162,0,25686,Jason Dufner,18.95,58,306
163,0,26331,Charl Schwartzel,19.02,39,205
164,0,27974,Sung Kang,19.11,69,361
165,0,35532,Tom Hoge,19.39,32,165
166,0,24781,Hunter Mahan,19.55,43,220
167,0,28093,Miguel Angel Carballo,19.58,37,189
167,0,06522,Ernie Els,19.58,28,143
169,0,47959,Bryson DeChambeau,19.67,59,300
170,0,37189,Harold Varner III,19.76,67,339
171,0,25572,Graeme McDowell,19.81,41,207
171,0,24502,Adam Scott,19.81,42,212
173,0,29485,Brett Stegmaier,19.92,50,251
174,0,28420,Ryan Brehm,20.00,52,260
175,0,30852,Ryo Ishikawa,20.11,35,174
176,0,23541,Ben Crane,20.16,51,253
177,0,46443,Brian Campbell,20.35,35,172
178,0,20593,Greg Chalmers,20.47,44,215
179,0,29740,Brad Fritsch,20.56,37,180
180,0,27895,Jonas Blixt,20.59,49,238
181,0,35879,Kelly Kraft,20.60,48,233
182,0,37455,Si Woo Kim,21.17,47,222
183,0,32366,Kevin Chappell,21.54,70,325
184,0,29222,Billy Hurley III,21.66,60,277
185,0,35450,Patrick Cantlay,21.76,37,170
186,0,25345,Carl Pettersson,23.08,42,182
187,0,28679,Fabián Gómez,23.44,45,192
188,0,20572,Rod Pampling,23.56,49,208
189,0,28307,Matt Every,24.60,61,248
190,0,35300,Andrew Loupe,25.81,40,155
