RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,08793,Tiger Woods,9.27,6616582,71358472
2,0,09011,David Duval,5.30,3641904,68758472
3,0,19904,Paul Lawrie,3.94,662733,16808472
4,0,01706,Davis Love III,3.30,2475326,75058472
5,0,02146,Payne Stewart,3.26,2077948,63658472
6,0,21209,Sergio Garcia,2.93,919916,31358472
7,0,06522,Ernie Els,2.73,1710755,62758472
8,0,01724,Jeff Maggert,2.70,2016466,74708472
9,0,02170,Hal Sutton,2.63,2127575,81008472
10,0,12823,Carlos Franco,2.56,1864583,72958472
11,0,06567,Vijay Singh,2.49,2283231,91658472
12,0,01968,Nick Price,2.48,1572399,63408472
13,0,06373,José María Olazábal,2.41,1136166,47108472
14,0,01943,Chris Perry,2.39,2145703,89700000
15,0,10860,Justin Leonard,2.28,2020987,88558472
16,0,01810,Phil Mickelson,2.27,1722679,75758472
16,0,06431,Jean Van de Velde,2.27,382275,16808472
18,0,10809,Jim Furyk,2.26,1827591,80958472
19,0,02206,David Toms,2.11,1959669,92750000
20,0,01553,John Huston,2.00,1519386,75958472
20,0,01926,Steve Pate,2.00,1755957,87858472
22,0,01677,Tom Lehman,1.94,1435562,74158472
23,0,12645,Brent Geiberger,1.81,1541408,85000000
24,0,20848,Ángel Cabrera,1.77,209230,11808472
25,0,12782,Tim Herron,1.76,1511199,85808472
26,0,02104,Jeff Sluman,1.75,1621488,92608472
26,0,10423,Mike Weir,1.75,1491136,85408472
28,0,02246,Duffy Waldorf,1.73,1302783,75358472
29,0,12660,Jesper Parnevik,1.66,1055465,63758472
29,0,02218,Ted Tryba,1.66,1533632,92258472
31,0,01927,Dennis Paulson,1.65,1313810,79658472
32,0,01313,Steve Elkington,1.64,1086374,66158472
32,0,01381,Fred Funk,1.64,1638878,99808472
34,0,02010,Loren Roberts,1.62,1258743,77900000
35,0,01320,Bob Estes,1.59,1357616,85458472
35,0,06575,Dudley Hart,1.59,1267989,79708472
37,0,20029,Notah Begay III,1.58,1255310,79500000
37,0,19958,Miguel Angel Jiménez,1.58,660519,41908472
39,0,20229,Stewart Cink,1.55,1255097,80908472
40,0,01920,Craig Parry,1.52,962373,63408472
40,0,02020,Eduardo Romero,1.52,215000,14100000
42,0,20098,Stuart Appleby,1.50,1359723,90658472
43,0,20396,Lee Westwood,1.48,619763,42008472
44,0,01226,Fred Couples,1.45,769190,53050000
45,0,01887,Mark O'Meara,1.43,868794,60558472
46,0,01527,Scott Hoch,1.42,1172691,82700000
47,0,06350,Bob May,1.37,102800,7500000
48,0,01876,Greg Norman,1.34,570878,42458472
49,0,20766,Padraig Harrington,1.33,198241,14908472
50,0,01797,Rocco Mediate,1.31,963072,73408472
51,0,08931,Glen Day,1.29,1109510,85858472
52,0,20944,Tsuyoshi Yoneyama,1.23,40619,3308472
53,0,01418,Bill Glasson,1.22,838787,68600000
53,0,12680,Shigeki Maruyama,1.22,408136,33458472
55,0,02214,Kirk Triplett,1.21,863398,71250000
56,0,06044,Scott Gump,1.18,954728,81008472
56,0,01619,Skip Kendall,1.18,962640,81650000
58,0,01139,Olin Browne,1.17,834329,71350000
58,0,01723,Andrew Magee,1.17,911563,77658472
60,0,06004,Stephen Ames,1.09,460760,42450000
60,0,21007,Gabriel Hjertstedt,1.09,933030,85858472
60,0,01577,Lee Janzen,1.09,849993,77758472
60,0,08635,Colin Montgomerie,1.09,484449,44408472
64,0,06012,Greg Kraft,1.08,810774,75400000
65,0,11032,Frank Lickliter II,1.06,872419,82400000
66,0,20028,Eric Rustand,1.05,77229,7350000
66,0,06527,Steve Stricker,1.05,662459,62958472
66,0,02223,Bob Tway,1.05,899482,85808472
69,0,01457,Jay Haas,1.04,696858,67100000
69,0,20094,Jonathan Kaye,1.04,845048,81300000
69,0,02257,Brian Watts,1.04,767407,73808472
72,0,01035,Tommy Armour III,1.03,782185,75850000
73,0,06617,Brian Henninger,1.02,774484,75750000
74,0,23614,Rich Beem,.97,610553,62808472
74,0,12702,Costantino Rocca,.97,32027,3308472
74,0,07269,Greg Turner,.97,114600,11808472
77,0,01329,Brad Faxon,.96,582690,60750000
78,0,20154,Guy Hill,.92,74616,8100000
79,0,01766,Billy Mayfair,.89,741731,83708472
80,0,06643,Paul Goydos,.88,695049,78650000
81,0,01755,Dick Mast,.87,60000,6900000
82,0,02133,Craig Stadler,.86,454091,52650000
83,0,06595,Kevin Sutherland,.85,663887,78550000
84,0,01161,Mark Calcavecchia,.84,733969,86958472
85,0,06251,Chris DiMarco,.82,672501,82400000
