RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,28500,Martin Flores,60.68,71,117,-0.13
2,0,26596,Ryan Moore,56.97,94,165,E
3,0,29485,Brett Stegmaier,56.90,66,116,-0.05
4,0,22046,Geoff Ogilvy,56.58,86,152,-0.08
5,0,23320,Ryan Palmer,55.70,44,79,-0.05
5,0,34264,Hudson Swafford,55.70,88,158,-0.11
7,0,27214,Kevin Streelman,55.49,91,164,-0.11
8,0,20229,Stewart Cink,54.40,99,182,-0.10
9,0,34098,Russell Henley,54.38,118,217,-0.12
10,0,46601,Trey Mullinax,53.72,65,121,-0.05
11,0,27095,Nick Watney,53.45,62,116,-0.16
12,0,29720,Andres Gonzales,53.33,56,105,+0.11
13,0,39324,J.J. Spaun,53.21,83,156,-0.13
14,0,48081,Xander Schauffele,52.90,82,155,-0.06
15,0,21209,Sergio Garcia,52.63,60,114,-0.02
16,0,27436,Graham DeLaet,52.53,83,158,-0.05
17,0,46970,Jon Rahm,52.52,73,139,-0.05
18,0,24924,Bill Haas,52.51,94,179,-0.13
19,0,29725,Tony Finau,52.22,94,180,-0.01
20,0,31323,Gary Woodland,52.20,83,159,E
21,0,30944,Jason Kokrak,52.12,86,165,-0.03
22,0,36801,Mark Hubbard,52.05,76,146,-0.03
23,0,24781,Hunter Mahan,51.96,53,102,+0.13
24,0,27129,Luke List,51.83,85,164,-0.20
24,0,34466,Peter Malnati,51.83,85,164,-0.12
26,0,22405,Justin Rose,51.49,69,134,-0.17
27,0,26476,Chez Reavie,51.42,109,212,-0.16
28,0,29420,Billy Horschel,51.35,95,185,-0.16
29,0,26951,Johnson Wagner,51.30,59,115,-0.10
30,0,37189,Harold Varner III,51.16,88,172,-0.11
31,0,31202,William McGirt,51.11,92,180,-0.03
32,0,24358,Robert Garrigus,50.91,56,110,-0.05
33,0,26851,Marc Leishman,50.53,96,190,-0.06
34,0,26289,Boo Weekley,50.46,55,109,-0.05
35,0,23541,Ben Crane,50.28,91,181,-0.11
36,0,29478,Kevin Kisner,50.25,102,203,-0.10
37,0,33120,Mark Anderson,50.00,41,82,-0.15
37,0,35545,Blayne Barber,50.00,64,128,-0.17
37,0,28089,Jason Day,50.00,72,144,-0.06
37,0,32448,James Hahn,50.00,96,192,-0.02
37,0,30925,Dustin Johnson,50.00,57,114,-0.09
37,0,24024,Zach Johnson,50.00,92,184,-0.09
37,0,48822,Sebastián Muñoz,50.00,39,78,-0.05
44,0,25900,Lucas Glover,49.74,94,189,-0.09
45,0,29926,Danny Lee,49.71,87,175,-0.10
46,0,20472,Alex Cejka,49.60,62,125,-0.08
47,0,25364,Paul Casey,49.51,101,204,-0.09
48,0,12510,Chad Campbell,49.48,96,194,-0.03
49,0,23497,Tag Ridings,49.40,41,83,-0.20
50,0,31557,Jim Herman,49.34,75,152,-0.13
51,0,32839,Hideki Matsuyama,49.30,70,142,-0.07
52,0,27064,Jhonattan Vegas,49.12,84,171,-0.08
53,0,20771,Steven Alker,49.07,53,108,-0.13
53,0,27649,Brandt Snedeker,49.07,53,108,-0.15
53,0,33448,Justin Thomas,49.07,79,161,-0.19
56,0,23108,Matt Kuchar,49.06,104,212,-0.07
57,0,27958,Ryan Blaum,48.91,90,184,-0.06
58,0,23353,J.J. Henry,48.72,76,156,-0.11
59,0,40026,Daniel Berger,48.55,84,173,-0.11
60,0,34046,Jordan Spieth,48.52,82,169,-0.15
61,0,29908,C.T. Pan,48.26,83,172,-0.13
61,0,46501,Ollie Schniederjans,48.26,83,172,+0.01
63,0,35450,Patrick Cantlay,48.18,53,110,-0.04
64,0,47959,Bryson DeChambeau,48.15,78,162,-0.05
65,0,33419,Cameron Tringale,48.05,74,154,-0.16
66,0,30110,Kyle Stanley,47.83,99,207,-0.10
67,0,25396,Kevin Na,47.76,96,201,-0.15
68,0,35506,Mackenzie Hughes,47.69,103,216,-0.16
69,0,22056,Cameron Percy,47.66,51,107,-0.02
70,0,34099,Harris English,47.59,79,166,-0.14
71,0,23621,Rory Sabbatini,47.47,47,99,+0.04
72,0,34409,David Lingmerth,47.34,80,169,-0.10
73,0,33413,Ben Martin,47.22,68,144,-0.03
74,0,39954,Cody Gribble,47.20,76,161,-0.14
75,0,30191,Julián Etulain,47.00,47,100,-0.17
76,0,31646,Emiliano Grillo,46.99,78,166,-0.09
77,0,33141,Keegan Bradley,46.97,93,198,-0.10
78,0,30692,Scott Stallings,46.88,60,128,-0.05
78,0,28132,Tyrone Van Aswegen,46.88,75,160,-0.08
80,0,25686,Jason Dufner,46.75,79,169,-0.05
81,0,34021,Bud Cauley,46.74,86,184,E
82,0,28252,Seamus Power,46.67,63,135,-0.05
83,0,27936,Martin Laird,46.39,77,166,-0.08
84,0,35532,Tom Hoge,46.38,32,69,E
85,0,46550,Brandon Hagy,46.34,57,123,-0.07
86,0,39975,Michael Kim,46.20,85,184,-0.09
87,0,25818,Scott Piercy,46.15,42,91,-0.12
88,0,25834,Daniel Summerhays,45.92,90,196,-0.18
89,0,28420,Ryan Brehm,45.90,56,122,+0.02
90,0,37278,Nicholas Lindheim,45.88,39,85,-0.03
91,0,25198,Francesco Molinari,45.70,69,151,+0.03
92,0,32102,Rickie Fowler,45.40,79,174,-0.15
93,0,36699,Patrick Rodgers,45.33,68,150,-0.01
94,0,34431,Robert Streb,45.23,90,199,-0.04
95,0,34213,Grayson Murray,45.00,72,160,-0.24
96,0,46443,Brian Campbell,44.93,31,69,-0.16
96,0,36689,Brooks Koepka,44.93,62,138,-0.15
