RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,30925,Dustin Johnson,60.28,255,423
2,0,27129,Luke List,59.64,362,607
3,0,28500,Martin Flores,59.55,318,534
4,0,29725,Tony Finau,57.77,357,618
5,0,34046,Jordan Spieth,57.31,251,438
6,0,46970,Jon Rahm,56.88,273,480
7,0,33448,Justin Thomas,56.63,282,498
8,0,22405,Justin Rose,56.57,211,373
9,0,29974,Branden Grace,56.25,207,368
10,0,24358,Robert Garrigus,56.16,228,406
11,0,34264,Hudson Swafford,56.11,280,499
12,0,25900,Lucas Glover,56.09,244,435
13,0,22056,Cameron Percy,56.08,203,362
14,0,20229,Stewart Cink,56.01,326,582
15,0,19803,Ryan Armour,56.00,126,225
16,0,25364,Paul Casey,55.75,252,452
17,0,28420,Ryan Brehm,55.60,288,518
18,0,27436,Graham DeLaet,55.32,213,385
19,0,25493,Nick Taylor,55.31,281,508
20,0,35450,Patrick Cantlay,55.25,142,257
21,0,12716,Charley Hoffman,55.02,345,627
22,0,32839,Hideki Matsuyama,54.75,242,442
23,0,21209,Sergio Garcia,54.74,179,327
24,0,29908,C.T. Pan,54.65,235,430
24,0,31323,Gary Woodland,54.65,276,505
26,0,29720,Andres Gonzales,54.57,233,427
27,0,46550,Brandon Hagy,54.49,279,512
28,0,29461,Jamie Lovemark,54.47,311,571
29,0,31557,Jim Herman,54.46,177,325
30,0,46601,Trey Mullinax,54.42,283,520
31,0,29420,Billy Horschel,54.38,261,480
32,0,27095,Nick Watney,54.23,231,426
33,0,24140,Sean O'Hair,54.11,250,462
34,0,21961,Charles Howell III,54.05,280,518
35,0,24924,Bill Haas,54.04,261,483
36,0,30692,Scott Stallings,54.01,249,461
37,0,28237,Rory McIlroy,53.97,163,302
38,0,33418,Shawn Stefani,53.87,202,375
39,0,46501,Ollie Schniederjans,53.85,315,585
40,0,34021,Bud Cauley,53.67,263,490
41,0,26289,Boo Weekley,53.63,155,289
42,0,36699,Patrick Rodgers,53.59,261,487
43,0,48081,Xander Schauffele,53.58,284,530
44,0,26329,Louis Oosthuizen,53.57,180,336
45,0,28252,Seamus Power,53.55,279,521
46,0,35545,Blayne Barber,53.42,203,380
47,0,32448,James Hahn,53.33,264,495
48,0,33461,Morgan Hoffmann,53.29,259,486
49,0,23353,J.J. Henry,53.23,239,449
50,0,34099,Harris English,53.20,274,515
51,0,20771,Steven Alker,53.15,152,286
52,0,37189,Harold Varner III,53.13,297,559
53,0,33204,Shane Lowry,52.99,124,234
54,0,23621,Rory Sabbatini,52.98,169,319
55,0,22046,Geoff Ogilvy,52.93,199,376
56,0,40026,Daniel Berger,52.90,255,482
57,0,34409,David Lingmerth,52.89,201,380
58,0,46732,Rick Lamb,52.85,130,246
58,0,49771,J.T. Poston,52.85,260,492
58,0,30110,Kyle Stanley,52.85,232,439
61,0,47959,Bryson DeChambeau,52.80,273,517
62,0,25818,Scott Piercy,52.79,199,377
63,0,33141,Keegan Bradley,52.43,248,473
64,0,20157,Retief Goosen,52.40,142,271
65,0,28679,Fabián Gómez,52.37,166,317
66,0,32102,Rickie Fowler,52.34,201,384
67,0,29518,Brendan Steele,52.28,229,438
68,0,24502,Adam Scott,52.27,184,352
69,0,25240,D.A. Points,52.00,169,325
70,0,26951,Johnson Wagner,51.85,168,324
71,0,25396,Kevin Na,51.80,230,444
72,0,39324,J.J. Spaun,51.79,217,419
73,0,29289,S.Y. Noh,51.75,295,570
74,0,30191,Julián Etulain,51.70,167,323
75,0,34098,Russell Henley,51.63,254,492
76,0,29223,Sam Saunders,51.59,178,345
76,0,27963,Chris Stroud,51.59,146,283
78,0,26331,Charl Schwartzel,51.57,197,382
79,0,46440,Smylie Kaufman,51.56,231,448
80,0,30926,Chris Kirk,51.44,215,418
81,0,32150,Michael Thompson,51.17,153,299
82,0,27974,Sung Kang,51.13,294,575
83,0,23320,Ryan Palmer,51.12,160,313
84,0,32333,Kevin Tway,51.11,299,585
85,0,33399,Adam Hadwin,51.09,257,503
86,0,24361,Pat Perez,51.04,245,480
87,0,33419,Cameron Tringale,50.93,247,485
88,0,35110,Brett Drewitt,50.86,148,291
88,0,31420,Anirban Lahiri,50.86,206,405
90,0,24781,Hunter Mahan,50.83,184,362
91,0,23325,Vaughn Taylor,50.80,190,374
92,0,34174,John Huh,50.79,224,441
93,0,25686,Jason Dufner,50.72,211,416
94,0,24138,Ian Poulter,50.70,180,355
95,0,46443,Brian Campbell,50.67,151,298
95,0,32366,Kevin Chappell,50.67,263,519
95,0,30852,Ryo Ishikawa,50.67,190,375
98,0,30944,Jason Kokrak,50.65,273,539
98,0,27064,Jhonattan Vegas,50.65,271,535
100,0,28132,Tyrone Van Aswegen,50.55,275,544
