RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,28089,Jason Day,2.548,298.8,117.255,20,0229802847
2,0,34021,Bud Cauley,2.519,281.7,111.815,43,0229702770
3,0,24781,Hunter Mahan,2.517,282.7,112.343,71,0226202771
4,0,24140,Sean O'Hair,2.509,290.7,115.867,50,0222202803
5,0,01706,Davis Love III,2.508,287.6,114.682,47,0222102792
6,0,23320,Ryan Palmer,2.505,293.5,117.156,57,0218002896
7,0,21878,Mark Wilson,2.503,267.4,106.825,53,0218202765
8,0,29420,Billy Horschel,2.498,283.7,113.562,57,0224302801
8,0,29221,Webb Simpson,2.498,277.6,111.148,65,0219202694
10,0,27141,J.B. Holmes,2.493,297.7,119.439,52,0215902896
11,0,22405,Justin Rose,2.484,284.5,114.544,43,0226102700
12,0,33461,Morgan Hoffmann,2.483,283.4,114.138,77,0211402779
13,0,06567,Vijay Singh,2.481,276.6,111.515,62,0226002742
14,0,34098,Russell Henley,2.480,283.6,114.358,66,0226502814
15,0,27330,Josh Teater,2.478,282.5,114.014,72,0215202745
16,0,30692,Scott Stallings,2.477,288.7,116.544,50,0228002776
17,0,32839,Hideki Matsuyama,2.476,282.8,114.203,60,0223502775
17,0,22046,Geoff Ogilvy,2.476,282.2,113.964,61,0219302746
19,0,23541,Ben Crane,2.474,263.7,106.568,78,0222902668
20,0,30926,Chris Kirk,2.473,275.8,111.511,67,0208602715
20,0,24912,Will MacKenzie,2.473,276.7,111.885,72,0222602677
22,0,06522,Ernie Els,2.472,277.0,112.053,56,0222302740
22,0,30925,Dustin Johnson,2.472,299.6,121.183,25,0231702657
24,0,35732,Wes Roach,2.471,276.7,111.983,42,0214602726
25,0,24924,Bill Haas,2.470,280.3,113.518,71,0209002725
26,0,12716,Charley Hoffman,2.467,287.2,116.424,73,0214402759
26,0,25804,Bubba Watson,2.467,305.0,123.639,38,0227502705
28,0,01810,Phil Mickelson,2.465,285.5,115.816,33,0221502629
29,0,21753,Brian Davis,2.464,262.3,106.450,83,0224602668
29,0,29461,Jamie Lovemark,2.464,294.2,119.409,40,0220602743
31,0,34409,David Lingmerth,2.461,276.0,112.164,59,0210102719
32,0,33141,Keegan Bradley,2.460,287.6,116.897,52,0211402622
32,0,27936,Martin Laird,2.460,283.4,115.210,38,0222002679
34,0,24024,Zach Johnson,2.459,264.9,107.748,88,0218402703
34,0,28780,Nicholas Thompson,2.459,272.7,110.878,62,0217602889
36,0,27436,Graham DeLaet,2.458,294.2,119.689,50,0214002704
37,0,27649,Brandt Snedeker,2.457,270.7,110.195,61,0222002693
38,0,34046,Jordan Spieth,2.454,273.9,111.608,71,0205802731
38,0,30110,Kyle Stanley,2.454,283.9,115.677,62,0216602695
40,0,32448,James Hahn,2.453,278.0,113.355,61,0211702645
40,0,35139,Richard Lee,2.453,272.3,110.981,61,0222002669
42,0,32102,Rickie Fowler,2.451,288.9,117.856,56,0209702682
43,0,23353,J.J. Henry,2.450,278.7,113.726,67,0221802603
43,0,25349,Tim Wilkinson,2.450,264.2,107.843,63,0230302679
45,0,26758,David Hearn,2.447,264.0,107.928,83,0221302615
45,0,24138,Ian Poulter,2.447,274.3,112.072,37,0213602608
47,0,29518,Brendan Steele,2.446,286.6,117.174,60,0222002694
47,0,02206,David Toms,2.446,254.2,103.900,53,0224302625
49,0,29740,Brad Fritsch,2.445,278.2,113.780,32,0218702676
49,0,29535,Brice Garnett,2.445,272.8,111.556,72,0217202829
51,0,27644,Brian Harman,2.444,268.8,110.013,96,0218802643
51,0,01724,Jeff Maggert,2.444,256.7,105.024,41,0221802632
53,0,35300,Andrew Loupe,2.443,298.1,122.035,31,0214102653
54,0,28092,D.H. Lee,2.442,262.3,107.420,40,0216902673
55,0,22293,Heath Slocum,2.441,257.1,105.351,58,0214302659
56,0,28132,Tyrone Van Aswegen,2.439,280.7,115.091,40,0208702656
56,0,23623,Bo Van Pelt,2.439,275.9,113.122,62,0218702691
56,0,25632,Jimmy Walker,2.439,285.3,116.985,52,0215102662
