RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,08793,Tiger Woods,14.09,5775000,41000000
2,0,06567,Vijay Singh,4.27,6601093,154661173
3,0,20766,Padraig Harrington,4.06,4313550,106161173
4,0,21209,Sergio Garcia,3.64,4858222,133461173
5,0,01810,Phil Mickelson,3.59,5188874,144461173
6,0,29718,Anthony Kim,3.25,4656265,143361173
7,0,27770,Camilo Villegas,3.02,4422639,146261173
8,0,01945,Kenny Perry,2.93,4663791,159200000
9,0,21528,Henrik Stenson,2.82,1937992,68661173
10,0,20229,Stewart Cink,2.60,3979299,152961173
11,0,10860,Justin Leonard,2.41,3943539,163561173
12,0,06522,Ernie Els,2.24,2537289,113461173
13,0,01876,Greg Norman,2.20,509617,23161173
14,0,22046,Geoff Ogilvy,2.11,2880099,136761173
15,0,20396,Lee Westwood,2.06,1550880,75161173
16,0,10809,Jim Furyk,2.02,3455712,171361173
17,0,10885,Robert Allenby,2.00,3606697,180461173
18,0,23983,Luke Donald,1.92,1456650,75800000
19,0,21350,Ryuji Imada,1.91,3029362,158461173
20,0,24357,K.J. Choi,1.88,2683441,143061173
21,0,22621,Ben Curtis,1.87,2615795,139961173
22,0,24502,Adam Scott,1.82,1979159,108761173
23,0,10423,Mike Weir,1.80,3020134,167461173
24,0,22378,Trevor Immelman,1.75,2566197,146861173
25,0,06575,Dudley Hart,1.67,2218816,132600000
26,0,06595,Kevin Sutherland,1.66,2581307,155900000
27,0,19970,Robert Karlsson,1.65,985684,59861173
28,0,06527,Steve Stricker,1.63,2438302,149761173
29,0,20098,Stuart Appleby,1.60,2484629,155661173
29,0,32495,Rob Grube,1.60,48000,3000000
31,0,27958,Ryan Blaum,1.55,54250,3500000
32,0,26289,Boo Weekley,1.53,2398750,156361173
33,0,06004,Stephen Ames,1.49,2285705,153461173
34,0,25562,Andres Romero,1.48,2064610,139361173
35,0,25345,Carl Pettersson,1.44,2512535,174100000
36,0,12510,Chad Campbell,1.42,2404769,169300000
36,0,19825,Darren Clarke,1.42,220000,15500000
38,0,24138,Ian Poulter,1.38,1488213,107861173
39,0,23788,D.J. Trahan,1.36,2304366,169600000
40,0,24184,Alastair Forsyth,1.34,194416,14500000
40,0,24140,Sean O'Hair,1.34,2089856,156161173
42,0,27141,J.B. Holmes,1.30,2166130,167261173
42,0,23320,Ryan Palmer,1.30,1453181,111600000
44,0,19846,Brian Gay,1.28,2205512,172100000
45,0,01706,Davis Love III,1.24,1695235,136561173
45,0,24781,Hunter Mahan,1.24,2208853,177761173
47,0,01142,Bart Bryant,1.22,1719150,140961173
48,0,20574,Mathew Goggin,1.21,1969959,162800000
49,0,20498,Briny Baird,1.18,2039804,172200000
49,0,20104,Ken Duke,1.18,2238882,190500000
49,0,25190,Jeff Quinney,1.18,1999369,169461173
52,0,20157,Retief Goosen,1.17,1431964,122661173
53,0,07867,Woody Austin,1.15,2146428,185861173
53,0,22371,Aaron Baddeley,1.15,1665586,145061173
53,0,19958,Miguel Angel Jiménez,1.15,725946,63161173
56,0,28158,Steve Marino,1.14,2094261,183700000
57,0,22983,Bradley Dredge,1.13,90000,8000000
58,0,06643,Paul Goydos,1.09,1640736,150461173
59,0,06012,Greg Kraft,1.07,1204559,112400000
60,0,30925,Dustin Johnson,1.06,1789893,168600000
60,0,24361,Pat Perez,1.06,1756036,165461173
62,0,23621,Rory Sabbatini,1.05,1559277,148461173
62,0,23969,Graeme Storm,1.05,231599,22161173
64,0,21731,Freddie Jacobson,1.04,1597422,154161173
64,0,24024,Zach Johnson,1.04,1615120,155161173
66,0,01035,Tommy Armour III,1.03,1501254,145700000
66,0,25364,Paul Casey,1.03,1156413,111961173
66,0,23541,Ben Crane,1.03,1488502,144200000
66,0,20608,David Howell,1.03,226243,21961173
70,0,01766,Billy Mayfair,1.02,1750681,172000000
71,0,01707,Steve Lowery,1.01,1524275,150200000
71,0,22405,Justin Rose,1.01,1047852,104061173
73,0,22896,Grégory Havret,1.00,162184,16161173
74,0,23135,Tim Clark,.99,1722027,174061173
75,0,20572,Rod Pampling,.98,1702952,174561173
76,0,20850,Daniel Chopra,.97,1630689,167700000
76,0,21878,Mark Wilson,.97,1578333,162200000
78,0,24507,Jason Bohn,.96,866785,90400000
78,0,20686,Jeev Milkha Singh,.96,319349,33200000
78,0,20160,Charlie Wi,.96,1515392,158400000
81,0,28780,Nicholas Thompson,.94,1869327,198700000
82,0,23108,Matt Kuchar,.93,1447636,155461173
83,0,27349,Alex Noren,.92,75484,8161173
83,0,06431,Jean Van de Velde,.92,75484,8161173
83,0,23162,Simon Wakefield,.92,75484,8161173
83,0,31113,Paul Waring,.92,75484,8161173
87,0,08075,Jerry Kelly,.90,1652399,183061173
87,0,27649,Brandt Snedeker,.90,1531441,169461173
87,0,26951,Johnson Wagner,.90,1431001,159700000
90,0,01313,Steve Elkington,.89,1291112,144600000
90,0,01666,Bernhard Langer,.89,147250,16500000
