RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,08793,Tiger Woods,498,Mercedes Champ,3,18,656
2,0,10809,Jim Furyk,488,Mercedes Champ,3,18,656
3,0,06621,Joe Durant,487,Mercedes Champ,3,18,656
4,0,10423,Mike Weir,486,Mercedes Champ,3,18,656
5,0,20157,Retief Goosen,484,Mercedes Champ,3,18,656
6,0,01941,Tom Pernice Jr.,483,Mercedes Champ,3,18,656
7,0,02239,Scott Verplank,478,Mercedes Champ,3,18,656
8,0,01706,Davis Love III,477,Mercedes Champ,3,18,656
9,0,06251,Chris DiMarco,476,Mercedes Champ,3,18,656
9,0,01329,Brad Faxon,476,Mercedes Champ,3,18,656
11,0,01527,Scott Hoch,473,Mercedes Champ,3,18,656
12,0,06527,Steve Stricker,471,Mercedes Champ,3,18,656
13,0,10885,Robert Allenby,460,Mercedes Champ,3,18,656
13,0,20436,Garrett Willis,460,Mercedes Champ,3,18,656
15,0,02104,Jeff Sluman,455,Mercedes Champ,3,18,656
16,0,09011,David Duval,454,Bob Hope Chrysl,5,13,649
17,0,12680,Shigeki Maruyama,453,Mercedes Champ,3,18,656
17,0,10585,Scott McCarron,453,Mercedes Champ,3,18,656
19,0,01161,Mark Calcavecchia,452,Mercedes Champ,3,18,656
19,0,11032,Frank Lickliter II,452,Mercedes Champ,3,18,656
22,0,10912,Craig Perks,451,Buick Classic,2,12,027
24,0,01219,John Cook,446,Mercedes Champ,3,18,656
24,0,23338,David Gossett,446,Mercedes Champ,3,18,656
26,0,21633,Steve Allan,445,Disney Classic,1,18,045
27,0,10860,Justin Leonard,444,Mercedes Champ,3,18,656
28,0,21209,Sergio Garcia,429,Mercedes Champ,3,18,656
31,0,02170,Hal Sutton,423,Mercedes Champ,3,18,656
32,0,02101,Joey Sindelar,417,Tampa Bay,4,10,665
34,0,24357,K.J. Choi,412,Sony Open,2,16,006
35,0,01945,Kenny Perry,410,Mercedes Champ,3,18,656
