RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,01249,John Daly,306.8,35594,116
2,0,26289,Boo Weekley,297.0,33261,112
3,0,20574,Mathew Goggin,296.1,36713,124
4,0,21961,Charles Howell III,293.7,64019,218
4,0,01927,Dennis Paulson,293.7,50520,172
6,0,08793,Tiger Woods,293.3,37546,128
7,0,12782,Tim Herron,293.2,56596,193
8,0,23322,Brett Wetterich,292.7,49755,170
9,0,02106,Chris Smith,292.2,54357,186
10,0,23614,Rich Beem,292.1,54906,188
11,0,09011,David Duval,290.8,40717,140
11,0,23623,Bo Van Pelt,290.8,44194,152
13,0,12823,Carlos Franco,290.7,59305,204
14,0,24925,Jonathan Byrd,290.5,52864,182
14,0,21805,Harrison Frazar,290.5,50540,174
14,0,21209,Sergio Garcia,290.5,39504,136
17,0,20663,Brenden Pappas,290.1,35398,122
18,0,01514,Eduardo Herrera,290.0,33641,116
19,0,20645,John Senden,289.9,50451,174
20,0,21633,Steve Allan,289.7,51564,178
21,0,22046,Geoff Ogilvy,289.4,48612,168
22,0,06613,Tommy Tolles,289.3,35871,124
23,0,20098,Stuart Appleby,289.0,50004,173
23,0,23621,Rory Sabbatini,289.0,36992,128
25,0,01810,Phil Mickelson,288.8,51406,178
26,0,07223,Brian Bateman,288.6,51363,178
26,0,01226,Fred Couples,288.6,34058,118
26,0,23353,J.J. Henry,288.6,60606,210
26,0,12663,Phil Tataurangi,288.6,48491,168
30,0,01706,Davis Love III,287.7,47750,166
30,0,20095,Carl Paulson,287.7,46609,162
32,0,23177,Kenneth Staton,287.6,56952,198
33,0,08881,Tripp Isenhour,287.4,38506,134
34,0,08375,Paul Stankowski,287.0,55671,194
35,0,10565,Ian Leggatt,286.9,51633,180
36,0,10885,Robert Allenby,286.7,52179,182
37,0,01945,Kenny Perry,286.4,53839,188
38,0,23903,Stephen Gangluff,286.2,41792,146
39,0,23541,Ben Crane,286.1,50352,176
39,0,20094,Jonathan Kaye,286.1,44053,154
41,0,20572,Rod Pampling,285.9,52035,182
42,0,06573,Brandt Jobe,285.8,53150,186
42,0,01685,J.L. Lewis,285.8,53738,188
42,0,02101,Joey Sindelar,285.8,56582,198
45,0,07457,Steve Flesch,285.7,57993,203
46,0,06567,Vijay Singh,285.6,53700,188
47,0,01161,Mark Calcavecchia,285.5,42259,148
47,0,10585,Scott McCarron,285.5,51674,181
49,0,06527,Steve Stricker,285.1,32502,114
50,0,06197,Michael Allen,285.0,41608,146
51,0,19824,Craig Barlow,284.7,32452,114
52,0,02246,Duffy Waldorf,284.5,46660,164
53,0,06515,Shaun Micheel,284.3,54292,191
54,0,10117,Bob Heintz,284.2,38082,134
55,0,07003,David Berganio Jr.,284.0,43161,152
55,0,12388,Michael Clark II,284.0,51967,183
55,0,20043,Edward Fryatt,284.0,50551,178
58,0,10107,Deane Pappas,283.9,48265,170
58,0,02245,Grant Waite,283.9,53376,188
60,0,01577,Lee Janzen,283.7,51636,182
61,0,02223,Bob Tway,283.6,53321,188
62,0,24357,K.J. Choi,283.1,49262,174
63,0,01677,Tom Lehman,283.0,38493,136
63,0,11032,Frank Lickliter II,283.0,49243,174
65,0,01723,Andrew Magee,282.9,48666,172
66,0,12645,Brent Geiberger,282.8,50339,178
66,0,08633,Per-Ulrik Johansson,282.8,48648,172
68,0,01388,Robert Gamez,282.6,37868,134
69,0,01203,Russ Cochran,282.5,37850,134
70,0,07749,Brett Quigley,282.3,50810,180
71,0,20498,Briny Baird,282.2,60388,214
71,0,12652,Cameron Beckman,282.2,46279,164
73,0,06004,Stephen Ames,282.1,46269,164
74,0,01035,Tommy Armour III,282.0,45121,160
74,0,01374,Robin Freeman,282.0,41735,148
76,0,06332,Neal Lancaster,281.9,54133,192
76,0,20502,Michael Long,281.9,38906,138
78,0,24937,Jess Daley,281.8,41713,148
78,0,21259,Jason Hill,281.8,32689,116
80,0,21806,Paul Gow,281.7,52964,188
81,0,01553,John Huston,281.6,52375,186
82,0,12510,Chad Campbell,281.5,59684,212
82,0,01569,Peter Jacobsen,281.5,37163,132
84,0,06522,Ernie Els,281.4,32640,116
84,0,20634,Peter Lonard,281.4,50093,178
86,0,10962,Bradley Hughes,281.2,32617,116
86,0,20548,Hidemichi Tanaka,281.2,56248,200
88,0,01926,Steve Pate,281.1,33165,118
89,0,23338,David Gossett,281.0,51698,184
90,0,20029,Notah Begay III,280.8,40433,144
90,0,20593,Greg Chalmers,280.8,49981,178
92,0,01938,David Peoples,280.6,57242,204
92,0,01948,Tim Petrovic,280.6,47984,171
94,0,01313,Steve Elkington,280.5,41516,148
94,0,01707,Steve Lowery,280.5,51058,182
94,0,24361,Pat Perez,280.5,47957,171
94,0,20566,Kaname Yokoo,280.5,39832,142
98,0,02133,Craig Stadler,280.4,37578,134
99,0,08123,Jeff Brehaut,280.2,47639,170
100,0,23125,Brad Elder,280.0,40318,144
100,0,12680,Shigeki Maruyama,280.0,46476,166
100,0,10423,Mike Weir,280.0,48725,174
103,0,07867,Woody Austin,279.9,53749,192
103,0,01941,Tom Pernice Jr.,279.9,53748,192
105,0,01024,Billy Andrade,279.8,50917,182
105,0,01320,Bob Estes,279.8,46452,166
105,0,20157,Retief Goosen,279.8,27975,100
108,0,06251,Chris DiMarco,279.7,55379,198
109,0,20229,Stewart Cink,279.6,46417,166
109,0,02002,John Riegger,279.6,45848,164
111,0,20436,Garrett Willis,279.4,43029,154
112,0,22913,John Rollins,279.3,65363,234
112,0,10649,Tom Scherrer,279.3,51383,184
114,0,21949,Joe Ogilvie,279.2,27357,98
114,0,12660,Jesper Parnevik,279.2,43549,156
114,0,02206,David Toms,279.2,54159,194
117,0,01475,Donnie Hammond,279.1,31816,114
118,0,20105,Jeff Gove,279.0,49109,176
119,0,10860,Justin Leonard,278.7,49606,178
120,0,10912,Craig Perks,278.5,46223,166
121,0,06617,Brian Henninger,278.3,35617,128
121,0,01920,Craig Parry,278.3,37291,134
123,0,19881,Robert Damron,278.0,44479,160
124,0,10733,Kent Jones,277.8,56108,202
125,0,01307,Joel Edwards,277.6,56074,202
126,0,01797,Rocco Mediate,277.3,38272,138
126,0,23800,Bryce Molder,277.3,33827,122
126,0,02170,Hal Sutton,277.3,38826,140
129,0,08537,J.P. Hayes,277.1,41567,150
130,0,01599,Steve Jones,276.9,34330,124
130,0,01761,Len Mattiace,276.9,55381,200
132,0,06575,Dudley Hart,276.7,45385,164
133,0,10213,Dicky Pride,276.3,27074,98
134,0,01042,Paul Azinger,276.2,34797,126
135,0,08993,Franklin Langham,276.1,37544,136
136,0,10201,Matt Gogel,275.9,40834,148
136,0,08339,Spike McRoy,275.9,36970,134
136,0,12753,David Morland IV,275.9,31448,114
139,0,10425,Jay Williamson,275.8,49086,178
140,0,23135,Tim Clark,275.7,38598,140
141,0,01175,Jim Carter,275.3,50657,184
142,0,01142,Bart Bryant,275.2,35227,128
142,0,02110,Jerry Smith,275.2,47334,172
144,0,08545,Glen Hnatiuk,275.1,50624,184
145,0,06016,Brad Lardon,275.0,31348,114
145,0,06350,Bob May,275.0,48125,175
145,0,01887,Mark O'Meara,275.0,32448,118
145,0,06595,Kevin Sutherland,275.0,47300,172
145,0,02214,Kirk Triplett,275.0,42353,154
150,0,01724,Jeff Maggert,274.9,42329,154
150,0,01771,Blaine McCallister,274.9,39580,144
152,0,06621,Joe Durant,274.8,44523,162
153,0,01361,Dan Forsman,274.7,43404,158
153,0,10457,Frank Nobilo,274.7,49997,182
153,0,11011,Mike Sposa,274.7,58778,214
156,0,23983,Luke Donald,274.6,56024,204
157,0,19958,Miguel Angel Jiménez,274.4,30736,112
158,0,08075,Jerry Kelly,274.0,50955,186
158,0,08535,Gary Nicklaus,274.0,35618,130
160,0,06809,Bob Burns,273.9,51761,189
161,0,23108,Matt Kuchar,273.5,43483,159
162,0,01457,Jay Haas,273.3,42636,156
163,0,01381,Fred Funk,273.0,57326,210
164,0,02104,Jeff Sluman,272.9,62230,228
165,0,02257,Brian Watts,272.8,28370,104
166,0,01968,Nick Price,272.7,33811,124
166,0,20127,Chris Riley,272.7,52357,192
168,0,01185,Brandel Chamblee,272.5,44698,164
168,0,12826,Paul Claxton,272.5,44412,163
168,0,06036,Scott Dunlap,272.5,38691,142
171,0,01549,Mike Hulbert,272.4,27242,100
172,0,19846,Brian Gay,272.3,60986,224
173,0,10809,Jim Furyk,271.8,43761,161
174,0,07721,Pat Bates,271.5,48871,180
174,0,01619,Skip Kendall,271.5,53755,198
176,0,06643,Paul Goydos,271.3,34732,128
176,0,01666,Bernhard Langer,271.3,27127,100
178,0,01098,Jay Don Blake,271.2,55057,203
179,0,01766,Billy Mayfair,270.9,48215,178
180,0,06498,Matt Peterson,270.7,42774,158
181,0,06373,José María Olazábal,270.6,33560,124
182,0,01157,Tom Byrum,270.5,40577,150
183,0,01132,Mark Brooks,270.1,49156,182
184,0,08931,Glen Day,270.0,54007,200
184,0,01527,Scott Hoch,270.0,35638,132
186,0,01329,Brad Faxon,269.6,43406,161
187,0,01378,David Frost,269.5,47969,178
188,0,02322,Richard Zokol,269.3,27466,102
189,0,22293,Heath Slocum,268.5,48338,180
189,0,02239,Scott Verplank,268.5,46186,172
191,0,01139,Olin Browne,268.1,54150,202
192,0,19817,Michael Muehr,268.0,37525,140
192,0,02010,Loren Roberts,268.0,46095,172
194,0,06012,Greg Kraft,267.7,44438,166
195,0,01014,Fulton Allem,267.5,33441,125
196,0,08553,Lee Porter,265.0,46117,174
197,0,06078,Esteban Toledo,264.9,51133,193
198,0,02099,Scott Simpson,264.6,32286,122
199,0,01219,John Cook,264.0,41710,158
200,0,19972,José Coceres,263.2,25798,98
201,0,01928,Corey Pavin,258.1,36130,140
202,0,06315,Pete Jordan,256.6,38494,150
