RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,02010,Loren Roberts,.53,2,378
2,0,08793,Tiger Woods,.62,2,324
3,0,01329,Brad Faxon,.64,3,468
4,0,19846,Brian Gay,.72,4,558
5,0,01320,Bob Estes,.76,3,396
6,0,01219,John Cook,.98,3,306
7,0,08075,Jerry Kelly,1.39,7,504
7,0,12660,Jesper Parnevik,1.39,6,432
9,0,19972,José Coceres,1.46,5,342
10,0,06373,José María Olazábal,1.48,4,270
11,0,20127,Chris Riley,1.59,6,378
12,0,01927,Dennis Paulson,1.67,6,360
13,0,07223,Brian Bateman,1.69,7,414
14,0,22371,Aaron Baddeley,1.71,8,468
14,0,20229,Stewart Cink,1.71,8,468
14,0,06527,Steve Stricker,1.71,8,468
17,0,20634,Peter Lonard,1.77,7,396
18,0,01761,Len Mattiace,1.78,8,450
19,0,01948,Tim Petrovic,1.79,10,558
20,0,20157,Retief Goosen,1.85,5,270
20,0,02002,John Riegger,1.85,5,270
22,0,08931,Glen Day,1.91,11,576
23,0,02214,Kirk Triplett,1.93,8,414
24,0,12760,Danny Ellis,2.00,9,450
25,0,02104,Jeff Sluman,2.06,10,486
26,0,01457,Jay Haas,2.12,8,378
27,0,01527,Scott Hoch,2.22,6,270
27,0,01920,Craig Parry,2.22,6,270
27,0,01941,Tom Pernice Jr.,2.22,12,540
30,0,01035,Tommy Armour III,2.26,11,486
30,0,20498,Briny Baird,2.26,11,486
32,0,01249,John Daly,2.27,9,396
32,0,01928,Corey Pavin,2.27,9,396
34,0,21209,Sergio Garcia,2.29,7,306
35,0,24024,Zach Johnson,2.30,12,522
35,0,23623,Bo Van Pelt,2.30,12,522
37,0,10201,Matt Gogel,2.31,10,432
38,0,07721,Pat Bates,2.33,13,558
39,0,21878,Mark Wilson,2.34,8,342
40,0,20548,Hidemichi Tanaka,2.35,11,468
41,0,20663,Brenden Pappas,2.36,14,594
42,0,01706,Davis Love III,2.38,9,378
43,0,25396,Kevin Na,2.41,13,540
44,0,01042,Paul Azinger,2.42,10,414
44,0,01577,Lee Janzen,2.42,10,414
46,0,23497,Tag Ridings,2.43,7,288
46,0,22548,Patrick Sheehan,2.43,14,576
48,0,12645,Brent Geiberger,2.44,11,450
48,0,20572,Rod Pampling,2.44,11,450
50,0,20628,Arron Oberholser,2.50,9,360
51,0,20593,Greg Chalmers,2.53,10,396
52,0,01157,Tom Byrum,2.55,11,432
53,0,06197,Michael Allen,2.56,12,468
53,0,07939,Dan Olsen,2.56,12,468
55,0,12652,Cameron Beckman,2.58,13,504
55,0,24507,Jason Bohn,2.58,13,504
55,0,19881,Robert Damron,2.58,13,504
55,0,01381,Fred Funk,2.58,13,504
59,0,19825,Darren Clarke,2.59,7,270
59,0,06522,Ernie Els,2.59,7,270
61,0,20850,Daniel Chopra,2.60,15,576
62,0,01938,David Peoples,2.66,11,414
62,0,02239,Scott Verplank,2.66,11,414
64,0,20433,Mark Hensby,2.67,13,486
64,0,01771,Blaine McCallister,2.67,13,486
66,0,06809,Bob Burns,2.68,14,522
66,0,23552,Hank Kuehne,2.68,14,522
68,0,01388,Robert Gamez,2.69,15,558
69,0,23541,Ben Crane,2.78,13,468
69,0,22621,Ben Curtis,2.78,9,324
69,0,01361,Dan Forsman,2.78,13,468
69,0,08537,J.P. Hayes,2.78,13,468
69,0,26420,Richard Johnson,2.78,16,576
69,0,06515,Shaun Micheel,2.78,13,468
69,0,01968,Nick Price,2.78,7,252
69,0,22293,Heath Slocum,2.78,15,540
77,0,12602,Dean Wilson,2.86,17,594
78,0,01619,Skip Kendall,2.87,15,522
79,0,20645,John Senden,2.88,14,486
80,0,12680,Shigeki Maruyama,2.89,13,450
80,0,22046,Geoff Ogilvy,2.89,13,450
82,0,24357,K.J. Choi,2.90,12,414
82,0,10860,Justin Leonard,2.90,12,414
84,0,01766,Billy Mayfair,2.96,16,540
85,0,07457,Steve Flesch,2.98,15,504
85,0,21961,Charles Howell III,2.98,15,504
85,0,23108,Matt Kuchar,2.98,15,504
88,0,06004,Stephen Ames,2.99,14,468
88,0,01473,Todd Hamilton,2.99,14,468
90,0,02223,Bob Tway,3.01,13,432
91,0,06214,Guy Boros,3.03,12,396
92,0,22405,Justin Rose,3.06,11,360
93,0,01707,Steve Lowery,3.09,15,486
94,0,21959,Ted Purdy,3.10,19,612
95,0,21633,Steve Allan,3.13,18,576
95,0,08339,Spike McRoy,3.13,18,576
97,0,23353,J.J. Henry,3.15,17,540
97,0,10425,Jay Williamson,3.15,17,540
99,0,10107,Deane Pappas,3.17,12,378
99,0,10423,Mike Weir,3.17,12,378
101,0,10733,Kent Jones,3.23,18,558
102,0,21805,Harrison Frazar,3.24,14,432
103,0,20029,Notah Begay III,3.28,13,396
104,0,25345,Carl Pettersson,3.29,16,486
105,0,06621,Joe Durant,3.33,15,450
105,0,12823,Carlos Franco,3.33,15,450
105,0,12782,Tim Herron,3.33,15,450
108,0,08123,Jeff Brehaut,3.37,20,594
109,0,01685,J.L. Lewis,3.41,19,558
110,0,12510,Chad Campbell,3.42,16,468
111,0,02049,Gene Sauers,3.45,18,522
112,0,12705,Cliff Kresge,3.47,20,576
113,0,25686,Jason Dufner,3.50,17,486
114,0,06575,Dudley Hart,3.51,12,342
115,0,24781,Hunter Mahan,3.52,19,540
116,0,01142,Bart Bryant,3.54,14,396
116,0,20382,Stephen Leaney,3.54,14,396
116,0,02206,David Toms,3.54,14,396
119,0,06251,Chris DiMarco,3.56,16,450
119,0,06595,Kevin Sutherland,3.56,16,450
121,0,01666,Bernhard Langer,3.57,9,252
122,0,20378,Mathias Grönberg,3.58,20,558
123,0,01161,Mark Calcavecchia,3.61,13,360
