RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,07457,Steve Flesch,4,47
2,0,19824,Craig Barlow,3,42
2,0,23621,Rory Sabbatini,3,50
2,0,26287,Roland Thatcher,3,49
5,0,21633,Steve Allan,2,51
5,0,07867,Woody Austin,2,57
5,0,22371,Aaron Baddeley,2,33
5,0,24290,D.J. Brigman,2,53
5,0,01161,Mark Calcavecchia,2,41
5,0,20850,Daniel Chopra,2,43
5,0,23063,Scott Hend,2,62
5,0,06332,Neal Lancaster,2,62
5,0,01766,Billy Mayfair,2,63
5,0,06515,Shaun Micheel,2,49
5,0,22046,Geoff Ogilvy,2,35
5,0,24361,Pat Perez,2,67
5,0,01948,Tim Petrovic,2,42
5,0,07749,Brett Quigley,2,55
5,0,06613,Tommy Tolles,2,44
5,0,08385,Omar Uresti,2,43
21,0,20098,Stuart Appleby,1,33
21,0,01042,Paul Azinger,1,32
21,0,12652,Cameron Beckman,1,55
21,0,20029,Notah Begay III,1,40
21,0,24925,Jonathan Byrd,1,37
21,0,12394,Tom Carter,1,50
21,0,20472,Alex Cejka,1,41
21,0,24357,K.J. Choi,1,38
21,0,23135,Tim Clark,1,36
21,0,11123,Chris Couch,1,33
21,0,08835,Kris Cox,1,40
21,0,23541,Ben Crane,1,37
21,0,06621,Joe Durant,1,51
21,0,01313,Steve Elkington,1,33
21,0,01378,David Frost,1,44
21,0,20378,Mathias Grönberg,1,47
21,0,20433,Mark Hensby,1,37
21,0,01553,John Huston,1,44
21,0,21731,Freddie Jacobson,1,35
21,0,01577,Lee Janzen,1,58
21,0,20094,Jonathan Kaye,1,45
21,0,08075,Jerry Kelly,1,38
21,0,01619,Skip Kendall,1,47
21,0,12705,Cliff Kresge,1,52
21,0,23108,Matt Kuchar,1,50
21,0,23552,Hank Kuehne,1,40
21,0,01685,J.L. Lewis,1,48
21,0,01707,Steve Lowery,1,49
21,0,12680,Shigeki Maruyama,1,35
21,0,01810,Phil Mickelson,1,41
21,0,12753,David Morland IV,1,44
21,0,25396,Kevin Na,1,44
21,0,01887,Mark O'Meara,1,26
21,0,10107,Deane Pappas,1,34
21,0,01926,Steve Pate,1,45
21,0,02010,Loren Roberts,1,25
21,0,02049,Gene Sauers,1,47
21,0,24502,Adam Scott,1,22
21,0,22293,Heath Slocum,1,40
21,0,02106,Chris Smith,1,73
21,0,20580,Andre Stolz,1,28
21,0,06078,Esteban Toledo,1,49
21,0,02206,David Toms,1,38
21,0,02214,Kirk Triplett,1,27
21,0,02245,Grant Waite,1,46
